CHIRONID	PIC50
AALNCHNFTKRFEL-UHFFFAOYSA 6.24412514432751
AFSDNFLWKVMVRB-UHFFFAOYSA 3.39794000867204
AJFDNDHEMZTZEF-UHFFFAOYSA 5.88605664769316
AKMRWSWTDWCNGG-UHFFFAOYSA 6.19382002601611
ANUNRTRKLZJBSN-YPKPFQOOSA 6.67366413907125
ANWQJHHTMHCPSN-KLYRVZEPSA 8.04575749056067
AOMMPEGZDRAGRC-UHFFFAOYSA 8.69897000433602
AUEDINJRBZYSTK-UHFFFAOYSA 6.85387196432176
AUZSJKIMRMIMGG-UHFFFAOYSA 11.8093882021864
BARYYLFEOIUPEY-UHFFFAOYSA 3.52287874528034
BETGUWIXNZCDCM-WYMPLXKRSA 7.82390874094432
BFAFTEXTXVWPSX-BOPFTXTBSA 8.63827216398241
BGFKWWVJYJAFCM-UHFFFAOYSA 3.52287874528034
BHEHWPCMASWZFW-YVLHZVERSA 5.63827216398241
BHSOPYVVEZFHDB-UHFFFAOYSA 8.09691001300806
BJFASQXKPBGWNL-UHFFFAOYSA 6.87289520163519
BJHCYTJNPVGSBZ-QPSGOUHRSA 5.31875876262441
BLQYVHBZHAISJM-CMDGGOBGSA 8.52287874528034
BLRNJLBNCQORPO-HPWRNOGASA 6.55284196865778
BMGQWWVMWDBQGC-IIFHNQTCSA 7.82390874094432
BNFKHGHCITYDOT-UHFFFAOYSA 7.25963731050576
BOGKUOUVWUICFV-HKWRFOASSA 5.83564714421556
BRDQVEHZQIWFSM-UHFFFAOYSA 5.82390874094432
BTJYTQIHNJHPTQ-UHFFFAOYSA 6.42829116819131
BUDGSBIZCIHODS-HMAPJEAMSA 7.04575749056067
BYQDPWAYLMNNKF-UHFFFAOYSA 8.15490195998574
BZZIQPCXCNKABW-UHFFFAOYSA 7.39794000867204
CACKYMFTFHFDNM-JVWAILMASA 7.30980391997149
CCGWJFXOILDJSD-UHFFFAOYSA 7.20065945054642
CDPYJPHBGSGNJS-UHFFFAOYSA 7.30102999566398
CJOKUBRCAVWYRX-UHFFFAOYSA 7.32790214206428
CJUIAVLIOOCWIE-UHFFFAOYSA 5.58502665202918
CPMMIVUAUOMULB-UHFFFAOYSA 7.46852108295774
CPQMLGLUULWKDX-YVLHZVERSA 8.92081875395237
CQQHPXAPMGAALV-UHFFFAOYSA 6.92081875395237
CTTXJZSRPYTLCR-JCMHNJIXSA 7.72124639904717
CVWXJKQAOSCOAB-UHFFFAOYSA 8.53786035696906
CZGMEOAMQWAJOY-UHFFFAOYSA 6.56863623584101
DATLJQNYXBSTFB-UHFFFAOYSA 7.43179827593301
DGIDRZDTIIWYJJ-UHFFFAOYSA 7.46852108295774
DHSKSBMVWDEGIA-UHFFFAOYSA 6.67162039656126
DLPARMNJOHFOLU-UHFFFAOYSA 7.76955107862173
DLYHIJZSZUMFEL-UHFFFAOYSA 8.39794000867204
DMTDZFGYURLLKX-UHFFFAOYSA 7.60205999132796
DNLUUFFUPPKOJE-UHFFFAOYSA 7.88605664769316
DOKLITIJDLLPJM-UHFFFAOYSA 5.54393777554505
DORFEDMRVQLEQT-SNVBAGLBSA 4.33724216831843
DUPIINAVKMGMHG-UHFFFAOYSA 5.30102999566398
DXPSQKSTVIVZLV-UHFFFAOYSA 7.74472749489669
DXZCXZCCPLYVDG-UHFFFAOYSA 4.38510278396687
DZGGGZSDTNTLQN-UHFFFAOYSA 7.38721614328026
DZQLVVLATXPWBK-UHFFFAOYSA 6.52287874528034
DZSUJUOJJJCWGG-UHFFFAOYSA 8.69897000433602
FDCXXPBBHPICRU-UHFFFAOYSA 7.01772876696043
FDSSIMWUNGQCAX-KQWNVCNZSA 7.4089353929735
FDSSIMWUNGQCAX-XQNSMLJCSA 7.52287874528034
FIJWNTPHEHDJQG-UHFFFAOYSA 7.65937938131221
FJBANOPOXKQFDJ-UHFFFAOYSA 5.11918640771921
FLGDHEPSPRNSKU-UHFFFAOYSA 5.76955107862173
FLUUXEVOJPABTD-STBIYBPSSA 7.44369749923271
FMJRZOAMRUEUOG-UHFFFAOYSA 3.30102999566398
FQCMIMYFHWLFTJ-UHFFFAOYSA 5.65757731917779
FQNCLVJEQCJWSU-UHFFFAOYSA 5.95860731484177
FQYLJBVSYHZWLT-UHFFFAOYSA 8.69897000433602
FSPQCTGGIANIJZ-UHFFFAOYSA 6.76370114043508
FUNGTOAZDDISQB-JAIQZWGSSA 8.39794000867204
FVARFCVQRUETKP-UHFFFAOYSA 7.79588001734407
FXOKLOPGTMWYLS-UHFFFAOYSA 4.60205999132796
GACBELOLIOXYRT-UHFFFAOYSA 8.04575749056067
GCIKSSRWRFVXBI-UHFFFAOYSA 7.52287874528034
GEGCXGMFUYJULA-UHFFFAOYSA 8.39794000867204
GJYUDCNOWIRHBL-WQRHYEAKSA 7.82681373158773
GLBZSOQDAOLMGC-UHFFFAOYSA 6.40782324260413
GLETYZBMSOVMET-UHFFFAOYSA 5.92081875395237
GLMUPSMDHQHUED-UHFFFAOYSA 5.52287874528034
GLRILJLJSBHYAR-GXTWGEPZSA 4.79588001734407
GLWSZUBTLXLVPC-UHFFFAOYSA 3.52287874528034
GMGARXSMYFVUCD-UHFFFAOYSA 3.52287874528034
GNSUZAVPGULMPX-HMAPJEAMSA 7.06550154875643
GPSZYOIFQZPWEJ-UHFFFAOYSA 7.05551732784983
GQJIQKLWZMQQGO-UHFFFAOYSA 5.33724216831843
GRFMNFFXDFTYNV-UHFFFAOYSA 7.61978875828839
GRWZZLSYMYWWDR-UHFFFAOYSA 6.56863623584101
GSFKQDWVMKDKSA-UHFFFAOYSA 7.17392519729917
GSNWXJAEJBDJPG-UHFFFAOYSA 6.76955107862173
GSVDZJPLTIANGP-VULFUBBASA 6.58502665202918
GTQDKQRZKDDFGV-YPKPFQOOSA 5.32587401725729
GUFQYCOGYHRMAZ-UHFFFAOYSA 7.79588001734407
GVYNYFKEQPWOCQ-UHFFFAOYSA 5.18045606445813
GWRSJXLJZMPWFN-SILNSSARSA 7.92081875395237
GXKSGTIXGWDSGJ-UHFFFAOYSA 7.56863623584101
GXLDTWFOOJYTQA-UHFFFAOYSA 6.28819277095881
GZOKZUCSSHDAKL-UHFFFAOYSA 5.25570701687732
HANPZZPJLVHAHR-UHFFFAOYSA 7.22184874961636
HBDSHCUSXQATPO-BGBJRWHRSA 7.48148606012211
HBQCSNGUYNULNE-UHFFFAOYSA 7.65757731917779
HEAUVWMQZFRPLK-UHFFFAOYSA 3.52287874528034
HEECBHPHEJLGSX-MDUKQBBOSA 4.92081875395237
HEECBHPHEJLGSX-UUSSSYRCSA 4.46852108295774
HELZIKAUHCHWMC-WQLSENKSSA 7.72124639904717
HFITWARNAYIQQC-UHFFFAOYSA 4.70443290003752
HFMBFDASNGVZOF-LSHDLFTRSA 5.86327943284359
HKRNOOYNVBLPMN-UHFFFAOYSA 6.92081875395237
HMRCNHLZGISKIM-UHFFFAOYSA 8.52287874528034
HPOCEHFOBYUUJL-UHFFFAOYSA 7.46852108295774
HQPNLIKXAPLWBQ-UHFFFAOYSA 8.15490195998574
HRKYCRIVTWSVJU-QMPRRMGGSA 6.48148606012211
HRKYCRIVTWSVJU-ZONRLMOZSA 6.22914798835786
HWUKVYPOCLJTSN-UHFFFAOYSA 6.15490195998574
HXWDONFZGUZRTN-UHFFFAOYSA 5.63827216398241
HZIZEKOMOILAJT-UHFFFAOYSA 8.30102999566398
HZJBJCWWHLYIKV-GXTWGEPZSA 5.61978875828839
ICAGRINJJFYTOB-UHFFFAOYSA 7.88605664769316
IDCWDTUFGXJWSF-UQQQWYQISA 7.74472749489669
IINDUQOQNFCDNN-UHFFFAOYSA 4.35654732351381
IKOZIAJRQVLANS-UHFFFAOYSA 5.00436480540245
ILTQFFVJLSZIER-UHFFFAOYSA 7.22184874961636
IMNBYLUXBBXZIY-UHFFFAOYSA 4.40230481407449
INTPTKHSGKBHHW-UHFFFAOYSA 6.63827216398241
IOEOFPWILLIIMB-UHFFFAOYSA 6.06550154875643
IRUHXTQOEHKLSG-UHFFFAOYSA 3.52287874528034
IUQURQCHOSRPJM-UHFFFAOYSA 7.44369749923271
IXPZHXJUKNELLR-UHFFFAOYSA 6.26760624017703
IZVDXKIUMGJIMC-UHFFFAOYSA 6.34678748622466
JASLPUAXLBHAQT-ATVHPVEESA 6.32790214206428
JBAAMDZTSDRVLV-UHFFFAOYSA 6.56863623584101
