CHIRONID	PIC50
AAALVYBICLMAMA-UHFFFAOYSA 3.30102999566398
AAHKGRWRYBCWDL-UHFFFAOYSA 6.07058107428571
AASSITCVMHLTIO-MDZDMXLPSA 4.63827216398241
AATOPLAJLQECRD-UHFFFAOYSA 5.55284196865778
ABEGFBRZNZWQBS-UHFFFAOYSA 5.46852108295774
AFMXVBAHMGWYAZ-UHFFFAOYSA 4.95860731484177
AFVGAHBUCVDPPI-UHFFFAOYSA 7.69897000433602
AGEIBLLCZVGHLI-UHFFFAOYSA 5.65757731917779
AGIIDJZSMZSLJN-UHFFFAOYSA 3.22184874961636
AHLNGYPZYMUEFB-UHFFFAOYSA 8.57675412606319
AMERZUAKIAGPBA-UHFFFAOYSA 5.67778070526608
APGJWCRRERWKDQ-UHFFFAOYSA 7.92081875395237
APNDYFIEHLWGLX-UHFFFAOYSA 7.61978875828839
APPAUNZXIPSWAS-UHFFFAOYSA 8.85387196432176
AQYYPSFZMCKSEL-UHFFFAOYSA 7.22184874961636
ARDFJNKJVAVUOF-FMIVXFBMSA 5.00436480540245
ARMHOYQEFMZUND-UHFFFAOYSA 6.53760200210104
ARPODLIKPAMHSH-UHFFFAOYSA 9.30102999566398
ASEKFENKLHTYMI-UHFFFAOYSA 5.45593195564972
ATLRGZJCKJLLGK-UHFFFAOYSA 7.52287874528034
ATRMIGVAAPIRJO-UHFFFAOYSA 5.65757731917779
AUHKMKATZQLPOZ-JEIPZWNWSA 6.07078549626261
AULCRCVNIWNUTH-UHFFFAOYSA 6.26921772433361
AXJKUGBCLQDCSZ-UHFFFAOYSA 7.54363396687096
AXQKJTHCYRYSLF-UHFFFAOYSA 4.82390874094432
AZHCLYPIUAUSQD-UHFFFAOYSA 4.88605664769316
BAPGJVSPRJCYMF-VOTSOKGWSA 7.63827216398241
BARYYLFEOIUPEY-UHFFFAOYSA 3.52287874528034
BCFGMOOMADDAQU-UHFFFAOYSA 4.63827216398241
BDOTVQIWRKJMIG-GJFSDDNBSA 7.92081875395237
BEXPELAOVIOQHQ-UHFFFAOYSA 5.18045606445813
BHEHWPCMASWZFW-YVLHZVERSA 4.76955107862173
BIIVYFLTOXDAOV-YVEFUNNKSA 3.95860731484177
BJNPYRHGWJVECX-SNVBAGLBSA 5.68824613894424
BLAFVGLBBOPRLP-UHFFFAOYSA 5.54975089168064
BLQYVHBZHAISJM-CMDGGOBGSA 6.90440264875485
BNIPBKFCGMYCDD-BQYQJAHWSA 7.93196000578136
BQFAZOJXNWYNKF-UHFFFAOYSA 8.16115090926274
BRUSFAZPHIPJRR-UHFFFAOYSA 6.58502665202918
BSFVNTMWZAAILN-UHFFFAOYSA 5.72124639904717
BTIKYUUNPGWLNG-UHFFFAOYSA 7.50863830616573
BTSZMJKDZCBEGX-UHFFFAOYSA 2.30102999566398
BUGPWXMPCMTLIX-UHFFFAOYSA 6.58502665202918
BWDSKXFAOOVNIM-UHFFFAOYSA 7.74472749489669
BWHGYXORZLZUIK-BUHFOSPRSA 8.74472749489669
BWLSIYJKVFXNFV-UHFFFAOYSA 7.92081875395237
BXQSENVZNNEEBV-UHFFFAOYSA 5.44369749923271
BYRBUVTUGSOTSC-UHFFFAOYSA 8.32790214206428
BZGNECUWAFBECM-CMDGGOBGSA 4.60205999132796
BZYKWEQWEPHEQZ-UHFFFAOYSA 5.82390874094432
CAHQAXRCSXNZRF-UHFFFAOYSA 7.39794000867204
CBDXOWDLLARHRY-MDZDMXLPSA 4.63827216398241
CDJSZJDGHKEHCW-UHFFFAOYSA 5.34678748622466
CDRJTNGWNAODES-CCEZHUSRSA 7.75448733218585
CDXAYERLWSEGDH-IQKMHMRTSA 6.53760200210104
CECVMCWVJXADBQ-UHFFFAOYSA 4.50863830616573
CGSZHEPJBCJZLG-UHFFFAOYSA 5.69897000433602
CHPHDLQQSCKHOK-UHFFFAOYSA 7.20065945054642
CHWHVQUNCYDPDK-UHFFFAOYSA 6.67778070526608
CIRFQCDQKJVIFC-UHFFFAOYSA 5.22184874961636
CJFWNLXLAAHQJY-UHFFFAOYSA 5.38721614328026
CJMMCIXRPVLDBH-UHFFFAOYSA 7.85387196432176
CJXZQDNBKDLDLD-UHFFFAOYSA 4.76955107862173
CKJNZPVDLBJAOO-UHFFFAOYSA 6.04575749056067
CKRPTIHHOUSNTN-UHFFFAOYSA 4.14266750356873
CMUZPNXYCOKJJJ-UHFFFAOYSA 6.16241156176449
CMWKVPYIDPPPIC-UHFFFAOYSA 5.22184874961636
CNDIRRPUJPHPNW-UHFFFAOYSA 6.88941028970075
CNEAVADKWYPXBR-UHFFFAOYSA 4.78251605578609
CNWAVQYSQHXMCH-UHFFFAOYSA 5.88605664769316
COAQRADEUYYCDG-SECBINFHSA 7.76955107862173
COAQRADEUYYCDG-VIFPVBQESA 7.67778070526608
COKPSJDRWXOYAG-UHFFFAOYSA 4.61978875828839
CPODEIRRQNWWDX-UHFFFAOYSA 7.85387196432176
CQKLZUWHJYAEJS-UHFFFAOYSA 8.0409586076789
CRNMRKUVIVTISX-UHFFFAOYSA 5.97592501269257
CRZRMVSMWOPQQN-UHFFFAOYSA 5.42021640338319
CSJUXMSRJYHFAV-UHFFFAOYSA 7.22184874961636
CSMOSYIFOGJHKG-UHFFFAOYSA 7.30980391997149
CYKWMIZUFXPHFW-UHFFFAOYSA 4.88605664769316
CZGMEOAMQWAJOY-UHFFFAOYSA 4.03151705144606
CZOUTEDNZRYTGU-UHFFFAOYSA 5.46852108295774
DAXOOIRHYYCDDH-UHFFFAOYSA 6.36351210364663
DAZCBQNFGSWSQG-UHFFFAOYSA 7.39794000867204
DBDQLLPCPIODHI-UHFFFAOYSA 6.82390874094432
DBZCDBKTCUKQPQ-UHFFFAOYSA 5.82390874094432
DCAPWVKXVRKJLK-UHFFFAOYSA 8.27572413039921
DDCRNOXQNBDLGB-UHFFFAOYSA 7.23657200643706
DFUFJHCAPIDDRE-CMDGGOBGSA 3.62708799702989
DFYOVMKHYAWORB-WUKNDPDISA 7.4907974776689
DGMAXJPIGMQHRJ-UHFFFAOYSA 6.69897000433602
DHKJMXHLKKNTKJ-UHFFFAOYSA 7.30102999566398
DHQCZYDRYAFSAN-UHFFFAOYSA 6.29499204066666
DHYADLCEAXMYPS-UHFFFAOYSA 5.95860731484177
DINPOPQNCDTVPQ-UHFFFAOYSA 6.27572413039921
DNRPTTQOSZQOGJ-UHFFFAOYSA 3.30102999566398
DNZYOZKYEXTOPJ-UHFFFAOYSA 5.76955107862173
DORFEDMRVQLEQT-SNVBAGLBSA 3.30102999566398
DOTPRVGBFHKZSA-UHFFFAOYSA 4.4089353929735
DQYBRTASHMYDJG-UHFFFAOYSA 4.69897000433602
DTCFXYVLDFXFEA-UHFFFAOYSA 5.92081875395237
DTGDQRLXHBUCRM-UHFFFAOYSA 6.61978875828839
DTUMIKLOEHJGJT-UHFFFAOYSA 5.36996430600746
DUPSNQFPAJUAKA-UHFFFAOYSA 5.44369749923271
DUQGHTXMYYQABR-UHFFFAOYSA 5.07572071393812
DVJJGUFQFHMNEC-UHFFFAOYSA 7.3767507096021
DVJXKFMYASKDOH-UHFFFAOYSA 2.82390874094432
DVMBLTDKHALLLH-UHFFFAOYSA 6.74472749489669
DVPOFWNODQBJNT-DHZHZOJOSA 5.34678748622466
DWLVUAOJOFAURW-UHFFFAOYSA 5.34678748622466
DYEJYFAQYRMVFS-UHFFFAOYSA 5.72124639904717
DYVPNYHYZSMFSR-UHFFFAOYSA 6.52287874528034
DZUFTTMDQLYMBE-JOCHJYFZSA 8.92081875395237
FASPJDRKOSUHHS-UHFFFAOYSA 6.03621217265444
FAWGCSGOLCHXBH-UHFFFAOYSA 7.15490195998574
FCIILWHQWNLPJU-UHFFFAOYSA 8.53760200210104
FCNOOCZWZIUGIT-UHFFFAOYSA 5.63827216398241
FDDYZQYPOMARIG-UHFFFAOYSA 3.30102999566398
FFNIWOOLZGAOAB-UHFFFAOYSA 6.29843201494407
FGMSUCIOAMNCKF-HDJSIYSDSA 7.16749108729376
FHNLPTRXVQOXQO-SECBINFHSA 6.31605286924849
FHNLPTRXVQOXQO-VIFPVBQESA 7.14266750356873
FHSZADDMYZNJFY-UHFFFAOYSA 3.52287874528034
FIIKSEKOMMTRHA-UHFFFAOYSA 7.55284196865778
FJAGVGBQBVTRAB-UHFFFAOYSA 4.13076828026902
FMJRZOAMRUEUOG-UHFFFAOYSA 3.30102999566398
FMXXONPXMIWVBT-CMDGGOBGSA 4.39794000867204
FNVQWFPDIYQCSF-UHFFFAOYSA 6.95860731484177
FOMAIMPXVLHOCI-UHFFFAOYSA 6.60205999132796
FPPFXZVOJMZPIB-UHFFFAOYSA 6.65757731917779
FQACGFQYYXSHEO-VAWYXSNFSA 4.22184874961636
FRKWMLCUONAHJH-UHFFFAOYSA 7.2518119729938
FUJQYXNKCSRFSS-MRUDHYOASA 4.45593195564972
FVPBLAKABVRLRX-UHFFFAOYSA 6.11975822410452
FVVZGHAJQOKULY-AATRIKPKSA 8.79588001734407
FWGDADVNSIYRAD-UHFFFAOYSA 3.30102999566398
FWVUUGWQEZWWHV-UHFFFAOYSA 6.44369749923271
FXCRGRHHHOSJRE-UHFFFAOYSA 5.82390874094432
GDPCGYDMVIPGLD-UHFFFAOYSA 5.19382002601611
GDQXJQSQYMMKRA-UHFFFAOYSA 5.46852108295774
GEKPWMXRJXBTKN-UHFFFAOYSA 7.92081875395237
GEZALMMCQYDFML-UHFFFAOYSA 7.11531133696193
GFNNBHLJANVSQV-UHFFFAOYSA 6.90308998699194
GGBQGMRDBYCCLW-UHFFFAOYSA 4.83564714421556
GGFQIKFJFWLNNJ-UHFFFAOYSA 8.15490195998574
GHCCUWPPSKPLJX-UHFFFAOYSA 6.06048074738138
GNIYUURCQFKRCB-UHFFFAOYSA 8.30102999566398
GOLRXYBFRBKBAG-UHFFFAOYSA 8.44369749923271
GPNNPQVERGYRNV-UHFFFAOYSA 5.06550154875643
GRWJFKQBVQNWQW-UHFFFAOYSA 6.63264407897398
GTXKSDZLEOURPP-UHFFFAOYSA 5.92445303860747
GVTIVFCBPRVRQC-UHFFFAOYSA 4.46852108295774
GYDSVPDWOPXLNF-UHFFFAOYSA 6.04431224968649
GZMVQSNFLJUEMM-UHFFFAOYSA 5.69897000433602
HAFOQYHPJYVFTI-UHFFFAOYSA 2.13966199342901
HCZZACRTGWSLPL-UHFFFAOYSA 6.43179827593301
HFBMCRRHMRLGSA-UHFFFAOYSA 5.69897000433602
HFQHGGZJZTXYKH-UHFFFAOYSA 4.46852108295774
HHHCYGBOSKGTCM-UHFFFAOYSA 8.31875876262441
HHKGVQGXRGQBBA-UHFFFAOYSA 5.89279003035213
HHOVYYSFRMBKPP-CCEZHUSRSA 7.80134291304558
HHZIURLSWUIHRB-UHFFFAOYSA 7.47538614173647
