CHIRONID	PIC50
ACBZAFIQJQQSBY-UHFFFAOYSA 3.96257350205938
ACQZMAJVOPRMQJ-UHFFFAOYSA 3.27654432796481
ADGQZIUZHRRUQA-UHFFFAOYSA 6.09691001300806
ADLJJDVYJGLCRQ-UHFFFAOYSA 7.09691001300806
AETSHOXDYIPJJZ-UHFFFAOYSA 6.2839966563652
AFBWGXIHPVUWLP-UHFFFAOYSA 10.6726410656137
ALEHPEWAKSJMDC-UHFFFAOYSA 2.83032556594119
ANHNZYQVWLXJET-UHFFFAOYSA 6.80687540164554
ANUAVLXUJWJMIJ-UHFFFAOYSA 4.79588001734407
AOHZJKSTSDMBIZ-UHFFFAOYSA 6.6522591617549
APWRAEFIWMXQDD-UHFFFAOYSA 5.52287874528034
ARIOBGGRZJITQX-UHFFFAOYSA 6.85387196432176
AWINCECFBWDQTG-UHFFFAOYSA 6.1605219526258
AXHDZQIQLDXLGI-UHFFFAOYSA 3.47237009912866
AXKRZHUMKQPDBD-UHFFFAOYSA 5.52287874528034
AXMWKXSPCWMKHN-UHFFFAOYSA 7.72124639904717
AXWDQRXGOKDXJT-UHFFFAOYSA 7.92081875395237
AXXSVTAXFAAJTE-UHFFFAOYSA 6.31785492362617
AYSFEKIVJXIJTM-UHFFFAOYSA 8.39794000867204
BBQOARXEMKNYLC-UHFFFAOYSA 6.48280410205003
BBZXYDVHLNKGFB-XQNSMLJCSA 8.39794000867204
BCPZRAHPMJLZGY-UHFFFAOYSA 5.33724216831843
BDNALELXSRUQLO-UHFFFAOYSA 3.79317412396815
BDNWHNUISAMQPI-UHFFFAOYSA 4.30102999566398
BEKSOHVYNHFKGU-UHFFFAOYSA 7.00436480540245
BEYDVFUQKWNRPT-UHFFFAOYSA 7.69897000433602
BGVFZHIFEQILLB-UHFFFAOYSA 8.22184874961636
BHQZGGSZRHDQFZ-UHFFFAOYSA 7.50863830616573
BIIVYFLTOXDAOV-TYJDENFWSA 6.34678748622466
BIIVYFLTOXDAOV-YVEFUNNKSA 6.55284196865778
BMKAEDSPKKTWID-PTGBLXJZSA 7.18708664335714
BMXGRFBSHSEZOP-UHFFFAOYSA 8.79588001734407
BOKIQWSDLBGRGI-UHFFFAOYSA 3.53610701101409
BQWBZBFRJHWSEA-UHFFFAOYSA 6.80134291304558
BRAUILVAENFWMQ-UHFFFAOYSA 6.7281583934635
BSGQUBKLPKMFRV-UHFFFAOYSA 7.63827216398241
BTIHMVBBUGXLCJ-OAHLLOKOSA 3.88605664769316
BTTUXHIWBVVISX-UHFFFAOYSA 5.79588001734407
BUVDAZCGAKIEOI-UHFFFAOYSA 3.9100948885606
BVEVXRDDVGYLHG-UHFFFAOYSA 6.82390874094432
BZMBEQLYEPQGMX-UHFFFAOYSA 6.08196966321512
CFMHJOOAJUEZAN-UHFFFAOYSA 4.30102999566398
CHGLHVVJPSESHY-UHFFFAOYSA 6.18708664335714
CJUCGJVXCMUBQK-GYLYAWIFSA 6.35261702988538
CKNBSSMNQGLXEA-UHFFFAOYSA 4.07058107428571
CLDZMWNXQSYUGP-UHFFFAOYSA 3.40671393297954
CMKUCULVWOEDIL-CJLVFECKSA 7.88605664769316
COLRVGXKZJZTAW-UHFFFAOYSA 6.61978875828839
CPHFCAJQZIPYIU-UHFFFAOYSA 5.22184874961636
CPNVJHSWNCPSIP-GYLYAWIFSA 6.87614835903291
CRDNMYFJWFXOCH-BUHFOSPRSA 5.60205999132796
CREZMKDQPXPVKO-UHFFFAOYSA 8.09691001300806
CSPLUAPBXKCAEC-UHFFFAOYSA 5.54515513999149
CUPLTRAPYIXFAX-UHFFFAOYSA 4.30102999566398
CURXWONZHCZVOV-UHFFFAOYSA 6.56863623584101
CYXGVPFAWCPIFH-HKOYGPOVSA 5.09691001300806
DDLZLOKCJHBUHD-WAVHTBQISA 8.30102999566398
DFHRUTWHYJCTMH-UHFFFAOYSA 8.15490195998574
DFOQUEDJAQZZIV-UHFFFAOYSA 6.38721614328026
DGICZXPTVAKIDT-UHFFFAOYSA 3.73048705578208
DIYMCWRDADCNAO-UHFFFAOYSA 4.92081875395237
DLGHVUQYPMHDTD-UHFFFAOYSA 4.45593195564972
DLJNVUXERDSYFS-HKWRFOASSA 6.52287874528034
DLJNVUXERDSYFS-HMMYKYKNSA 6.82390874094432
DNCXPYGCTRGWJY-UHFFFAOYSA 8.04575749056067
DOKPTPBHIRPUBR-UHFFFAOYSA 6.63078414258986
DQKGUOVMKYKFNV-UHFFFAOYSA 6.45593195564972
DQYDZCRLDYVZKY-UHFFFAOYSA 3.94309514866353
DSHMUQCEERJXOA-UHFFFAOYSA 8.04575749056067
DTTIISYOYISNJH-UHFFFAOYSA 8.15490195998574
DUXRZTGKMHMOES-ZFUDNRMFSA 4.95860731484177
DYYPGVLVNFFNRH-UHFFFAOYSA 5.74472749489669
DZQKEZDDWGRQEW-UHFFFAOYSA 7.60205999132796
DZUXTQCYZWQAFQ-UHFFFAOYSA 8.60205999132796
FABOGBCGXOXMKJ-UHFFFAOYSA 4.30102999566398
