CHIRONID	PIC50
AAYPLLWGPJQWCC-UHFFFAOYSA 7.69897000433602
ABBUKNGJXDJYGO-UHFFFAOYSA 6.08618614761628
ABQLVQSYGVOLAD-UHFFFAOYSA 6.77211329538633
ACBZAFIQJQQSBY-UHFFFAOYSA 6.96257350205938
ACQZMAJVOPRMQJ-UHFFFAOYSA 12.7380583824836
ADGQZIUZHRRUQA-UHFFFAOYSA 6.09691001300806
ADLJJDVYJGLCRQ-UHFFFAOYSA 7.09691001300806
AFBWGXIHPVUWLP-UHFFFAOYSA 6.37161106994969
AFELOMAKHWKENZ-UHFFFAOYSA 7.88605664769316
AFSDNFLWKVMVRB-UHFFFAOYSA 5.1249387366083
AGGRRECHHOVABN-UHFFFAOYSA 7.4089353929735
AGYJPEBXFSGBHP-INIZCTEOSA 3.52287874528034
AIJDWAIGSZBDMN-UHFFFAOYSA 4.30102999566398
AJERRVITMXKDJH-UHFFFAOYSA 5.48148606012211
AJLPDJZYNSSQJO-UHFFFAOYSA 6.07058107428571
AKAGBRZFDUGGEX-UHFFFAOYSA 3.60205999132796
AKEMXASAMBDUOC-UHFFFAOYSA 8.09691001300806
AKFVRSQELXTCFW-JYRVWZFOSA 6.36653154442041
AKGYFGPTGCPJOY-UHFFFAOYSA 8.19382002601611
AKPOETSCZOWHEI-UHFFFAOYSA 4.62397577609028
ALEHPEWAKSJMDC-UHFFFAOYSA 5.83032556594119
ALGPQGCICJOOHQ-UHFFFAOYSA 6.74472749489669
ALQLYFXDGFKLOE-UHFFFAOYSA 5.92081875395237
AMSNINGPDSUBHZ-WAUQNXBMSA 5.31875876262441
ANHNZYQVWLXJET-UHFFFAOYSA 6.80687540164554
ANUAVLXUJWJMIJ-UHFFFAOYSA 4.79588001734407
AOHZJKSTSDMBIZ-UHFFFAOYSA 6.6522591617549
AOIKKLIBKSSHQP-UHFFFAOYSA 5.60205999132796
AOMMPEGZDRAGRC-UHFFFAOYSA 5.11350927482752
APGBAJRVDDZEKF-UHFFFAOYSA 7.88605664769316
APLBJDOFALUWBA-AUXKDTDASA 5.61978875828839
APWRAEFIWMXQDD-UHFFFAOYSA 5.52287874528034
AQGNHMOJWBZFQQ-UHFFFAOYSA 8.15490195998574
AQJWACKPYCXBCF-SFHVURJKSA 6.16749108729376
ARIOBGGRZJITQX-UHFFFAOYSA 6.85387196432176
ARSCWVMYFYXWGC-UHFFFAOYSA 7.50863830616573
ATOAEKSFKWKAIO-UHFFFAOYSA 3.85387196432176
AUAUBVTWWCYNPP-UHFFFAOYSA 6.69897000433602
AVLYNJZZQYEFEA-XDJHFCHBSA 7.39794000867204
AWINCECFBWDQTG-UHFFFAOYSA 6.1605219526258
AWSROHDFGOQSME-UHFFFAOYSA 5.88605664769316
AWUDQZVZXLEYMK-UHFFFAOYSA 5.45593195564972
AWYIDZJUHWGVPJ-WDZFZDKYSA 7.85387196432176
AWZFCQRICMFIES-AATRIKPKSA 6.52287874528034
AXHDZQIQLDXLGI-UHFFFAOYSA 6.47237009912866
AXILYJJKIDQSFE-UHFFFAOYSA 6.51855737149769
AXKRZHUMKQPDBD-UHFFFAOYSA 5.52287874528034
AXMWKXSPCWMKHN-UHFFFAOYSA 7.72124639904717
AXWDQRXGOKDXJT-UHFFFAOYSA 8.00886438348022
AXXSVTAXFAAJTE-UHFFFAOYSA 6.31785492362617
AYNGABNXYBWCBY-UHFFFAOYSA 4.86710023005552
AYSFEKIVJXIJTM-UHFFFAOYSA 8.39794000867204
AZQPVODZWGLBAX-UHFFFAOYSA 4.52287874528034
BAZMDWORPAMNJS-UHFFFAOYSA 5.25979526449255
BBNQSWZLWJBJIN-UHFFFAOYSA 6.17979854051436
BBQOARXEMKNYLC-UHFFFAOYSA 6.48280410205003
BBZXYDVHLNKGFB-XQNSMLJCSA 8.39794000867204
BCPZRAHPMJLZGY-UHFFFAOYSA 5.33724216831843
BDGMLSKKNBJWEY-UHFFFAOYSA 7.82390874094432
BDNALELXSRUQLO-UHFFFAOYSA 6.79317412396815
BEKSOHVYNHFKGU-UHFFFAOYSA 7.00436480540245
BEYBHILIDYTJTL-UHFFFAOYSA 8.09691001300806
BEYDVFUQKWNRPT-UHFFFAOYSA 7.61978875828839
BFHQTAMNYUCFBP-UHFFFAOYSA 7.82390874094432
BFZLIRBKTWWSMC-UHFFFAOYSA 2.60205999132796
BGVFZHIFEQILLB-UHFFFAOYSA 8.22184874961636
BHQZGGSZRHDQFZ-UHFFFAOYSA 7.50863830616573
BHSCBQOHULFWOT-UHFFFAOYSA 5.50863830616573
BIFVRZJCZAIDEH-UHFFFAOYSA 6.17392519729917
BIGPNLBOTAHTOI-UHFFFAOYSA 6.86646109162978
BIIVYFLTOXDAOV-TYJDENFWSA 6.34678748622466
BIIVYFLTOXDAOV-YVEFUNNKSA 6.55284196865778
BIRUZCSCWWYKGT-UHFFFAOYSA 6.26841123481326
BIUSOGXDWCLKOI-WJDWOHSUSA 6.29242982390206
BJMTXIZQCDGXRJ-UHFFFAOYSA 6.50863830616573
BJSFTYZWWXFKSH-FQEVSTJZSA 6.58502665202918
BKDJKLGTINZZJA-UHFFFAOYSA 7.74472749489669
BKUMVXIXUVYKDQ-GHXNOFRVSA 6.60205999132796
BLIDTQXUCVVXAD-UHFFFAOYSA 6.10237290870956
BLXHUSFCTBUDQK-UHFFFAOYSA 5.69897000433602
BMKAEDSPKKTWID-PTGBLXJZSA 7.18708664335714
BMROQCPWMNUZGZ-UHFFFAOYSA 5.6458915608526
BMXGRFBSHSEZOP-UHFFFAOYSA 8.79588001734407
BOKIQWSDLBGRGI-UHFFFAOYSA 6.53610701101409
BQTJRYNLKIVLQR-UHFFFAOYSA 7.42021640338319
BQWBZBFRJHWSEA-UHFFFAOYSA 6.80134291304558
BRAUILVAENFWMQ-UHFFFAOYSA 6.7281583934635
BSGQUBKLPKMFRV-UHFFFAOYSA 7.63827216398241
BTIHMVBBUGXLCJ-OAHLLOKOSA 3.88605664769316
BTMNXEWEJJUIPL-UHFFFAOYSA 8.0268721464003
BTTUXHIWBVVISX-UHFFFAOYSA 5.79588001734407
BUAIGJRXIAKFCN-UHFFFAOYSA 5.65757731917779
BUSSOWPXBXFBJR-UHFFFAOYSA 8.18045606445813
BUVDAZCGAKIEOI-UHFFFAOYSA 6.9100948885606
BVGHDOMJGHGNCJ-UHFFFAOYSA 5.79588001734407
