CHIRONID	PIC50
AGEIBLLCZVGHLI-UHFFFAOYSA 6.02410886359821
AMERZUAKIAGPBA-UHFFFAOYSA 6.25884840114821
AULCRCVNIWNUTH-UHFFFAOYSA 7.04095860767891
AXQKJTHCYRYSLF-UHFFFAOYSA 6.26760624017703
AYZBGELVIWCHIM-UHFFFAOYSA 6.61083391563547
AZHCLYPIUAUSQD-UHFFFAOYSA 4.89619627904404
BCNXUFFSRWFFQA-UHFFFAOYSA 7.26760624017703
BDUYLUFNRITWFA-UHFFFAOYSA 4.60205999132796
BGPDVHQUNWLDHE-UHFFFAOYSA 3.30102999566398
BHIWBHXJQRREGM-UHFFFAOYSA 7.43179827593301
BJNPYRHGWJVECX-SNVBAGLBSA 6.50723961097316
BLOGCIUNNJYXBR-UHFFFAOYSA 4.60205999132796
BMHCYYLFLWTPHZ-UHFFFAOYSA 8.09691001300806
BTIKYUUNPGWLNG-UHFFFAOYSA 14.7739158840242
CDJSZJDGHKEHCW-UHFFFAOYSA 5.35654732351381
CHPHDLQQSCKHOK-UHFFFAOYSA 7.55284196865778
CIRFQCDQKJVIFC-UHFFFAOYSA 5.92081875395237
CJFWNLXLAAHQJY-UHFFFAOYSA 5.95860731484177
CJMMCIXRPVLDBH-UHFFFAOYSA 8.03621217265444
CJSQOSUWJWUEGC-CSKARUKUSA 4.65955588515988
CMUZPNXYCOKJJJ-UHFFFAOYSA 6.06803388527183
CNWAVQYSQHXMCH-UHFFFAOYSA 6.28735029837279
COAQRADEUYYCDG-SECBINFHSA 8.09691001300806
COAQRADEUYYCDG-VIFPVBQESA 8.05551732784983
CQZZCFVTEOJWAW-UHFFFAOYSA 6.50863830616573
CRPUDAVZTZIKMJ-QPJJXVBHSA 7.58502665202918
CYKWMIZUFXPHFW-UHFFFAOYSA 5.88605664769316
DAQLGBCGVAJYAG-FNORWQNLSA 4.61618463401957
DAXOOIRHYYCDDH-UHFFFAOYSA 7.14874165128092
DAZCBQNFGSWSQG-UHFFFAOYSA 6.74232142513081
DBHCVYPQRZQCEG-UHFFFAOYSA 4.60205999132796
DBZCDBKTCUKQPQ-UHFFFAOYSA 6.26760624017703
DHYADLCEAXMYPS-UHFFFAOYSA 6.14996674231023
DINPOPQNCDTVPQ-UHFFFAOYSA 6.1001794975729
DSVSJEPFPNNSGX-UHFFFAOYSA 5.95860731484177
DTUMIKLOEHJGJT-UHFFFAOYSA 5.05060999335509
DUPSNQFPAJUAKA-UHFFFAOYSA 6.42021640338319
DUQGHTXMYYQABR-UHFFFAOYSA 5.31875876262441
DUSWCXDALWVDSK-UHFFFAOYSA 7.16115090926274
DXZISSBXMPGCOF-UHFFFAOYSA 4.60205999132796
DYEJYFAQYRMVFS-UHFFFAOYSA 7.11918640771921
FASPJDRKOSUHHS-UHFFFAOYSA 7.31875876262441
FAWGCSGOLCHXBH-UHFFFAOYSA 7.63827216398241
FBPGKQDWCDVDJX-UHFFFAOYSA 4.34399767931704
FHNLPTRXVQOXQO-SECBINFHSA 7.06550154875643
FHNLPTRXVQOXQO-VIFPVBQESA 7.60205999132796
FIENVLBRUWEWDS-UHFFFAOYSA 6.59176003468815
FILQIUCXPQZUON-UHFFFAOYSA 7.50863830616573
FITNUKNIUJHPPH-UHFFFAOYSA 6.36653154442041
FLOXVEVSESQZRQ-UHFFFAOYSA 6.22621355501881
FRBJLBMEOUWTOH-UHFFFAOYSA 6.76447155309245
FRKWMLCUONAHJH-UHFFFAOYSA 7.74472749489669
FRQGIFZNGIECRT-LSKJDRFGSA 4.61798295742513
FRQGIFZNGIECRT-XPNRABICSA 4.69680394257951
FVPBLAKABVRLRX-UHFFFAOYSA 6.48678239993206
FXCRGRHHHOSJRE-UHFFFAOYSA 6.36051351073141
GDPCGYDMVIPGLD-UHFFFAOYSA 5.46852108295774
GEZALMMCQYDFML-UHFFFAOYSA 7.05551732784983
GGBQGMRDBYCCLW-UHFFFAOYSA 5.46852108295774
GGEALBVZDVXUND-UHFFFAOYSA 4.60205999132796
GLDQJVYQRVZJIH-UHFFFAOYSA 4.60205999132796
GLYDCPPHXDVIKA-UHFFFAOYSA 6.03763066432998
GMIVUSAKVGKIOC-UHFFFAOYSA 6.46218090492673
GMQQMSKNSNVPOW-VOTSOKGWSA 6.25963731050576
GNIYUURCQFKRCB-UHFFFAOYSA 7.79588001734407
GRWJFKQBVQNWQW-UHFFFAOYSA 7.18708664335714
GTXKSDZLEOURPP-UHFFFAOYSA 5.79588001734407
GZMVQSNFLJUEMM-UHFFFAOYSA 5.85387196432176
GZZUDLULILLTCZ-UHFFFAOYSA 6.79588001734407
HFBMCRRHMRLGSA-UHFFFAOYSA 5.95860731484177
HFNVVIKLQRUGQK-LUAWRHEFSA 3.30102999566398
HFNVVIKLQRUGQK-PKNBQFBNSA 4.86646109162978
HGALDAPNHYJZAJ-UHFFFAOYSA 6.37468754903833
HHVUDVWMACNSOB-UHFFFAOYSA 6.71669877129645
HKWNGVFHUCRTTQ-UHFFFAOYSA 6.06499684854635
HMKCVXALDWCZFL-UHFFFAOYSA 5.63827216398241
HRRMXIICSWVXIS-UHFFFAOYSA 8.05060999335509
HTEUQPWFMDGLKN-UHFFFAOYSA 7.79588001734407
HVUAYFFHDRNLOX-UHFFFAOYSA 7.08618614761628
