CHIRONID	PIC50
AAKJLRGGTJKAMG-UHFFFAOYSA 6.90308266762307
ABDIOQXDBJMGHB-QPJJXVBHSA 5.38090666937326
ADGFMMGNBWOIFL-UHFFFAOYSA 4.73447466478093
ADTHOQASRLCLRF-UHFFFAOYSA 4.15864052954514
AERGSELXAOHCKG-UHFFFAOYSA 6.44369749923271
AFISYERGFLOUQT-FMIVXFBMSA 5.66756154008439
AGTPOONMTANNPL-VOTSOKGWSA 5.37861597151835
AHRFAYIIMKQRQN-UHFFFAOYSA 8.08618614761628
AHZUHDSHQGQZRW-UHFFFAOYSA 5.18641901143181
AIKCGGJZJKSMHT-UHFFFAOYSA 6.85387196432176
AJJOCYLKITUOSA-UHFFFAOYSA 5.41793663708829
ALUHXQXQTNRXQL-KPKJPENVSA 4.86646109162978
AMKUXKLKCBIHIX-UHFFFAOYSA 4.20537255533549
AMPJVHBLKDNTBD-UHFFFAOYSA 5.57511836336893
APBCLSCKMPCKMF-UHFFFAOYSA 5.9100948885606
APCFVCIEZAMJBU-FQEVSTJZSA 6.76955107862173
APHSPKWGAGCFBE-LUOAPIJWSA 8.15490195998574
AQOVRLPHUSWQJQ-UHFFFAOYSA 4.80520824227807
AQXIMVWUURMKKC-UHFFFAOYSA 4.87562621351537
ARONTHZOHQBYDZ-UHFFFAOYSA 7.05816928242319
ASRPLHQXFWEEDQ-UHFFFAOYSA 7.09691001300806
ATEQNOXHLBHSBB-UHFFFAOYSA 7.11918640771921
ATUGWBRHDFGSKE-UHFFFAOYSA 5.02365002099673
AVKRWJGYHFZIQI-UHFFFAOYSA 5.1681302257195
AWFCPTZKALKFEK-UHFFFAOYSA 6.95860731484177
AWGJFLKTUDKCKI-UHFFFAOYSA 6.67778070526608
AWONUZFYKOTAIK-UHFFFAOYSA 6.61978875828839
AWQLTDUXGVCRBV-UHFFFAOYSA 8.40757731917779
AXXNPLIUJGQSAQ-NRFANRHFSA 6.2518119729938
AYBZPORZUSISPX-UHFFFAOYSA 3.30102999566398
AYUJWVQYAUDNQZ-UHFFFAOYSA 6.55284196865778
AYUNIORJHRXIBJ-TXHRRWQRSA 7.50863830616573
AZDCMGDGNHSVCZ-UHFFFAOYSA 7.58502665202918
AZGVCABJHURYHG-UHFFFAOYSA 4.85855022659953
BBFZNAMYBDLSGK-QLKAYGNNSA 5.34582345812204
BBIKEXVBWCYZFP-MDZDMXLPSA 6.95860731484177
BBJFDODASSZYKE-KRWDZBQOSA 8.22184874961636
BBJFDODASSZYKE-QGZVFWFLSA 8.09691001300806
BBYDGVLJODYSJL-UHFFFAOYSA 8.20065945054642
BCCBBFDXEPUOFF-SZPZYZBQSA 5.39469495385889
BCFGMOOMADDAQU-UHFFFAOYSA 7.76097008704971
BDCAOKLPNVNFEL-UHFFFAOYSA 7.63827216398241
BDNLTOXSGSRVFC-QPJJXVBHSA 6.19791074211827
BERLNDGSHCXVKP-UHFFFAOYSA 8.39794000867204
BFBSQOKQECCEPF-UHFFFAOYSA 7.11918640771921
BFTPDUXUTFGDLP-UHFFFAOYSA 6.43179827593301
BFXGHOJOXUBCTO-UHFFFAOYSA 7.07058107428571
BGBLLHLHSYVTAD-WUXMJOGZSA 4.34189316449361
BGHXZIFCCVTXMJ-RCZVLFRGSA 7.06048074738138
BHZWACACNOOTKB-UHFFFAOYSA 7.74472749489669
BIBALVWNPOYBTN-UHFFFAOYSA 7.44758579817317
BIHMIKVTIYXXKN-UHFFFAOYSA 7.45593195564972
BIIVYFLTOXDAOV-YVEFUNNKSA 4.80134291304558
BIMWWEYHEVYXDA-UHFFFAOYSA 7.16115090926274
BIMWWQTZLQPHIF-LFYBBSHMSA 4.9888526392242
BJSZKHZJEOKFJO-DIVCQZSQSA 7.88605664769316
BKAKEQNATCRPPB-UHFFFAOYSA 3.30102999566398
BLCWDFQAJUMTGJ-RMKNXTFCSA 5.84527179255984
BLKHBMPRDHTKGF-UHFFFAOYSA 5.58838029403677
BLRPVPKLIFBVIC-UHFFFAOYSA 7.05551732784983
BOTQXVZWXJGWAV-UHFFFAOYSA 5.30102999566398
BOURCKXZYDOVSP-UHFFFAOYSA 6.1249387366083
BOXDQGATHFGEIB-UHFFFAOYSA 5.74714696902011
BQMMBUOYOGSCCG-UHFFFAOYSA 7.13667713987954
BTYYWOYVBXILOJ-UHFFFAOYSA 7.32053678580208
BUHRXTFCHFVRAR-VMPITWQZSA 4.84405698202816
BUMADWVVVPZKNG-UHFFFAOYSA 7.15490195998574
BUMNYYHWWDVKRN-UHFFFAOYSA 7.52287874528034
BUPWPQSTALKSKT-UUILKARUSA 6.3767507096021
BURBAFXROHRDAV-UHFFFAOYSA 6.58004425151024
BVASVOATLGXWDS-UHFFFAOYSA 6.93181413825384
BVBMTEPFJRTLEL-KBKYJPHKSA 8.26143937264017
BVMZNZPGSFCWPC-UHFFFAOYSA 6.69897000433602
BVWQZMQCRDRIMH-IPPBACCNSA 7.19509611533565
BVXBBIZFISJCMB-UHFFFAOYSA 8.39794000867204
BWIHZZBWTTUUMW-WQRHYEAKSA 3.30102999566398
BYEZGHDYNSABOZ-VOTSOKGWSA 5.10790539730952
BZUIGXZUUGQBLL-UHFFFAOYSA 6.77989191195994
CADRLZXVKIQPSG-UHFFFAOYSA 7.69897000433602
CANOJKGQDCJDOX-VZUCSPMQSA 4.74472749489669
CAWNRJMVCHPPDP-VZUCSPMQSA 5.07262963696098
CAZQZPUZMIOJCR-UHFFFAOYSA 7.70783438781623
CBDBASHBUAODSV-UHFFFAOYSA 5.85387196432176
CBYKZDODYSIEFB-UUILKARUSA 5.74957999769111
CCECSDRSBLPTHW-UHFFFAOYSA 4.84832376915295
CCUWFRBLNGOQSJ-UHFFFAOYSA 5.91364016932525
CDDJNPZYBJNIRP-UHFFFAOYSA 6.34948500216801
CDIOXDOXJQDENS-UHFFFAOYSA 8.10056644156061
CFVOLTWOOMEMAM-DUXPYHPUSA 5.34678748622466
CGRLNCABNBKKKW-UHFFFAOYSA 8.22184874961636
CHAYZJWZKSNHRQ-UHFFFAOYSA 6.13489602535887
CIGSBJHMSOROSY-UHFFFAOYSA 8.52287874528034
CISJBDCCOIMBGW-UHFFFAOYSA 4.46571999479492
CJGPKVRBUPRPTR-UHFFFAOYSA 7.04575749056067
CJHNARCORXPMOD-CYFREDJKSA 6.07058107428571
CJHNARCORXPMOD-DVECYGJZSA 6.88605664769316
CLYYHKWHUJNBOP-UHFFFAOYSA 3.30102999566398
CNAYRPIRUOIQNH-UHFFFAOYSA 6.52958950902407
CNRXAYAWNNSNLT-UHFFFAOYSA 7.22914798835786
CPXCUSISXFTYFB-UXBLZVDNSA 4.45593195564972
CQKFTSMPIIYOBX-UHFFFAOYSA 6.72124639904717
CQQNFOOXUBFINM-UHFFFAOYSA 5.00217691925427
CQTPFJKIPFEALQ-UHFFFAOYSA 6.61978875828839
CQZZCFVTEOJWAW-UHFFFAOYSA 3.60205999132796
CRBRXGPBHTVVFQ-BUHFOSPRSA 5.31875876262441
CREMXLIEDCOOOC-UHFFFAOYSA 7.06550154875643
CSHGVUBBAZPQSJ-KPKJPENVSA 2.77989191195994
CSSBEHMUMWBFOC-UHFFFAOYSA 5.30102999566398
CTAHCBONHHOZRK-BQYQJAHWSA 3.30102999566398
CTCXKWWYXMCWMT-UHFFFAOYSA 4.40329297031855
CTFGDXFXTZFJLD-GOSISDBHSA 7.56863623584101
CUPLTRAPYIXFAX-UHFFFAOYSA 3.30102999566398
CVJUVNFCJFFASS-OVCLIPMQSA 4.30102999566398
CVNRNJTZYYQYLI-DHDCSXOGSA 4.79048498545737
CWMMIUYLBCDIGF-UHFFFAOYSA 6.79588001734407
CXJQAZDGOBZGLJ-UHFFFAOYSA 5.79588001734407
CXWGFZRBLKUTRZ-UHFFFAOYSA 7.63827216398241
CYFPQVFLFVUCKY-AATRIKPKSA 4.77598518862713
CYQGGEIFCSVNDW-UHFFFAOYSA 6.11013827874181
CZGMEOAMQWAJOY-UHFFFAOYSA 4.5895951173458
CZGNRKPPNUUZNJ-UHFFFAOYSA 4.32790214206428
CZUVMGAHFHQKLM-UHFFFAOYSA 5.50863830616573
DAPDIOHPATXXKN-UHFFFAOYSA 5.26921772433361
DBBVLPYZSAWTHY-UHFFFAOYSA 6.72124639904717
DBDJGLFOLVMUOF-QILCKVHPSA 7.15490195998574
DBHPUQBVYOYNRL-UHFFFAOYSA 4.81276138016852
DBSISHZEFSMQPK-GOSISDBHSA 7.72124639904717
DCVODVBLQRXBMG-UHFFFAOYSA 5.55284196865778
DDFVEPVOFUZFCZ-AATRIKPKSA 4.71354353025302
DDLVKNCHMPSZAJ-UHFFFAOYSA 6.11918640771921
DDUXEFVABXYEDJ-IWIPYMOSSA 6.99139982823808
DEDWEDQNCVGJQP-UHFFFAOYSA 6.74472749489669
DFPVBLYULSUJRC-YSURURNPSA 6.8153085691824
DFXACJCBWLFSNJ-KIBLKLHPSA 7.11918640771921
DGHCJBIQTOAXJQ-VZUCSPMQSA 4.55548679366596
DGORACVWOLFYBN-UHFFFAOYSA 7.36151074304536
DGVCIMUJVPVQEX-KBKYJPHKSA 7.56863623584101
DIOFAGBPNISMJA-UHFFFAOYSA 7.69190690464604
DJURWFMQIHTKEM-UHFFFAOYSA 8.39794000867204
DLACNDICKJWAMH-UHFFFAOYSA 6.67778070526608
DLPSDPPZXRJQOY-UHFFFAOYSA 8.95860731484177
DLQGOUYSCARQKO-UHFFFAOYSA 6.74472749489669
DLQXAWIVHRHOQT-MEMLXQNLSA 7.29672990978302
