CHIRONID	PIC50
AAHOZWNLWKBWNN-UHFFFAOYSA 17.4293425413224
AAKJLRGGTJKAMG-UHFFFAOYSA 3.52287874528034
AAWMAJBBHSVQCG-UHFFFAOYSA 5.34678748622466
ABLYXLXBJMBVQN-JOCHJYFZSA 7.74472749489669
ABNRWDFBKNMBQO-DIBXZPPDSA 6.49620931694282
ABWMYRMKIDRAMI-UHFFFAOYSA 6.6896197550029
ACIXRIVGNFCLEL-UHFFFAOYSA 5.90622821850127
ACPVKVVXBYJLMT-UHFFFAOYSA 5.18708664335714
ADJZVALIXLSXCU-YHBQERECSA 5.73992861201492
AENCTNCRKXVXOM-UHFFFAOYSA 6.25963731050576
AEPPFJZPUGRZEO-MEMLXQNLSA 6.53766664400421
AFGXLUJVZOJZCS-UHFFFAOYSA 6.0097562901686
AFKZEIRPJTZMPR-UHFFFAOYSA 6.68178719816479
AIDPYGNJDVIIOF-UHFFFAOYSA 6.14021300582269
AJYKKQGFOFSZLL-MXVIHJGJSA 7.2852853678091
AKIQDXURYNYZSE-QFIPXVFZSA 5.29242982390206
AKNQYBBZYGYUSZ-UHFFFAOYSA 7.31951405813703
AMCOPXBOIWZWHG-UHFFFAOYSA 3.52287874528034
AMKPHWUXNDGLHA-UHFFFAOYSA 5.60205999132796
AMNUXFGXHHMPGQ-UHFFFAOYSA 4.8569851997459
ANBSWCCVJMJABF-AREMUKBSSA 7.34678748622466
ANPBWIKLRHMGFH-UHFFFAOYSA 4.60730304674033
ANRBCWJCYLHRBB-HZCBDIJESA 6.66977597433935
AOUMXCXOJGAKLX-UHFFFAOYSA 5.53760200210104
AQMKAWXXYOROQF-UHFFFAOYSA 7.74472749489669
AQTGJJPOCBCGFT-UHFFFAOYSA 4.15490195998574
AQXIMVWUURMKKC-UHFFFAOYSA 5.37253172754029
ASLJKKCVGZGUQJ-UHFFFAOYSA 7.88477553931087
ASNDXJNBHVPPGQ-UHFFFAOYSA 6.86062319952359
ATQHXGKVDGVPFR-UHFFFAOYSA 6.11343255790612
ATVMHDNPWFPPTE-UHFFFAOYSA 5.48017200622428
AVGCROUIHRPABV-UHFFFAOYSA 5.55909091793478
AWONUZFYKOTAIK-UHFFFAOYSA 3.90308998699194
AXHWESODWDIJCC-UHFFFAOYSA 7.30102999566398
AYBRPNRWSDGUIP-UHFFFAOYSA 6.57521835826494
AYLHXJRATOSMBP-IBGZPJMESA 6.27572413039921
AZFITEALNSCCOH-HSZRJFAPSA 6.65757731917779
AZSLBPJZDBNJAM-UHFFFAOYSA 7.20071416825893
BAQVQWAGEGMVNH-UHFFFAOYSA 3.52287874528034
BARYYLFEOIUPEY-UHFFFAOYSA 3.52287874528034
BBYDGVLJODYSJL-UHFFFAOYSA 3.90308998699194
