CHIRONID	PIC50
AAFMUTYTWRBOGE-UHFFFAOYSA 45.9617520907422
AAULHXMYIYHOPY-UHFFFAOYSA 6.95860731484177
ACHGROLDLIHAFV-UHFFFAOYSA 3.52287874528034
ADDJZCFRZPJIHD-UHFFFAOYSA 6.82973828460504
AFBRTRAWQSXGHM-UHFFFAOYSA 5.3
AGMOCPFJNJCUEI-UHFFFAOYSA 5.97632361962303
AHWPHEINJHKLIK-UHFFFAOYSA 3.69897000433602
AIWJVLQNYNCDSL-UHFFFAOYSA 4.69897000433602
AJTFMFKDVIABDI-UHFFFAOYSA 5.53760200210104
AKBFRMUPYJQUON-UHFFFAOYSA 7.22914798835786
AKFPEKVULJCIRV-UHFFFAOYSA 7.23657200643706
AKTVIHKKGSLCNW-UHFFFAOYSA 6.4
AKWSIDWVFMPINB-IBGZPJMESA 7.01322826573375
ALKHGXHSQIBUSM-UHFFFAOYSA 6.63827216398241
ALNKZWZEELZRCE-UHFFFAOYSA 7.24742501084005
ALYOPFXNKXEGSQ-UHFFFAOYSA 5.05551732784983
AMSPCSYNFCFPJS-UHFFFAOYSA 7.61978875828839
AOTGRTJQZBDEQX-UHFFFAOYSA 7.39794000867204
APLPSXMHNNLHAF-UHFFFAOYSA 5.39794000867204
APRXYRORERCWAV-JTQLQIEISA 8.22184874961636
APRXYRORERCWAV-SNVBAGLBSA 7.55284196865778
APRXYRORERCWAV-UHFFFAOYSA 8.04575749056067
AQRJVDRPEZNKRQ-UHFFFAOYSA 5.7619538968712
AQTGJJPOCBCGFT-UHFFFAOYSA 6.24412514432751
AQXZEWPECUIPFQ-UHFFFAOYSA 7.72124639904717
ATMHBIQVUIHWIU-ZDUSSCGKSA 7.79588001734407
AUZFFNSTDMQUQM-UHFFFAOYSA 5.63827216398241
AUZFWDQAVYWVTD-UHFFFAOYSA 6.37589071940497
AWIZQQJUTBQAHA-NSHDSACASA 7.30980391997149
AXEFUXRYGBWMKE-UHFFFAOYSA 8.55284196865778
AXFTYCQBICPJFF-UHFFFAOYSA 5.69897000433602
AXXNTFJEXBNCPU-UHFFFAOYSA 5.38721614328026
AZZYYFANKVNGLA-UHFFFAOYSA 9.04575749056067
BACODVKOMBXPLL-UHFFFAOYSA 5.8
BDFCNCAEFMSWIC-UHFFFAOYSA 6.3429441471429
BDKNLPOMCCBPEW-JOCHJYFZSA 6.79588001734407
BDKNLPOMCCBPEW-QFIPXVFZSA 5.29242982390206
BDSCTDVIHFAHKT-UHFFFAOYSA 6.47755576649368
BEGWCMAELGWWIV-UHFFFAOYSA 6.56863623584101
BEMNGTIPVOLXEM-UHFFFAOYSA 5.60205999132796
BFMOCFOSJHTDQW-UHFFFAOYSA 5.37161106994969
BGHHNYSARDRFMM-UHFFFAOYSA 6.34678748622466
BHHWVKQXKIOMRP-UHFFFAOYSA 7.99139982823808
BJSGFMRWYBPCAJ-UHFFFAOYSA 5.9
BKBLUMRHFSUZKV-SECBINFHSA 6.30102999566398
BKBLUMRHFSUZKV-VIFPVBQESA 6.22914798835786
BMBNVMOVJZEUHU-UHFFFAOYSA 3.69897000433602
BMOPCAUVXKIAKQ-UHFFFAOYSA 6.4
BMRYPRODGMJMLQ-UHFFFAOYSA 8.72124639904717
BMUACLADCKCNKZ-UHFFFAOYSA 5.3716476516722
BNLOSSVAJSTFPG-HNNXBMFYSA 5.88605664769316
BNNHUJVLSQMBPR-UHFFFAOYSA 7.4089353929735
BPHABENYMWHGQU-LBPRGKRZSA 7.56863623584101
BPLTVYXMXOYIBK-DHZHZOJOSA 4.30102999566398
BQWHIFFLANBUPP-UHFFFAOYSA 6.3
BWZJBXAPRCVCKQ-UHFFFAOYSA 7.27642098432889
BYMRVDVGQVMXFP-UHFFFAOYSA 7.82390874094432
BYOPCIIIMROPRL-UHFFFAOYSA 6.48148606012211
BZVJMVFLTIUWES-UHFFFAOYSA 5.05060999335509
BZVQREJPPVBQCO-UHFFFAOYSA 5.85387196432176
BZXWGXXSVTXQQR-UHFFFAOYSA 6.72124639904717
CABAICBOANELKL-UHFFFAOYSA 5.46852108295774
CAQFGELJFOQHOV-UHFFFAOYSA 5.22841251911874
CDLKMCNDJHVLFG-UHFFFAOYSA 6.26093328594974
CDNQNPSWFHDZDZ-UHFFFAOYSA 7.19686986882941
CDXQICBCQUQXMP-UHFFFAOYSA 6.43179827593301
CERJXFLZKKJWII-UHFFFAOYSA 4.69897000433602
CHDZQVKEMRHNOW-UHFFFAOYSA 8.69897000433602
CHGDFHFPFZBZLC-UHFFFAOYSA 7.30102999566398
CJVVWOZJTWMPEL-UHFFFAOYSA 6.69897000433602
CKFQDBFVLWMKCN-KEBDBYFISA 5.15614457737684
CKLKZEVFAQVWPZ-UHFFFAOYSA 5.20760831050175
CMCAUNLIMUYFOJ-UHFFFAOYSA 5.52287874528034
CQNOZHKESCJWOZ-UHFFFAOYSA 8.95860731484177
CREAHTMWKXOTPH-UHFFFAOYSA 7.0087739243075
CRLCYUHWQKIZTC-UHFFFAOYSA 5.49485002168009
CRPUDAVZTZIKMJ-QPJJXVBHSA 3.30102999566398
CRXCSBGTZKOIPZ-UHFFFAOYSA 6.61978875828839
CTEHMRUJZDTSPT-UHFFFAOYSA 7.63827216398241
CTKSQKUNKKLBJD-HNNXBMFYSA 7.38721614328026
CTQXNVIFXROTCU-UHFFFAOYSA 6.67778070526608
CUFUQFXOHLGNNW-UHFFFAOYSA 7.09151498112135
CUHKDWCOJDUHAX-RTWAWAEBSA 7.79588001734407
CUSFVIQRVHXXSC-UHFFFAOYSA 8.92081875395237
