CHIRONID	PIC50
ACVANEVBTQGRLW-UHFFFAOYSA 5.92081875395237
AFVDQRKAOQLYKF-UHFFFAOYSA 14.6566818653689
AKGWEJVJZZONQM-ZRDIBKRKSA 7.3767507096021
AOFJRBMLTUGMMP-UHFFFAOYSA 6.56863623584101
AQTGJJPOCBCGFT-UHFFFAOYSA 4.15490195998574
AQVGJFYRWKLBRE-UHFFFAOYSA 5.69897000433602
ARDVVVHRXGYORG-UHFFFAOYSA 7.22184874961635
ASKRYCKFRZQYGB-UHFFFAOYSA 6.85387196432176
AUKRLJSUNHCDDH-UHFFFAOYSA 6.60205999132796
BADPLEONPHCMDZ-UHFFFAOYSA 6.14016865849097
BAHVHTQRHSHZTA-UHFFFAOYSA 7.15490195998574
BEUCLPCKIJNJKN-UHFFFAOYSA 6.16115090926274
BEYXTEAJDUMVTG-UHFFFAOYSA 5.72124639904717
BGMRBNOCQJRDMT-UHFFFAOYSA 6.12981865525288
BHJJWVDKNXABFS-UHFFFAOYSA 3.69897000433602
BIIVYFLTOXDAOV-YVEFUNNKSA 3.82827354634677
BIMDLYKTGNEGNE-UHFFFAOYSA 7.45593195564972
BKFWMHRPXMIQPP-UHFFFAOYSA 6.46852108295774
BODDOMUCKPUVGY-UHFFFAOYSA 5.65955588515988
BRNRCSOSJKNQDM-ZRDIBKRKSA 8.22184874961636
BWFHAYMCXKIPLB-UHFFFAOYSA 7.32790214206428
BWNLNMJMLKQBKZ-UHFFFAOYSA 5.34678748622466
BZRXHTKYDDKURR-WYMLVPIESA 7.17392519729917
CABJCPPEBOXLNC-UHFFFAOYSA 5.65937938131221
CAHMXEROAVSIFN-UHFFFAOYSA 7.22914798835786
CAJXAEQNBKVKTE-UHFFFAOYSA 5.81539207129492
CAMJEDZKEXZNEY-UHFFFAOYSA 4.82390874094432
CATNPGATOOPPKF-UHFFFAOYSA 6.95860731484177
CCUMEZRCMJRYHN-UHFFFAOYSA 4.4089353929735
CCYLXRZCCYTEPD-UHFFFAOYSA 7.45593195564972
CDVMXMZPDJHSCC-UHFFFAOYSA 7.22184874961636
CFAYMFXAARPSEQ-UHFFFAOYSA 7.41634133262591
CFHJARLUPRYYAH-UHFFFAOYSA 7.49569991411904
CFPKBGQZSYJRNG-UHFFFAOYSA 6.36489357255187
CIDLDKKAAKXBML-UHFFFAOYSA 5.76955107862173
CJSHFFJGWBKZBV-UHFFFAOYSA 6.92081875395237
CKYQXIVHGUEYDB-UHFFFAOYSA 6.58502665202918
CLFOIXVUUDBDGI-UHFFFAOYSA 7.82390874094432
CNJKPUBUFXVNCF-UHFFFAOYSA 6.01322826573375
CONFAZIWNTWVLC-UHFFFAOYSA 6.92081875395237
CQCKNCKQMQAWLH-UHFFFAOYSA 7.69897000433602
CQYAVXIHIFJOCO-VQHVLOKHSA 8.04575749056067
CRDKYUCJRCSUIO-UKTHLTGXSA 6.88605664769316
CRPUDAVZTZIKMJ-QPJJXVBHSA 3.69897000433602
CTGCKVXKQZXWRP-UHFFFAOYSA 6.95860731484177
CUPLTRAPYIXFAX-UHFFFAOYSA 3.30102999566398
CUVHEFLIOFIFMD-UHFFFAOYSA 7.46852108295774
CVIBKQQGYYKXTR-SFQUDFHCSA 7.20065945054642
CWONBDFBMQGQHW-UHFFFAOYSA 7.33724216831843
CWWLBEVLARYNOV-UHFFFAOYSA 8.22184874961636
CYENRWZQGSRRDN-UHFFFAOYSA 7.92081875395237
CYJJVQQSLLCUJY-UHFFFAOYSA 5.89962945488244
DAMJBUUVVWRAQN-UHFFFAOYSA 7.34518491628705
DDKMQUXLSUUYKL-UHFFFAOYSA 6.20065945054642
DEDAWVUJRZIKFY-UHFFFAOYSA 6.27572413039921
DGUSFVFTIHATAT-UHFFFAOYSA 4.30102999566398
DHGXDLWTMDTFHD-UHFFFAOYSA 7.08092190762393
DIFPTFWNTBLXPM-UHFFFAOYSA 7.52287874528034
DJTISDBBSCGIQS-UHFFFAOYSA 7.09151498112135
DJVPXIWPGCQDDH-UHFFFAOYSA 7.56863623584101
DMCCIGLSUATEMD-UHFFFAOYSA 6.69897000433602
DPCITOXJVNGDHY-UHFFFAOYSA 5.1505805862031
DQGPZBDEZLETHP-UHFFFAOYSA 6.06550154875643
DQPJVNQWPBLBAB-UHFFFAOYSA 7.03174312876055
DQTBORZYKZITIA-UHFFFAOYSA 8
DUXYZTPLTJYCNJ-UHFFFAOYSA 7.04177302572504
DVAYUYCZMIQXLC-UHFFFAOYSA 6.72184874961636
DVRSTRMZTAPMKO-UHFFFAOYSA 3.60205999132796
DWICUERZWRWRJK-UHFFFAOYSA 6.74756077029489
DWXFUBUNKOCZDN-UHFFFAOYSA 7.63827216398241
DXCIBUPROMUQLA-UHFFFAOYSA 3.30102999566398
DXDUQLPZBMQNQO-UHFFFAOYSA 6.58502665202918
DYHYRTFULZNMOR-UHFFFAOYSA 7.10240770515879
FCAPBPOVJUMQEJ-UHFFFAOYSA 6.10237290870956
FCAWWBYULLLTFE-UHFFFAOYSA 6.69897000433602
FCKYGPKVIITXMO-UHFFFAOYSA 4.86062319952358
FDGMBQPEHIDLGV-UHFFFAOYSA 7.11350927482752
FDJYILQLKXUKGQ-UHFFFAOYSA 7.22184874961636
FDWQSLRDIBRKEI-UHFFFAOYSA 4.53760200210104
