CHIRONID	PIC50
ACPOUJIDANTYHO-UHFFFAOYSA 6.01908806222316
AERKVHQMODYBFE-UHFFFAOYSA 3.60205999132796
AESKVXGNIRQPSX-UHFFFAOYSA 6.79588001734407
AHSJRZNMESAIKM-INIZCTEOSA 5.04110180528923
AKILHWBTOZTDGA-GFCCVEGCSA 7.76955107862173
AKILHWBTOZTDGA-LBPRGKRZSA 12.8630134981152
ANLGZXDPMDHZMP-UHFFFAOYSA 3.60205999132796
AUADWUSFXCHIQH-UHFFFAOYSA 6.86012091359876
AUUYHRKPCXZEOJ-LCYFTJDESA 6.62893213772826
AUXWRZFXSWNNSA-UHFFFAOYSA 6.47625353318843
AVRPPQPEZXXZIO-DYVFJYSZSA 7.3767507096021
AVUNZQVPUJFUDR-UHFFFAOYSA 7.85387196432176
AWYBUVIAIMRQPX-UHFFFAOYSA 6.58502665202918
AWZFCQRICMFIES-AATRIKPKSA 6.50863830616573
AXLOGRDFIXPWFY-UHFFFAOYSA 7.82390874094432
BDRDZIHCMNAENW-IBGZPJMESA 7.58502665202918
BHJJWVDKNXABFS-UHFFFAOYSA 6.82390874094432
BIJLGWWDWJZUPE-CSKARUKUSA 6.45099673797421
BIPPSOZOQMDQPZ-UHFFFAOYSA 5.51712641639125
BJKIDAJALFVMDP-UHFFFAOYSA 5.56863623584101
BMUQBXPJHZHPET-UHFFFAOYSA 5.72676716595695
BOOTXBLKDYKDTG-UHFFFAOYSA 7.18708664335714
BSPVHZJTYJERGD-ONEGZZNKSA 7.50863830616573
BTOVCFAIIUJMFA-CQSZACIVSA 6.82103257649977
BUNOUGVLAYVGAE-UHFFFAOYSA 6.83268266525182
BUNXZYXBVGVIPQ-UHFFFAOYSA 5.82390874094432
BUYQNLCSZXGAEE-UHFFFAOYSA 6.6345120151091
BYARLSXPYJDUIM-UHFFFAOYSA 6.76955107862173
BZSUCLDZAQTFQJ-MSOLQXFVSA 8.22184874961636
CAUQFXUMOJTTIX-UHFFFAOYSA 3.60205999132796
CCLPCRBBSXRSNQ-UHFFFAOYSA 6.67778070526608
CCOHWQFOFWCBMH-PWSUYJOCSA 7.49485002168009
CCYLXRZCCYTEPD-UHFFFAOYSA 6.65757731917779
CFQZFXWCFBDZIK-UHFFFAOYSA 6.84466396253494
CKODHKNZMAPUTK-UHFFFAOYSA 6.93181413825384
CLGRAWDGLMENOD-UHFFFAOYSA 7.18837535480105
CMXVRFDAZVLFOZ-SFHVURJKSA 7.20760831050174
COOKXSKUMOQNOB-UHFFFAOYSA 3.60205999132796
CQZZCFVTEOJWAW-UHFFFAOYSA 7.35654732351381
CSIZOJIMVWNMST-UHFFFAOYSA 5.30980391997149
CUPLTRAPYIXFAX-UHFFFAOYSA 3.30102999566398
CUUNJFMBWBXEHO-KRWDZBQOSA 7.21467016498923
CXHJYPWHKZNVBZ-AWEZNQCLSA 7.08092190762393
CYVRFHRDWQAJGA-XYPYZODXSA 3.30102999566398
CZBNYTJYQPWJEF-UHFFFAOYSA 7.42021640338319
DALYIHBLEWAJIH-LXZJYRNTSA 7.49485002168009
DBQWWSHXYCOZKK-SOFGYWHQSA 6.16367588429325
DBXGGXLBTWZXBB-MRXNPFEDSA 8.52287874528034
DBYROLWMWGUFKF-UHFFFAOYSA 7.86966623150499
DCQUEYKYABNNDA-SECBINFHSA 3.52287874528034
DCQUEYKYABNNDA-VIFPVBQESA 4.57708201923234
DEDZRYZURNCPPC-UHFFFAOYSA 6.34678748622466
DEPQMFLVQJEMPL-UHFFFAOYSA 6.97469413473523
DFKYHHCMFRBWRU-UVTDQMKNSA 6.72124639904717
DFOZPRDJHFPHHA-DOTOQJQBSA 6.74472749489669
DGUSFVFTIHATAT-UHFFFAOYSA 6.06148027482351
DIOSBQOHTUDCSB-UHFFFAOYSA 8.09691001300806
DJAICIVAVSHFRM-UHFFFAOYSA 5.69897000433602
DKSMHPPLVBSAQL-UHFFFAOYSA 4.30102999566398
DMZTWOCJNVKCBW-UHFFFAOYSA 6.01772876696043
DOIVHRUKMVCXKP-UHFFFAOYSA 7.60205999132796
DPLZZZQSNRTCJY-UHFFFAOYSA 6.33724216831843
DRZIYEHEFJCBRL-UHFFFAOYSA 6.45469288353418
DVRSTRMZTAPMKO-UHFFFAOYSA 7.14266750356873
DWBXDMFMVZHVSB-JTQLQIEISA 7.67778070526608
DWPLJUAHYRWOBJ-UHFFFAOYSA 6.69897000433602
DXLSIJUGUJXUIP-UHFFFAOYSA 6.25414480482627
DZICJKNDYKNBTO-UHFFFAOYSA 3.60205999132796
FACHOPIRQYUOES-UHFFFAOYSA 6.01772876696043
FBIBUVNBGIWSET-INIZCTEOSA 7.50863830616573
FFNIWOOLZGAOAB-UHFFFAOYSA 4.09691001300806
FGDRZTODQLVQGL-UHFFFAOYSA 5.75448733218585
FIWBNUYYYKCFHG-UHFFFAOYSA 7.79588001734407
FLFZRKGYFLLCKZ-SQVLJLFZSA 7.88605664769316
FLYNZEXUURBXAW-JTQLQIEISA 4.80493100353141
FLYNZEXUURBXAW-SNVBAGLBSA 3.52287874528034
FLYNZEXUURBXAW-UHFFFAOYSA 4.60119226979674
FMUKNNVZPSKGJO-OWOJBTEDSA 8.52287874528034
FNYWVPCDXNSWSG-UHFFFAOYSA 6.81247927916354
FOLGHFINWYEFPE-BOPFTXTBSA 5.14874165128092
FORJSACMWZCLAC-UHFFFAOYSA 6.67778070526608
FPMUSEUHKXRVCM-MRXNPFEDSA 7.82390874094432
FPQNQPZTVIHFSW-AUWJEWJLSA 7.52287874528034
FUYXTCZHCUZIMR-UHFFFAOYSA 6.63827216398241
FWYVIDHPTFCOBL-UHFFFAOYSA 3.60205999132796
FYQQKGXVWKPQPL-UHFFFAOYSA 6.69897000433602
GBRGJHQHNKMEPR-UHFFFAOYSA 6.88605664769316
GGKOYZAFZZEFKZ-LLVKDONJSA 6.02506114798156
GIDBNTLNDUNAAM-YBEGLDIGSA 5.30980391997149
GIEHCMJOLMYDLH-UHFFFAOYSA 5.08092190762393
GJXKBHVQEUJUGU-IBGZPJMESA 7.17392519729917
GLGROCMJDUBCIY-UHFFFAOYSA 6.65757731917779
GMBNHFLNVFGDOH-UHFFFAOYSA 7.09691001300806
GMJGEMJMGSTYLM-UVTDQMKNSA 7.58502665202918
GMVQPWCWWLPOQT-FQEVSTJZSA 5.76955107862173
GOPIQWAPDSIQCF-PDGQHHTCSA 6.69897000433602
GQGMGPZPVHWSRC-UHFFFAOYSA 6.55284196865778
GRBLLKQGHHQICT-UHFFFAOYSA 3.60205999132796
GSKDHAVJCUTIGZ-UHFFFAOYSA 3.60205999132796
GSPRHQQRHQRQGF-UHFFFAOYSA 5.67778070526608
GSUDSWBWGLGBGN-UHFFFAOYSA 4.07919861817434
GVGRBYMMMDPTET-ZDUSSCGKSA 6.15490195998574
GWIYWVOOKZDFBH-UHFFFAOYSA 7.31875876262441
GYXYRHICZGGSGP-UHFFFAOYSA 3.60205999132796
GZEDYEUOAMGZBJ-UHFFFAOYSA 6.44129142946683
HADOQYZZUATJAT-INIZCTEOSA 6.26760624017703
HADOQYZZUATJAT-MRXNPFEDSA 7.55284196865778
HADOQYZZUATJAT-UHFFFAOYSA 7.52287874528034
HBMVUALJSJNKQX-BZQUYTCOSA 8.04575749056067
HBTCPVXXBIMFAT-UHFFFAOYSA 6.81815641205523
HDZJMFILKBJUIC-UHFFFAOYSA 3.60205999132796
HFNKQEVNSGCOJV-HNNXBMFYSA 6.36653154442041
HHKGVQGXRGQBBA-UHFFFAOYSA 4.60205999132796
HHUWJVYTBKEMON-GOSISDBHSA 6.65401744861632
HIHOEGPXVVKJPP-JTQLQIEISA 7.98940535046503
HKMQCDWYQWFDPW-UHFFFAOYSA 6.03151705144606
HKSZLNNOFSGOKW-ZGQXJOJZSA 8.22184874961636
HLGHAHZUUARNCW-UHFFFAOYSA 6.44369749923271
HMLSVNDPXFOHDK-WQRHYEAKSA 6.15490195998574
HPOZHFRJHZDSHY-UHFFFAOYSA 7.0087739243075
HQMGONANONWPGR-SFHVURJKSA 6.32790214206428
HQMQBWSLPHAVOU-UHFFFAOYSA 6.20342566678957
HSQKKTMYEWBKDJ-UHFFFAOYSA 6.56224943717961
HTHSDNKHQYZZDG-UHFFFAOYSA 7.88605664769316
HTQVFEXMGNYDLT-AWEZNQCLSA 7.72124639904717
HTUBKQUPEREOGA-UHFFFAOYSA 5.50307035192678
HVXCOLYHVNHNKP-UHFFFAOYSA 6.65757731917779
HYIZYKALRRUCKV-YDALLXLXSA 7.29242982390206
HZYVHWDHIRWTNY-UHFFFAOYSA 3.60205999132796
IBPVXAOOVUAOKJ-UHFFFAOYSA 6.21467016498923
IEIWHASYQUBSLR-UHFFFAOYSA 4.07919861817434
IFXXCDFBSLSCGP-UHFFFAOYSA 3.60205999132796
IGNOXKOLEZVMMV-UHFFFAOYSA 7.39794000867204
IJTRBCMMSIRTDG-UHFFFAOYSA 7.85387196432176
IKJVHXOXTUJMHW-CJNGLKHVSA 7.4089353929735
IKLXBNGCTJXQCF-UHFFFAOYSA 7.44369749923271
IQELVAHZGXJFFN-UHFFFAOYSA 6.4089353929735
IQGBQQYFBCFKHW-PWSUYJOCSA 7.85387196432176
IQNTXIMXKCURDC-YBEGLDIGSA 7.4944263196121
IRPDQNYYMPGXNV-UHFFFAOYSA 3.60205999132796
ISWXOIDKKZRONJ-UHFFFAOYSA 5.69897000433602
IYAFKKGFYHLLJK-XHNGYCAMSA 6.31875876262441
IYQNSOWQLSAIBF-UHFFFAOYSA 7.02227639471115
IZGPDIJRXUJVSZ-UHFFFAOYSA 3.60205999132796
IZZSAERQBCCMSM-UHFFFAOYSA 6.48017200622428
JGJPJLWZMJEYPN-HNNXBMFYSA 7.22184874961636
JIMJOFDKLFAAOU-UHFFFAOYSA 3.60205999132796
JJPXEFKUBDVJJP-UHFFFAOYSA 4.46597389394386
JKLNAJIHZIIHPB-UHFFFAOYSA 6.45593195564972
JLIDQWKTZPUAMJ-UHFFFAOYSA 3.30102999566398
JLQAHOQUHARADH-WJDWOHSUSA 5.63827216398241
JMNXFCIFXVHPEZ-UHFFFAOYSA 6.95860731484177
JMSLZSBXJWSFBI-KRWDZBQOSA 7.3767507096021
JODJTZLGTGMBHR-UHFFFAOYSA 5.39794000867204
JPOSFPUHBHRUAX-UHFFFAOYSA 5.27572413039921
JPVQIIJQJZQGID-UHFFFAOYSA 6.95860731484177
JPVQJSNRDPPJID-UHFFFAOYSA 6.72124639904717
JQKAAJXARPCPBU-UHFFFAOYSA 6.92081875395237
JRNCQPTXPIPDSZ-UHFFFAOYSA 7.33724216831843
JRRYENJTDMKDRR-UHFFFAOYSA 6.88605664769316
JVJAREODIMVDGM-UHFFFAOYSA 6.63827216398241
JVKKDZFPMOKGLY-UHFFFAOYSA 8.30102999566398
JVZLCCIDXABHFQ-UHFFFAOYSA 5.57839607313017
JWNVJLOTJWLIAA-UHFFFAOYSA 6.71669877129645
JZLAJYOZJKREKH-UHFFFAOYSA 6.3585258894959
JZVXAFREQFUEDW-UHFFFAOYSA 5.85387196432176
KAMXIOXHEJUOEK-NSHDSACASA 7.34678748622466
KDEZEJSFZUZWID-JTQLQIEISA 4.51570016065321
KFJCXIOVAGJCKB-UHFFFAOYSA 5.53313237964589
KIMQVFJKYTXAFU-VIFPVBQESA 4.86232946276324
KINQBFBTEKKXKF-UHFFFAOYSA 4.74472749489669
