CHIRONID	PIC50
ACOWAIUKUFGHLY-UHFFFAOYSA 9.4746545319269
AFMXVBAHMGWYAZ-UHFFFAOYSA 7.36653154442041
AFSFJBAKCYEMBU-UHFFFAOYSA 8.30102999566398
AKYQOQRRFDHNEA-UHFFFAOYSA 5.01117359295472
ALMLNCLAVUOCSW-UHFFFAOYSA 8.39794000867204
AMTNQPFTJJDLTI-UHFFFAOYSA 7.69897000433602
AOQSEIRRISHVNQ-UHFFFAOYSA 6.79794000867204
APMQKHHNTLVDQD-UHFFFAOYSA 8.30102999566398
APPAUNZXIPSWAS-UHFFFAOYSA 6.60205999132796
AQFXVMZZFFFSCG-UHFFFAOYSA 6.98716277529483
AQXIMVWUURMKKC-UHFFFAOYSA 5.49227902331439
AUEDINJRBZYSTK-UHFFFAOYSA 6.74472749489669
AWZFCQRICMFIES-AATRIKPKSA 5.2839966563652
BAFNQSRMVYVKQR-UHFFFAOYSA 7.92081875395237
BARYYLFEOIUPEY-UHFFFAOYSA 3.52287874528034
BCZYLNWFHXDTAQ-UHFFFAOYSA 6.85387196432176
BFAFTEXTXVWPSX-BOPFTXTBSA 8.29242982390206
BGFKWWVJYJAFCM-UHFFFAOYSA 6.61978875828839
BHJJWVDKNXABFS-UHFFFAOYSA 6.2518119729938
BHSOPYVVEZFHDB-UHFFFAOYSA 7.61978875828839
BJHCYTJNPVGSBZ-QPSGOUHRSA 6.28988263488818
BKRMCDAOAQWNTG-UHFFFAOYSA 6.15937938131221
BLAFVGLBBOPRLP-UHFFFAOYSA 6.62708799702989
BLQYVHBZHAISJM-CMDGGOBGSA 6.92081875395237
BLXZMOITRCHHRV-UHFFFAOYSA 7.72124639904717
BMWHAGVKNLRXNW-CYVLTUHYSA 8.04575749056067
BNFKHGHCITYDOT-UHFFFAOYSA 7.3767507096021
BOPCXEIMMJMHTF-UHFFFAOYSA 7.06048074738138
BPGIPYJOESFNQI-UHFFFAOYSA 8.39794000867204
BTDHMLNFQMGPGD-UHFFFAOYSA 7.65757731917779
BTNNMUUCTVIEEE-UHFFFAOYSA 7.51436207563095
BVOTXUKSZIXDAM-UHFFFAOYSA 6.8569851997459
BYQDPWAYLMNNKF-UHFFFAOYSA 7.65757731917779
BYRBUVTUGSOTSC-UHFFFAOYSA 6.62160209905186
BZZIQPCXCNKABW-UHFFFAOYSA 7.69897000433602
CAGNWIMSXINYME-UHFFFAOYSA 5.45593195564972
CBCKPZZVJQHROG-UHFFFAOYSA 7.55284196865778
CCIRQCXOVCNPBI-LGMDPLHJSA 8.39794000867204
CDMGBJANTYXAIV-UHFFFAOYSA 5.46218090492673
CDPYJPHBGSGNJS-UHFFFAOYSA 7.30102999566398
CJOKUBRCAVWYRX-UHFFFAOYSA 6.76955107862173
CJSUPKJJDMWUPB-UHFFFAOYSA 6.04575749056067
CLEGTVIMOPPIBR-UHFFFAOYSA 7.11350927482752
CMWKVPYIDPPPIC-UHFFFAOYSA 5.86966623150499
CODNFAROPXKNHK-UHFFFAOYSA 4.76348793033717
COXZTUCUTWYLEP-UHFFFAOYSA 8.39794000867204
CPGDDAIHGOCSDF-UHFFFAOYSA 6.75696195131371
CPMMIVUAUOMULB-UHFFFAOYSA 7.49485002168009
CPRASSMXAHKLHY-UHFFFAOYSA 5.88734535913706
CQQHPXAPMGAALV-UHFFFAOYSA 7.58502665202918
CRVJWQKUGJBXHH-UHFFFAOYSA 8.69897000433602
CUIHSIWYWATEQL-UHFFFAOYSA 7.13076828026902
CUPLTRAPYIXFAX-UHFFFAOYSA 6.43179827593301
CXDOYTGMCAHUID-UHFFFAOYSA 8.52287874528034
CXFVPKALCDVPST-UHFFFAOYSA 6.6252516539899
CZGMEOAMQWAJOY-UHFFFAOYSA 5.72124639904717
DATLJQNYXBSTFB-UHFFFAOYSA 7.30102999566398
DAZCBQNFGSWSQG-UHFFFAOYSA 7.05060999335509
DCTIKIWYRXDSOC-UHFFFAOYSA 8.69897000433602
DHSKSBMVWDEGIA-UHFFFAOYSA 6.46980030179692
DIOLCKJIPOAFOB-UHFFFAOYSA 7.56863623584101
DIWNHTDZEZGKJK-JXAWBTAJSA 8.39794000867204
DJYCTTVILKPUFQ-UHFFFAOYSA 7.95860731484177
DKDIYRYSJHNWTO-UHFFFAOYSA 7.72124639904717
DKHCMNUPWHVUKS-UHFFFAOYSA 7.38721614328026
DLPARMNJOHFOLU-UHFFFAOYSA 7.43179827593301
DLYHIJZSZUMFEL-UHFFFAOYSA 8.30102999566398
DMTDZFGYURLLKX-UHFFFAOYSA 7.82390874094432
DNLUUFFUPPKOJE-UHFFFAOYSA 7.43179827593301
DNPMSTITUCICNO-UHFFFAOYSA 5.85792353892671
DNQBBKLYBVCDBY-UHFFFAOYSA 7.5942124970647
DOKLITIJDLLPJM-UHFFFAOYSA 3.88605664769316
DORFEDMRVQLEQT-SNVBAGLBSA 4.38721614328026
DQXRNJOFIYWUBI-UHFFFAOYSA 5.36351210364663
DTQAVOXWSGVMDD-UHFFFAOYSA 5.24336389175415
DXPSQKSTVIVZLV-UHFFFAOYSA 8.45593195564972
DYBMRTXQOPNQNV-UHFFFAOYSA 5.25103713874384
DZGGGZSDTNTLQN-UHFFFAOYSA 7.88605664769316
DZQLVVLATXPWBK-UHFFFAOYSA 6.52287874528034
DZSUJUOJJJCWGG-UHFFFAOYSA 8.22184874961636
FEGRQUWSKADGSP-UHFFFAOYSA 8.52287874528034
FFNIWOOLZGAOAB-UHFFFAOYSA 5.86966623150499
FGFDHWMIOOKYRG-UHFFFAOYSA 4.57113659170074
FIJWNTPHEHDJQG-UHFFFAOYSA 7.96040937697619
FJYFVYKYNSQZCC-UHFFFAOYSA 7.95860731484177
FKFACVZGGDYEHZ-UHFFFAOYSA 7.95860731484177
