CHIRONID	PIC50
AAAXBDFZRXKRPL-UHFFFAOYSA 6.67778070526608
ABFWZSHIGUOGAO-UHFFFAOYSA 7.58502665202918
ACBHSAPSEHIMSZ-UHFFFAOYSA 12.2975694635545
ACCAOVNGJCUABU-UHFFFAOYSA 7.36653154442041
ACFMMKRDPHHKDH-UHFFFAOYSA 8.22184874961636
ACHDFXDSUDOMJL-UHFFFAOYSA 8.95860731484177
ACWCZTSMEMBDNR-UHFFFAOYSA 7.63827216398241
ADMMNZYDYDNHGW-UHFFFAOYSA 3.90308998699194
ADUGTJKWTKCYBV-UHFFFAOYSA 7.27572413039921
AERKVHQMODYBFE-UHFFFAOYSA 8.22184874961636
AFGOFEFLRMONQO-UHFFFAOYSA 6.88605664769316
AFZKXALTXCNQAZ-UHFFFAOYSA 9.30102999566398
AGIZACGBAVDGOW-UHFFFAOYSA 7.03151705144606
AICPYPMTMVSQBW-UHFFFAOYSA 5.61978875828839
AIMHAFQTBGSBMF-UHFFFAOYSA 8.39794000867204
AIQRUJJQVYKSQZ-UHFFFAOYSA 7.15490195998574
AKPVKDIRANWWPM-UHFFFAOYSA 3.69897000433602
AKQBMOPZVFVZQA-UHFFFAOYSA 7.39794000867204
AKUYGGPOBONQMT-AATRIKPKSA 3.72427500101356
ALORFJGZFRLFCD-UHFFFAOYSA 4.74472749489669
AMXFBJCSYDYPNY-UHFFFAOYSA 5.9004949243721
ANLGZXDPMDHZMP-UHFFFAOYSA 8.30102999566398
ANOOKLPIDKBMTR-UHFFFAOYSA 7.52287874528034
ANRZFCUWSFUDGX-UHFFFAOYSA 7.61978875828839
AORXNTWGMWPIJF-UHFFFAOYSA 6.42021640338319
APHYPLAMZNZIQK-UHFFFAOYSA 6.82390874094432
APIWFJGMTYDZBT-UHFFFAOYSA 3.39794000867204
APPXOPKWRCEMGW-UHFFFAOYSA 2.82390874094432
APXQLDWGNTVUKK-RIYZIHGNSA 2.80354745829661
APZQGZANMZQMAF-UHFFFAOYSA 4.60205999132796
AQFXVMZZFFFSCG-UHFFFAOYSA 4.67487447378307
ARPNQDUWOKVMLY-UHFFFAOYSA 8.0268721464003
ARRPUFWMDUJPDE-UHFFFAOYSA 7.15490195998574
ARZRZUXTGDKZMK-UHFFFAOYSA 1.69897000433602
ASSDTESEBBWVMU-UHFFFAOYSA 3.30102999566398
ASSRDMLQZFOGMT-ZDUSSCGKSA 7.32790214206428
ATAXRSLEVBMIFF-UHFFFAOYSA 7.63827216398241
AVBKRPCZJWRVPJ-UHFFFAOYSA 7.58502665202918
AVHVXKAONMHRSS-UHFFFAOYSA 6.67778070526608
AVNIJFADOORZIO-UHFFFAOYSA 8.92081875395237
AVSQBQCRBXKOCO-UHFFFAOYSA 8.52287874528034
AWDCXENFERYKQU-HOTGVXAUSA 7.88605664769316
AWDCXENFERYKQU-HZPDHXFCSA 8.30102999566398
AWKWDJPSVRHOAT-WLRTZDKTSA 6.05551732784983
AWLLLUUZEDOUOR-UHFFFAOYSA 6.09691001300806
AWZFCQRICMFIES-AATRIKPKSA 5.22184874961636
AXHZNKYAUCLFEQ-UHFFFAOYSA 7.76955107862173
AXKNNTTWXCVIGT-UHFFFAOYSA 3.30102999566398
AXVNJKZPBPMUPI-VGOFMYFVSA 3.74714696902011
AYNUFOXOXWDXFZ-NTEUORMPSA 2.89894064509188
AYPFKZQQTSLEJG-HNQUOIGGSA 7.22184874961636
AYQFVKTZNSPOMH-UHFFFAOYSA 4.50863830616573
AYZBGELVIWCHIM-UHFFFAOYSA 7.32487599083291
AZAJFUFPLNAVHO-UHFFFAOYSA 7.22184874961636
AZJQOYPDNARFMM-UHFFFAOYSA 2.93554201077308
BCJIOYLNHXGGCZ-UHFFFAOYSA 3.69897000433602
BCNXUFFSRWFFQA-UHFFFAOYSA 7.8098943791442
BCWVVERKADMJGG-UHFFFAOYSA 6.92081875395237
BDRDZIHCMNAENW-IBGZPJMESA 5.67778070526608
BDUYLUFNRITWFA-UHFFFAOYSA 6.96624139904816
BEBZPLUXTCGKDB-UHFFFAOYSA 6.59859945921846
BEHOVGWUVGMGHL-UHFFFAOYSA 8.22184874961636
BEVAFJKWLTVEMG-UHFFFAOYSA 8.69897000433602
BEVPJXUTHBNTLS-UHFFFAOYSA 5.92081875395237
BFJKMUCCEXLIBD-UHFFFAOYSA 1.69897000433602
BFSDCMXBRNMKDG-UHFFFAOYSA 5.50863830616573
BGOWMSRXCRUANU-UHFFFAOYSA 5.69897000433602
BGPDVHQUNWLDHE-UHFFFAOYSA 5.31785492362617
BHIWBHXJQRREGM-UHFFFAOYSA 7.93971303439707
BHJJWVDKNXABFS-UHFFFAOYSA 6.9753909886649
BHJYLPCXJRRFBV-UHFFFAOYSA 8.63827216398241
BIDYUGDQYZIBLV-UHFFFAOYSA 7.74472749489669
BIIVYFLTOXDAOV-YVEFUNNKSA 4.95860731484177
BIPPSOZOQMDQPZ-UHFFFAOYSA 8.15490195998574
BJLXUOUDXYTEOD-UHFFFAOYSA 1.69897000433602
BKTRPBNJGGQIDR-UHFFFAOYSA 7.69897000433602
BLOGCIUNNJYXBR-UHFFFAOYSA 6.7691307160218
BLYNKZZTZOUBKQ-UHFFFAOYSA 5.41341269532824
BMHCYYLFLWTPHZ-UHFFFAOYSA 8.09691001300806
BMMAPBWDPKJXJM-UHFFFAOYSA 5.49894073778225
BNDYIYYKEIXHNK-UHFFFAOYSA 5.92081875395237
BOPSUAHGQHFKGG-UHFFFAOYSA 3.79588001734407
BPRCXTXWLHCTQI-UHFFFAOYSA 8.39794000867204
BPXQYAXTDCQZHB-UHFFFAOYSA 4.74472749489669
BQDNYAUFPBTFRR-UHFFFAOYSA 1.69897000433602
BQHSUHHPMPLNJU-UHFFFAOYSA 8.39794000867204
BSNUXTKZOYCUGV-UHFFFAOYSA 5.01772876696043
BTKKSVLVRWFINE-UHFFFAOYSA 5.72124639904717
BTNNMUUCTVIEEE-UHFFFAOYSA 5.74472749489669
BTZSHTKXTWWUKJ-UHFFFAOYSA 7.57675412606319
BUCGAQTZOOCIRW-DUXPYHPUSA 5.92081875395237
BUYFHHDZWQVQED-UHFFFAOYSA 3.90308998699194
BVGHDOMJGHGNCJ-UHFFFAOYSA 5.79588001734407
BVNOQDUIZJMQNL-UHFFFAOYSA 5.36653154442041
BVRMGHVXNRKAIZ-UHFFFAOYSA 2.72124639904717
BWHIXEPFGXAVPD-UHFFFAOYSA 4.50863830616573
BXDOISZIOCCOSD-UHFFFAOYSA 5.45842075605342
BXJDVRUNVNNBQR-UHFFFAOYSA 8.31875876262441
BXNJHAXVSOCGBA-UHFFFAOYSA 2.60205999132796
BYJHTDOYXMLKFQ-XNTDXEJSSA 2.58737147945562
BYUOWOZLSFYELW-UHFFFAOYSA 1.69897000433602
BYWMXPILEWSCCR-UHFFFAOYSA 7.82390874094432
BZHDPIVTQKXAQQ-UHFFFAOYSA 4.65757731917779
BZQDWWVZZWHGEO-UHFFFAOYSA 6.15490195998574
BZSZGWMXNUZTGF-UHFFFAOYSA 5.01547268665621
BZYZDQJLCCLWKI-UHFFFAOYSA 8.52287874528034
CABKXSSPRMCOHF-UHFFFAOYSA 6.74472749489669
CAUQFXUMOJTTIX-UHFFFAOYSA 7.31875876262441
CAVBJIVSGBUJOV-UHFFFAOYSA 1.69897000433602
CAXWKWCLCGRPBY-DCFHFQCYSA 6.93930215964639
CCUWZTRFTGLQCV-UHFFFAOYSA 7.09151498112135
CDMGBJANTYXAIV-UHFFFAOYSA 5.10790539730952
CDRPUGZCRXZLFL-OWOJBTEDSA 4.43703206804913
CEIYRBYXRSULDG-UHFFFAOYSA 7.72124639904717
CERIBYHZTSTEHD-IBGZPJMESA 5.95860731484177
CERIBYHZTSTEHD-LJQANCHMSA 5.71669877129645
CEUNWOFTYKAWDL-UHFFFAOYSA 4.39794000867204
CFFRHGGTSWYEOG-UHFFFAOYSA 8.13076828026902
CFIIVSLTMJHIQA-NKFKGCMQSA 6.22184874961636
CGIRQHNYEBSMOM-VGOFMYFVSA 2.99783393824349
CGRLNCABNBKKKW-UHFFFAOYSA 6.43179827593301
CHWHVQUNCYDPDK-UHFFFAOYSA 6.69897000433602
CJAFZSNVOZKRNH-UHFFFAOYSA 7.52287874528034
CJEUQKILUZVHKN-UHFFFAOYSA 7.67778070526608
CJSFIPSQGMXYMP-WUKNDPDISA 1.69250396208679
CJSMRSKBJZEIAA-UHFFFAOYSA 3.52287874528034
CJSQOSUWJWUEGC-CSKARUKUSA 5.17392519729917
CJZVMFCILGQCIJ-UHFFFAOYSA 7.58502665202918
CKSVYVHLZNMXLX-UHFFFAOYSA 1.69897000433602
CKWMQEFCANUOOZ-UHFFFAOYSA 1.69897000433602
CLEGTVIMOPPIBR-UHFFFAOYSA 5.72124639904717
CMFPSTWYLODPNE-UHFFFAOYSA 6.97061622231479
CNHFTAAQEDIVBJ-UHFFFAOYSA 6.86012091359876
CNLPUBSXIKQJRU-UHFFFAOYSA 4.50863830616573
COJZSHUZMPROCU-UHFFFAOYSA 7.04575749056067
COOKXSKUMOQNOB-UHFFFAOYSA 6.99567862621736
CPTZKLNMWGFJMW-UHFFFAOYSA 7.67778070526608
CQGMWXIFCJTRFS-UHFFFAOYSA 4.47108329972234
CQQOOAGCTKPHKF-UHFFFAOYSA 7.72124639904717
CQZZCFVTEOJWAW-UHFFFAOYSA 7.45593195564972
CRBHBMXMUBXVEW-UUILKARUSA 6.84163750790475
CRPUDAVZTZIKMJ-QPJJXVBHSA 7.33724216831843
CSCOHEYTBLBQMG-UHFFFAOYSA 7.55284196865778
CTOLCCHHOXNHKD-UHFFFAOYSA 5.15490195998574
CTQKUUSETDSJHZ-UHFFFAOYSA 8.09691001300806
CTSPAMFJBXKSOY-UHFFFAOYSA 4.73282827159699
CTVIXLXWQHPRIC-NTEUORMPSA 4.15490195998574
CUHVDGAHCMUDKL-OQLLNIDSSA 1.58419227236446
CUISPPCDYZFGCY-ZDLGFXPLSA 3.52287874528034
CUIYKFICQYRIMQ-DIVCQZSQSA 7.50863830616573
CUPLTRAPYIXFAX-UHFFFAOYSA 3.30102999566398
CVOLWTFBGWEVNR-UHFFFAOYSA 4.69897000433602
CVYYMAGFKTYJAG-UHFFFAOYSA 3.9100948885606
CWDQKWRWPJPTAL-UHFFFAOYSA 7.52287874528034
CWEYUMVRFKIALD-UHFFFAOYSA 5.85387196432176
CWNFHVAUAZNXGK-UHFFFAOYSA 5.74472749489669
CXDZGSNFZYGQSZ-UHFFFAOYSA 7.04575749056067
CXKAZUAJKXLXMU-UHFFFAOYSA 7.45593195564972
CXXAFOANWFBNRW-UHFFFAOYSA 5.74865124202833
CYTZASCNUGMIJP-UHFFFAOYSA 6.65757731917779
CYVRFHRDWQAJGA-XYPYZODXSA 5.85387196432176
CYXPHNZJEDAZDD-UHFFFAOYSA 8.30102999566398
CZQCQZSRCYPNGK-UHFFFAOYSA 1.69897000433602
DAQLGBCGVAJYAG-FNORWQNLSA 6.72124639904717
DATBTZXMDPSUJS-UHFFFAOYSA 5.85387196432176
DAZCBQNFGSWSQG-UHFFFAOYSA 7.31409677074629
DBHCVYPQRZQCEG-UHFFFAOYSA 6.45284481075419
DCEHWOIKAQDZGV-UHFFFAOYSA 2.60205999132796
DCVKALMAVBGUEW-UHFFFAOYSA 7.56863623584101
DDEBKWXTBRITCM-UHFFFAOYSA 7.58502665202918
DDEHKSKCGIBOPH-UHFFFAOYSA 4.8
DDJRBTANSYPPCR-RQNOJGIXSA 6.95860731484177
DDQFACKDLYLRGU-RGEXLXHISA 6.09691001300806
DEFYQIKWJNOXOB-UHFFFAOYSA 8.30102999566398
DEGBTUYUBLWHOO-UHFFFAOYSA 6.53760200210104
DEPQMFLVQJEMPL-UHFFFAOYSA 8.52287874528034
DFOPHYSZHMXEGI-XCVCLJGOSA 5.30102999566398
DHPVHQFCJDYBNK-UHFFFAOYSA 7.33724216831843
DHSSGTURPWMUKX-UHFFFAOYSA 2.98632030270881
DHSWXTYFLRUXKS-XLNRJJMWSA 6.15490195998574
DJNWXYTWORPJNI-GOSISDBHSA 7.10790539730952
DJNWXYTWORPJNI-SFHVURJKSA 7.74472749489669
DKDNLOIZODSWFH-UHFFFAOYSA 8.52287874528034
DLDOXZCZZRNZNZ-UHFFFAOYSA 4.39794000867204
DLLKEDLJDUTCCC-UHFFFAOYSA 3.90308998699194
DLSREUWBAOWMKZ-UHFFFAOYSA 5.60205999132796
DMECWJSRBVZTGX-DXPJPUQTSA 6.52287874528034
DMGXEMSNGFFVDM-UHFFFAOYSA 4.50514997831991
DMIVJAMGJIKWII-UHFFFAOYSA 7.04575749056067
