CHIRONID	PIC50
ABPGHPHYGKUEIO-PAMMARIWSA 10.4196320357182
ACASJCMNZMOGPH-AWEZNQCLSA 6.80242420424772
ADLGLEJMPIMZRI-GMARCOJVSA 2.30102999566398
AFILYMFIVVCTKT-UHFFFAOYSA 8.04575749056067
AFTIZHQAPQKTDC-UHFFFAOYSA 4.76955107862173
AGUVVAYMPQDJDX-UHFFFAOYSA 4.64273132135602
AIBUAENDRJZVDK-UHFFFAOYSA 6.47366072261016
AIYCRHJZMXDRDI-UHFFFAOYSA 7.72124639904717
AJYCJBFSBQHKOS-UHFFFAOYSA 5.93554201077308
AJYZQOMQGGLEQZ-VWLOTQADSA 6.39254497678533
ALIXTVBPMHJTAF-UHFFFAOYSA 3.69897000433602
ALSKAAVFPMFBPY-KBHDRSMZSA 7.09691001300806
ALSZXGSHRCOWIC-XJDXJNMNSA 6.84771165561694
AMRMQCBFQCECAQ-FQEVSTJZSA 8.22184874961636
ANUUSLSUVOFECW-PYUWXLGESA 7.03767947629141
ANYCWFADTHVOPB-HNNXBMFYSA 6.43179827593301
AOKADEMCVOQECP-UHFFFAOYSA 6.1001794975729
AOWGZOCUPHAWLJ-QZMQVMSPSA 7.14266750356873
AOWZAMGXVRSMQI-UHFFFAOYSA 7.00609985712406
APKFQVPQVASHDW-INIZCTEOSA 4.72514967998334
APMQKHHNTLVDQD-UHFFFAOYSA 7.61978875828839
APOYFUSNBQZHQQ-UHFFFAOYSA 6.67689619389665
APXMTNJAMHGVDJ-UHFFFAOYSA 6.13135556160517
AQDWLHMFJHACCX-UEKDZROGSA 6.56383735295924
AQXDTXWXEJUGAT-OAHLLOKOSA 6.98296666070122
ARIHYXITNVJHJL-UHFFFAOYSA 7.61619946597483
ARSOCJAZLCXHOY-KEVXWDJXSA 5.30102999566398
ARSOCJAZLCXHOY-OBJQHKCWSA 4.89794000867204
ARZSIDJLTVASAU-SFHVURJKSA 7.91721462968355
ATEAASNFYTUARU-UHFFFAOYSA 4.69897000433602
ATMJJEZNNJSDSO-TYBKAHOSSA 5.8669453285088
ATOXLTMLIQMPDW-SFHVURJKSA 5.73329803311591
ATYOXMQKXVJYSG-UHFFFAOYSA 7.04629431961271
AUXJPQSJHPPESP-IBGZPJMESA 6.9219981653048
AUYOAKYJEKFQKM-UHFFFAOYSA 5.82390874094432
AVCPRTNVVRPELB-YRUZYCQGSA 6.70333480973847
AWGLCZVLVUELKQ-KRWDZBQOSA 8.53760200210104
AWQDEPOBZKVDQV-FMTVUPSXSA 6.78781239559604
AWQDEPOBZKVDQV-IUUKEHGRSA 6.41680122603138
AWSLSQGTMWLKRH-UHFFFAOYSA 4.94309514866353
AWTRAMMHFMCVHF-HKUYNNGSSA 7.71298436613614
AWYWQTNURRPJKK-GFCCVEGCSA 8.69897000433602
AXILYJJKIDQSFE-UHFFFAOYSA 8.52287874528034
AXVBNZXUWYSIES-FQEVSTJZSA 7.82390874094432
AXZWPTHKGPEBOZ-OAHLLOKOSA 6.94309514866353
AYBAQJBGLXKFMK-UHFFFAOYSA 7.04095860767891
AYDUKKLNEOXCBX-UHFFFAOYSA 6.79048498545737
AYHSIFYQYXUXBQ-IBGZPJMESA 8.61978875828839
AZNVXQYYCANOTA-INIZCTEOSA 8.69897000433602
AZQPVODZWGLBAX-UHFFFAOYSA 7.79588001734407
AZWFENCKMNSKBH-XADRRFQNSA 6.17436099300093
BARYYLFEOIUPEY-UHFFFAOYSA 3.52287874528034
BAYGQIFIHYGSEE-IBGZPJMESA 6.50863830616573
BCZGXEZPALEJJW-UHFFFAOYSA 7.05551732784983
BDOPKJRMCXOBQZ-SUHMBNCMSA 7.12436044800832
BDYNXLQQBLVTRW-INIZCTEOSA 7.30980391997149
BFFORFSCMCLHMJ-UHFFFAOYSA 6.52697046980744
BFSKCZOPLXJESU-VWLOTQADSA 7.60906489289662
BGGPIZRMKSCDID-UHFFFAOYSA 5.1303576553484
BGRGYPWSRFVWGD-UHFFFAOYSA 7.95879286641388
BGZVXNSBCSLMND-UHFFFAOYSA 7.10237290870956
BHKMGVUUBYCNLS-LJQANCHMSA 7.26760624017703
BHMIRPVVPZIEGW-INIZCTEOSA 4.52287874528034
BHPSGEAUUZMDDL-QFIPXVFZSA 6.00217691925427
BIWGYFZAEWGBAL-UHFFFAOYSA 7.07926277545145
BJBYRXGOEDKOAM-NRFANRHFSA 6.74714696902011
BJMZMYWTCBXTQR-MUIHRTSISA 4.01772876696043
BJQFSJIVYSQLSX-KRWDZBQOSA 7.76993463999049
BLLPCMVLAALVKN-ZKYKCJAYSA 6.79588001734407
BMXGRFBSHSEZOP-UHFFFAOYSA 3.69897000433602
BMZLSZWHTJZVBV-FQEVSTJZSA 6.10237290870956
BNYVNKCEEQZWJL-UHFFFAOYSA 6.25431915308287
BPEYRVMEDMVKIU-XMMPIXPASA 5.54015535761179
BPGIPYJOESFNQI-UHFFFAOYSA 7.09151498112135
BPJNKHOQHGDQRN-NRFANRHFSA 7.92081875395237
BPNUQXPIQBZCMR-IBGZPJMESA 7.37848097565685
BQAKNRDEPAZDKP-YJJPMGAVSA 5.57348873863542
BRCKNRHULLJPNN-CTLOQAHHSA 7.09320950571591
BRLXUPIHNDAEAI-UHFFFAOYSA 8.69897000433602
BRTIFMBVAUCZIX-HNNXBMFYSA 7.12898168622176
BRTUFPWBSLVVMJ-MVJNYCIBSA 4.49147028102871
BSKCLWQBYNIJTD-OJZQOFKYSA 6.15676722190199
BTXOZSOPQCVUNK-ACXKHFGCSA 7.98716277529483
BUBLIDZZMNUPQQ-UHFFFAOYSA 7.42021640338319
BUDCDMBOPKDELH-UHFFFAOYSA 5.37294153599901
BVMOTFUJGCIPKD-UHFFFAOYSA 7.74784501909366
BWCCMCBGMWBCFE-SUHMBNCMSA 7.45593195564972
BXFVCKWLQHOSTC-XJKSGUPXSA 7.2384238554273
BYLSJFOFBQNZSU-UHFFFAOYSA 7.20065945054642
BYVKRXCDVCJRAQ-FQEVSTJZSA 5.8569851997459
BYWWNRBKPCPJMG-UHFFFAOYSA 5.20065945054642
BZBVQTFJBASJIS-UHFFFAOYSA 4.25963731050576
CBJJSCYIXJYEAW-UHFFFAOYSA 5.46852108295774
CCGCNRFJWOIIDQ-UHFFFAOYSA 7.69897000433602
CCGWIBJBGYEFLK-UHFFFAOYSA 7.61978875828839
CCTHGKKALLDFQR-UHFFFAOYSA 3.30102999566398
CCUQHOVPLNKBBL-UHFFFAOYSA 7.1920249741718
CCWLNNLUNXJIPP-UHFFFAOYSA 8.1259059864969
CEDTYXKBYYSJLX-XMMPIXPASA 6.09205147838773
CEKSBBZAKLNEBU-IBGZPJMESA 6.30102999566398
CEKSYZRSNOXWHP-QFIPXVFZSA 6.12436006299583
CFCOQYROFLFNOU-UHFFFAOYSA 4.76955107862173
CFRXEDVVVVCCFS-UHFFFAOYSA 5.4089353929735
CFWZNCTWCNPULR-GFCCVEGCSA 6.42365864979421
CFWZNCTWCNPULR-LBPRGKRZSA 6.14752000636314
CFYHQUNHGODMIT-GZNAHNRGSA 6.70333480973847
CFZCFLONWSUZFP-UHFFFAOYSA 6.91721462968355
CGGAUEQIORNODN-INIZCTEOSA 7.18375870000822
CGJRAACGTIIYDY-JTQLQIEISA 7.88605664769316
CGJRAACGTIIYDY-SNVBAGLBSA 8.09691001300806
CGUVHVMACLRYNH-FQEVSTJZSA 6.66756154008439
CGWOEOXQHIMZEQ-UHFFFAOYSA 5.5036239459876
CHTMRWQLNNRRFJ-KRWDZBQOSA 8.74472749489669
CIIKNCICYINXBJ-UHFFFAOYSA 6.61978875828839
CIKVOSWVTAMFQS-FQEVSTJZSA 5.56703070912559
CIUDTEMUAJXOJA-SFHVURJKSA 7.51436207563095
CIYJMYQAULVQHO-SFHVURJKSA 8.92081875395237
CJVXPWZJWZDNTG-UHFFFAOYSA 6.47625353318843
CLGHRVKBVKFOQI-UHFFFAOYSA 7.31216819301956
CLQWEHDPSOGFQR-FJHWUWLYSA 6.82390874094432
CLSSTGLQHZQBJO-AWEZNQCLSA 6.70333480973847
CNDFZFNVVGFVSZ-GVNKFJBHSA 4.78033365308487
CNNMZNARDXPHPB-UHFFFAOYSA 8.30980391997149
CNVFENCTUFMYBP-UHFFFAOYSA 4.82390874094432
COKYCKQSSRUIDM-FQEVSTJZSA 5.20551195334083
COQMBZDAQWGIGH-UHFFFAOYSA 3.69897000433602
CPCXSCJROAJTRO-AWEZNQCLSA 7.92081875395237
CQVACJFVYXJFFS-UEKDZROGSA 7.63827216398241
CQWLALVPQNJOGT-UHFFFAOYSA 8.36563667100268
CQXAPCMYRSTDGK-UHFFFAOYSA 4.65757731917779
CRDOKQQUTKTJRC-UHFFFAOYSA 6.41405782489367
CREAHOIFFJGQJC-YVEZCHAMSA 6.18045606445813
CSCOHEYTBLBQMG-UHFFFAOYSA 3.69897000433602
CTMFNTMZZCWIHH-UHFFFAOYSA 5.96297212024422
CUAJADFGIOFJQT-UHFFFAOYSA 6.30016227413275
CUISPPCDYZFGCY-ZDLGFXPLSA 4.99139982823808
CUPLTRAPYIXFAX-UHFFFAOYSA 4.30102999566398
CVPHPXWFTJMIJZ-HKIGIVDHSA 6.45345733652187
CWDGPBQWSLGFNO-UHFFFAOYSA 8.1259059864969
CWUDLXZBRGPIJV-UHFFFAOYSA 7.16115090926274
CZTOFPMYMCZRFR-VWLOTQADSA 4.68402965454308
CZVWIRWEDROEHR-SVBPBHIXSA 3.4089353929735
CZZAPGYQDMJOEO-UHFFFAOYSA 7.92693598216088
DALRTELPWRMRAK-IBGZPJMESA 7.68402965454308
DBNJNPPSWNADBP-UHFFFAOYSA 7.15490195998574
DBOKUWKNQBTKJU-UHFFFAOYSA 7.20065945054642
DBVDFXZXXOCVEX-IHOKFDBFSA 7.39469495385889
DBVXEDIWOSVHPX-UHFFFAOYSA 8.06048074738138
DCRJMZNHTPDFNQ-UHFFFAOYSA 3.69897000433602
DDHMMBZOYYQHFK-NRFANRHFSA 8.13076828026902
DDPSQLRCDKUEPJ-SFHVURJKSA 7.63827216398241
DENRRAMLWBYAGF-AWEZNQCLSA 6.30891850787703
DGGUKZUZMYVZMB-QFIPXVFZSA 7.10237290870956
DGUSFVFTIHATAT-UHFFFAOYSA 3.60205999132796
DHLBSEUGYOJYMB-QHCPKHFHSA 5.95194682688439
DIJUJQGZFMHBOT-RIPJAXHCSA 7.24412514432751
DJNNFNGENMOGDA-VWLOTQADSA 5.35654732351381
DJVNBIYWLMRTEL-BLLLJJGKSA 7.67209450869542
DLRCBNSETSYSCB-CJFMBICVSA 7.3374445783579
DNAXPHDUUNPFLH-UHFFFAOYSA 3.69897000433602
DNEJCIZFNVTEHA-GOSISDBHSA 6.92811799269387
DNNVPDHNAOWAES-UHFFFAOYSA 6.77989191195994
