CHIRONID	PIC50
ABXAHAOCSWBNBG-QFIPXVFZSA 33.4585886517487
ACZDLMRHZIFBMB-UHFFFAOYSA 4.69680394257951
ADPBWWIVLZZPJO-UHFFFAOYSA 6.87265347029446
AELVRPDBJHETKG-UHFFFAOYSA 8.69897000433602
AFYQQQLDIYSYFF-UHFFFAOYSA 5.24641694110709
AICPYPMTMVSQBW-UHFFFAOYSA 4.39794000867204
AIZTYZRNBCCRMR-UHFFFAOYSA 5.67778070526608
AJTIEFRBXKZDMY-UHFFFAOYSA 5.59345981956604
ALOLWPZNYDZDHQ-UHFFFAOYSA 7.24742501084005
ALSKTUUSXXIMPF-UHFFFAOYSA 7.63827216398241
AOOSUCZLZQJURM-UHFFFAOYSA 5.4089353929735
AOSZKTUKGKSFAV-UHFFFAOYSA 4.69897000433602
AQFXVMZZFFFSCG-UHFFFAOYSA 3.30102999566398
AQTGJJPOCBCGFT-UHFFFAOYSA 4.15490195998574
AROLGHDKPPHEQG-UHFFFAOYSA 6.75657232236153
AROMUEFGOQGFHF-UHFFFAOYSA 6.6903698325741
ATVYSSLBCVWONP-UHFFFAOYSA 7.97469413473523
AUCWWKXJZLSWGC-UHFFFAOYSA 5.33724216831843
AUUMVXKKOQIOSI-UHFFFAOYSA 7.50863830616573
AVOMNNXOQGDQAW-UHFFFAOYSA 6.38544790883932
AWKVKBJHESFTRA-UHFFFAOYSA 7.59488374100246
AWZFCQRICMFIES-AATRIKPKSA 7.07058107428571
BAIUQMWVGHZMCG-UHFFFAOYSA 8.52287874528034
BARYYLFEOIUPEY-UHFFFAOYSA 3.52287874528034
BBKJRGBHVYSTNV-UHFFFAOYSA 7.24742501084005
BBVQJPURZDEFJS-UHFFFAOYSA 8.49485002168009
BDEVKMQTDVHFEO-UHFFFAOYSA 6.95860731484177
BEVPJXUTHBNTLS-UHFFFAOYSA 4.69897000433602
BEYUGPLUWSNIHT-UHFFFAOYSA 5.85166740486923
BFMMLIISCLLRTN-UHFFFAOYSA 8.15490195998574
BGHOGQNFMBHPKJ-UHFFFAOYSA 7.67778070526608
BHSQJJXTIHCAAO-UHFFFAOYSA 6.87942606879415
BIZAUQGRBCDFSE-UHFFFAOYSA 6.92081875395237
BJJWDEPCHGGZCH-UHFFFAOYSA 6.10790539730952
BKWQPMUHWJESCV-UHFFFAOYSA 7.35654732351381
BLAYOGMXAWDIJF-UHFFFAOYSA 7.39794000867204
BLBFFBZEWZEVDW-UHFFFAOYSA 4.59859945921846
BMHPQMHATYLSKA-UHFFFAOYSA 7.31043792696481
BMPOCDJEXAXXEZ-UHFFFAOYSA 6.95860731484177
BMXVTPILCBBLAF-UHFFFAOYSA 3.39794000867204
BPDPKBWIXIMZMC-NRFANRHFSA 7.13059119439554
BQORZESIOCMVDH-UHFFFAOYSA 5.34678748622466
BRKIQLMANMDSLF-UHFFFAOYSA 3.39794000867204
BSSQWRSSNZFRMM-UHFFFAOYSA 7.21125410008139
BVNOQDUIZJMQNL-UHFFFAOYSA 4.95860731484177
BWGKFZUZSRUEHZ-UHFFFAOYSA 4.70553377383841
BXWKDQODKZWDDN-UHFFFAOYSA 5.23657200643706
BYYYCNUDMZSOGS-UHFFFAOYSA 5.11918640771921
CDNLCCFEKDHCTK-UHFFFAOYSA 5.84163750790475
CDUQEMNXQQKVTM-UHFFFAOYSA 5.27572413039921
CEHGVNIFTRLUOI-UHFFFAOYSA 6.60205999132796
CEIYRBYXRSULDG-UHFFFAOYSA 6.58502665202918
CFSBXICQIRBTLS-RUDMXATFSA 7.22914798835786
CFVOAVDAPUQRNK-OAHLLOKOSA 6.76955107862173
CGGKLARTSKGIPF-UHFFFAOYSA 6.20065945054642
CGLQYOUHMNTUAK-UHFFFAOYSA 7.15490195998574
CHVUDHLIDGFAMH-UHFFFAOYSA 8.39794000867204
CIGNUCKEHATOKY-UHFFFAOYSA 7.22184874961636
CIWYDKKMUPZLJH-NMWGTECJSA 5.65757731917779
CKICLAQXACKROI-UHFFFAOYSA 7.61978875828839
CKRJSIFFXMHDSE-UHFFFAOYSA 7.67778070526608
CLCQRCXCSJSVKF-UHFFFAOYSA 6.44650466140501
CMFHIZUNQUWOKD-UHFFFAOYSA 5.2580609222708
CMLHRRSJRJXSFB-UHFFFAOYSA 4.89619627904404
CNENNSJMKDJWPV-UHFFFAOYSA 5.91721462968355
CRPUDAVZTZIKMJ-QPJJXVBHSA 3.30102999566398
CRQMAEDPCQSZBK-UHFFFAOYSA 7.34518491628705
CRXFYGMLTVAQJD-UHFFFAOYSA 6.59760786430161
CUMBFVXWDJDNHR-UHFFFAOYSA 6.69897000433602
CVGZRGTXRASJJB-UHFFFAOYSA 7.04335804911979
CVUXIABNRCIXRF-UHFFFAOYSA 6.81688193814085
CXDZGSNFZYGQSZ-UHFFFAOYSA 5.95860731484177
CXVYNVKRAHOLMU-UHFFFAOYSA 6.2902964163476
CZGMEOAMQWAJOY-UHFFFAOYSA 4.45593195564972
CZJZBZZBSXXTPH-UHFFFAOYSA 6.52287874528034
CZVMMNLRDFMWFN-UHFFFAOYSA 7.53967749929661
CZVVMRNEBRFYTL-UHFFFAOYSA 6.5003129173816
DAIVSRFDBKXQTQ-UHFFFAOYSA 4.52287874528034
DAUNYOFBILOYNT-UHFFFAOYSA 6.00436480540245
DBJXJFMUTHNNGW-UHFFFAOYSA 7.31821002433208
DDPXAYNMHBTSTN-UHFFFAOYSA 5.85387196432176
DDYSIXDGDGDTAO-HXUWFJFHSA 6.71944930817547
DGHFAJBYVDNLOO-UHFFFAOYSA 5.55284196865778
DIDIVIXODOFLFJ-UHFFFAOYSA 8.08618614761628
DJNWXYTWORPJNI-GOSISDBHSA 6.67778070526608
DJNWXYTWORPJNI-SFHVURJKSA 6.33724216831843
DLDOXZCZZRNZNZ-UHFFFAOYSA 4.39794000867204
DNBVMOXDARBOEE-UHFFFAOYSA 6.93554201077308
DNFFBPFIQFFBGS-UHFFFAOYSA 7.22184874961636
DNRDWKZUFWVTKE-UHFFFAOYSA 7.58924323579761
DORFEDMRVQLEQT-JTQLQIEISA 5.92081875395237
DORFEDMRVQLEQT-SNVBAGLBSA 6.88605664769316
DORFEDMRVQLEQT-UHFFFAOYSA 6.34390179798717
DPHRUYVHBJQPJC-UHFFFAOYSA 8.50863830616573
DPSHYRRSRHVRRE-UHFFFAOYSA 8.41195437047216
DQDNVYJAOVRUOQ-UHFFFAOYSA 8.52287874528034
DQILXXVPFRTBOV-UHFFFAOYSA 7.19627248839267
DRUPVGBBYMYKJN-FGZHOGPDSA 7.43179827593301
DRVWYCFPAIUURH-UHFFFAOYSA 8.22184874961636
DVKWQUGLRANMBN-UHFFFAOYSA 6.43062609038495
DVRMYRDLCLUXQP-UHFFFAOYSA 6.30546218740409
DXKBUNHVRDQHHI-UHFFFAOYSA 8.30102999566398
DYBYBSJVJPDSSC-UHFFFAOYSA 6.88605664769316
DYFJYOVDYFGZDE-UHFFFAOYSA 8.39794000867204
DYKYNDZJFGABKQ-UHFFFAOYSA 4.39794000867204
DYSOMJVQHUQQEB-UHFFFAOYSA 5.30102999566398
DZSUJUOJJJCWGG-UHFFFAOYSA 3.30102999566398
FASSZBVWSHEOJB-UHFFFAOYSA 6.29149594158788
FCSNTQYNAGFBNS-UHFFFAOYSA 7.69897000433602
FDVSOQRNTAPCHB-ZRZAMGCNSA 3.69897000433602
FGBUUKMIHXTQQT-UHFFFAOYSA 7.52287874528034
FHDPQTHZTKXVCW-UHFFFAOYSA 5.67571754470231
FIGRHFKKEQZCFS-UHFFFAOYSA 6.74472749489669
FKNPFDGOZHGKTD-HNNXBMFYSA 6.98296666070122
FKNPFDGOZHGKTD-OAHLLOKOSA 6.62708799702989
FKQKYQTXERTEMM-UHFFFAOYSA 7.21467016498923
FKSBROWWHIJTKO-UHFFFAOYSA 4.90657831483776
FNVQWFPDIYQCSF-UHFFFAOYSA 5.16115090926274
FNXISRZAOACOSB-UHFFFAOYSA 4.90308998699194
FOSNOEXXSOQKEV-UHFFFAOYSA 6.63380312008852
FPYJSJDOHRDAMT-KQWNVCNZSA 7.77642098432889
FRVKFOHHOHTCGW-UHFFFAOYSA 7.61978875828839
FTSQTLCAVRPYJK-UHFFFAOYSA 4.15490195998574
FUGPVNRCNPSEKE-UHFFFAOYSA 6.42481215507234
FUVGPYLFLOWRMC-HZPDHXFCSA 6.44369749923271
FVAJHBVTGUIFMD-UHFFFAOYSA 7.18225812659255
FVIIFUOCWXBFMO-UHFFFAOYSA 7.31875876262441
FVUINRBQOUDLSO-UHFFFAOYSA 6.71444269099223
FVWWFRASLMZWEX-UHFFFAOYSA 5.83980607105694
FWNHQACWPUSEBW-UHFFFAOYSA 7.04575749056067
FXDWNCFVVOSWKM-UHFFFAOYSA 5.04624030826677
FZMQNYVDSIKAGO-UHFFFAOYSA 5.69897000433602
GCWMGQFAGIVZCJ-UHFFFAOYSA 4.34678748622466
GDWNXVSDXMNBPF-UNTBIKODSA 4.8639139026159
GHRNBCMJJKMYNR-UHFFFAOYSA 4.60205999132796
GLBZSOQDAOLMGC-UHFFFAOYSA 7.22184874961636
GMVQPWCWWLPOQT-FQEVSTJZSA 4.17392519729917
GNPAAWCPMQVWOZ-UHFFFAOYSA 6.18858246526305
GSESNHFRHOZYJR-UHFFFAOYSA 7.17392519729917
GTDCAFNNNVCDJN-UHFFFAOYSA 7.14659125070036
GTVLRDKETAZSES-UHFFFAOYSA 7.06246936830415
GTZBFNQZVAGCGW-UHFFFAOYSA 8.22796597782486
GUGPWGWLXMBBBT-UHFFFAOYSA 6.82390874094432
GUJSFBBBLLQSHV-UHFFFAOYSA 5.98296666070122
GWJJSPXDFYUKDS-UHFFFAOYSA 6.72124639904717
GXKSGTIXGWDSGJ-UHFFFAOYSA 3.30102999566398
GXNJVTWXIDPNSY-UHFFFAOYSA 6.29242982390206
GZLYPLRRKZCYLV-UHFFFAOYSA 7.81171152147174
GZMFYPWWSXGVTC-UHFFFAOYSA 7.31875876262441
HAPYOEZQKCQEPE-UHFFFAOYSA 6.91566288521646
HBNFTDDTRWSQBS-UHFFFAOYSA 7.10032972527321
HCAPOHVIWWCHEQ-UHFFFAOYSA 6.39727201489339
HCPGIKXNSDXVKD-UHFFFAOYSA 7.99569991411904
HEAIZQNMNCHNFD-UHFFFAOYSA 7.69149982943955
HELZIKAUHCHWMC-WQLSENKSSA 5.431798275933
HFFKSUPVECHKLW-UHFFFAOYSA 4.64975198166584
HFLGPAUKVFOIOT-UHFFFAOYSA 4.69897000433602
HGHDKUIVPHCCKQ-UHFFFAOYSA 8.52287874528034
