CHIRONID	PIC50
ADDPEEUYANAWBV-UHFFFAOYSA 6.72124639904717
AEWVQURONHNXMU-UHFFFAOYSA 6.74472749489669
AGSGAJGDMUMJNL-UHFFFAOYSA 7.52287874528034
AHGCYGCCKBQXJF-UHFFFAOYSA 5.82390874094432
AIWJVLQNYNCDSL-UHFFFAOYSA 4.69897000433602
AJKKWLMPONETGH-UHFFFAOYSA 7.52287874528034
AJXBTVULLQQKKY-UHFFFAOYSA 7.08092190762393
AKSNBQWMYMAEMU-UHFFFAOYSA 7.45593195564972
AMPFDJPYAXBAGV-UHFFFAOYSA 4.53760200210104
ANYSOYJFYNRKSS-UHFFFAOYSA 5.92081875395237
ATQFANHXMGLCLY-UHFFFAOYSA 6.85387196432176
AUEMOMBYDNEBMB-UHFFFAOYSA 6.74472749489669
AULQDENWSDVWLA-UHFFFAOYSA 3.30102999566398
AWZFCQRICMFIES-AATRIKPKSA 7.29242982390206
AXEOOGDKIBIWSA-UHFFFAOYSA 7.69897000433602
AYSXURJZVXBSRV-WJDWOHSUSA 3.30102999566398
BDJGBNKCTHVCSF-UHFFFAOYSA 5.15490195998574
BDRAYCVSLZSFNY-UHFFFAOYSA 5.29242982390206
BEJGBKAIVFARDV-UHFFFAOYSA 7.60205999132796
BETCVGLWCYMGME-UHFFFAOYSA 2.69897000433602
BIEVFPHFDCQCQQ-UHFFFAOYSA 5.95860731484177
BJRWKMDBESJWCF-UHFFFAOYSA 5.63827216398241
BJWMDPZDQJVEFN-UHFFFAOYSA 4.36653154442041
BKMFUDJYEMHEKH-MRVPVSSYSA 19.6575773191778
BKRPAPSNFWJOIZ-UHFFFAOYSA 3.30102999566398
BLWIZLGSAQUGFO-UHFFFAOYSA 4.45593195564972
BMZVUCHNAOGFOV-UHFFFAOYSA 6.53760200210104
BOFVDHXCVJRCCL-UHFFFAOYSA 6.67778070526608
BOGPCCOCPGCUAT-SNVBAGLBSA 6.91604609499926
BOMJDFMGBLZPOK-UHFFFAOYSA 6.11918640771921
BPJWJZKAWLBTSZ-UHFFFAOYSA 3.39794000867204
BPOXGDXNXMGKPJ-UHFFFAOYSA 5.03151705144606
BRIQQINVZPOXJI-UHFFFAOYSA 4.92081875395237
BTFCCPKDGZFGPR-UHFFFAOYSA 8.36653154442041
BTHFDMHVCJFREX-UHFFFAOYSA 6.92081875395237
BUNJRVUMXKHWBD-VAWYXSNFSA 6.46852108295774
BUYKQYWJELIXQN-UHFFFAOYSA 8.09691001300806
BWAAJKNSRSFMMW-UHFFFAOYSA 6.08618614761628
BWMYAAGVSXHFLF-UHFFFAOYSA 6.11350927482752
BZQVWTDKMSTNBU-UHFFFAOYSA 6.10640442494404
CFGCMBQPGUSLQM-UHFFFAOYSA 3.39794000867204
CGCYZGLZJSUFMP-UHFFFAOYSA 2.69897000433602
CLGPNUZMVDNNOW-UHFFFAOYSA 3.88605664769316
CLOCLFANNHMWJJ-UHFFFAOYSA 3.39794000867204
CMQSGMXGIWWFHN-UHFFFAOYSA 4.72124639904717
CNVFENCTUFMYBP-UHFFFAOYSA 4.76955107862173
COQMBZDAQWGIGH-UHFFFAOYSA 3.69897000433602
CPENWIJUXFAOFN-UHFFFAOYSA 3.39794000867204
CQAABJLCNKXESD-UHFFFAOYSA 6.98716277529483
CQERPSZQVAXWHF-UHFFFAOYSA 6.22184874961636
CRPUDAVZTZIKMJ-QPJJXVBHSA 3.30102999566398
CRXLZQZTZVWAOM-UHFFFAOYSA 5.16115090926274
CSNXUYRHPXGSJD-UHFFFAOYSA 4.07058107428571
CTXBCAFOAPKNCW-UHFFFAOYSA 5.88605664769316
CUBGQJGBOQTQER-UHFFFAOYSA 4.63827216398241
CUIQYXHABOOZFA-UHFFFAOYSA 0.958607314841775
CUISPPCDYZFGCY-ZDLGFXPLSA 4.72124639904717
CUPLTRAPYIXFAX-UHFFFAOYSA 3.30102999566398
CWHBTWGSDNZUKL-UHFFFAOYSA 5.00436480540245
CYCABWILPXUPKZ-UHFFFAOYSA 5.58502665202918
CYMBWEFLCHYQDR-UHFFFAOYSA 6.42021640338319
CZZFXDNDIRRHMO-UHFFFAOYSA 4.55284196865778
DAGJEDQAVYEPNE-UHFFFAOYSA 5.27572413039921
DATRTCJGCFQUHH-UHFFFAOYSA 2.69897000433602
DBPKEFMIWKBZQK-UHFFFAOYSA 3.91721462968355
DBTKHUDMVFSPSD-UHFFFAOYSA 7.82390874094432
DCFABICHFBVXIW-UHFFFAOYSA 5.53760200210104
DCHCUJLYTWHIHV-UHFFFAOYSA 6.72124639904717
DCRJMZNHTPDFNQ-UHFFFAOYSA 3.69897000433602
DCTRZVSCCZUQGX-UHFFFAOYSA 5.65757731917779
DDEHKSKCGIBOPH-UHFFFAOYSA 5.6
DEXVRLPLUSQKEM-UHFFFAOYSA 3.69897000433602
DEZFNHCVIZBHBI-ZHACJKMWSA 5.26760624017703
DIJIJDANNOSBAG-LLVKDONJSA 6.99232012229539
DJUGDBUCNZFFNS-HNNXBMFYSA 5.16937769552033
DKXHSOUZPMHNIZ-UHFFFAOYSA 6.54745301583607
DLJOTMUYQOUVAT-UHFFFAOYSA 4.64781748188864
DQLNUZMTBDLFAN-UHFFFAOYSA 5.49485002168009
DQLQUXWGVFYHBF-UHFFFAOYSA 2.69897000433602
DRQGUKDLNGJXQY-UHFFFAOYSA 4.3767507096021
DSHFYIZZAXPSDI-ZZXKWVIFSA 7.3767507096021
DTUVSOPBLDVLBG-UHFFFAOYSA 5.14874165128092
DUGXSNHFGBPCPM-UHFFFAOYSA 6.56863623584101
DVJXYWRSCYOJLL-UHFFFAOYSA 5.16115090926274
DWAQRLGITXATEF-UHFFFAOYSA 5.95860731484177
DXXJDEVFDVVIGG-ZETCQYMHSA 7.1259059864969
DZCMVCGUUJNMQE-UHFFFAOYSA 8.30102999566398
DZIUPOCVDSYPSY-UHFFFAOYSA 4.04575749056067
DZQSUONHCMWRFF-UHFFFAOYSA 5.44369749923271
FATZSGFQHPMMBP-UHFFFAOYSA 5.431798275933
FCPSNONAHBIVRE-UHFFFAOYSA 7.49485002168009
FFEKZMDUFVLJQZ-UHFFFAOYSA 6.82390874094432
FGQLPUTYZYTKLO-SSDOTTSWSA 7.42081875395237
FGRIBKVJKHGVKJ-UHFFFAOYSA 5.76955107862173
FHJOEWCOPYPMQW-UHFFFAOYSA 5.52287874528034
FHWSALCCHXXIDJ-UHFFFAOYSA 5.58502665202918
FHYKOYKLHAIARC-SNVBAGLBSA 5.5868006089062
FIFCMZNMAHBCDZ-UHFFFAOYSA 3.30102999566398
FJFQQDIWZQOBLI-UHFFFAOYSA 7.20760831050174
FKGPIULOTGOVON-UHFFFAOYSA 5.82390874094432
FMRWLLNOPBTLDC-UHFFFAOYSA 6.85387196432176
FOIYZNZAROTCFF-UHFFFAOYSA 5.04095860767891
FQMLLSSXUJLUMX-UHFFFAOYSA 6.63827216398241
FQYJHZDVUMKRTO-UHFFFAOYSA 7.31875876262441
FRKWUYUWMYUILV-UHFFFAOYSA 6.74472749489669
FTFJZUWGTXFSTQ-UHFFFAOYSA 3.69897000433602
FTLFWYCUAOSWPL-UHFFFAOYSA 6.30980391997149
FWOOTQWQKQHEHE-UHFFFAOYSA 4.6458915608526
FYMURMGSNGUNKE-UHFFFAOYSA 6.09691001300806
GARQBBNLFNDLEJ-UHFFFAOYSA 5.2839966563652
GBYSPHCOZHPPFX-UHFFFAOYSA 2.69897000433602
GCQYBRUMAUGIJM-UHFFFAOYSA 5.92081875395237
GGVFNPFXQLBATK-UHFFFAOYSA 8.69897000433602
GHEBCEHFQAHKRP-UHFFFAOYSA 5.60205999132796
GHKIAGUJUFVADU-UHFFFAOYSA 5.74472749489669
GITCIQPIHDKHIG-UHFFFAOYSA 8.15490195998574
GJAZEBCLMQRBQD-UHFFFAOYSA 5.56863623584101
GJRDOKLPYMRLFW-UHFFFAOYSA 5.14935376481693
GLCMDXVOFNDXMC-DISLKRJHSA 2.69897000433602
GLUOXTMCSMWSRM-UHFFFAOYSA 4.85387196432176
GMQQMSKNSNVPOW-VOTSOKGWSA 3.30102999566398
GNIYUURCQFKRCB-UHFFFAOYSA 3.30102999566398
GPXKVULNYYNGDP-UHFFFAOYSA 6.4089353929735
GQZJEOGSPSVJIX-UHFFFAOYSA 4.87614835903291
GRLRWUYUMUSJFS-UHFFFAOYSA 6.11350927482752
GRPUCYCKBBWGEO-UHFFFAOYSA 3.39794000867204
GSJWLLLMOKRRED-UHFFFAOYSA 5.52287874528034
GTXFFNURYUQKEA-UHFFFAOYSA 4.05998184499234
GTXVJHIQOSTBTI-UHFFFAOYSA 6.67778070526608
GTYGWZPPLHEGPU-UHFFFAOYSA 5.72124639904717
GUCGAGSVDISAAV-UHFFFAOYSA 6.79588001734407
GVHJLQKEXAWMLD-UHFFFAOYSA 6.58502665202918
GWODBBFDCZIKBY-ZCFIWIBFSA 6.08858917734845
GXDHJMHFSCNYBN-UHFFFAOYSA 8.52287874528034
GYLUFIDGYTYMOQ-UHFFFAOYSA 5.82390874094432
GYNPHGRXVZWBTC-UHFFFAOYSA 4.38721614328026
HAYHOUOJSMEPFE-NSHDSACASA 3.69897000433602
HFTDLOVSQHYBFJ-UHFFFAOYSA 3.52287874528034
HGKSWPMTSBTIJQ-UHFFFAOYSA 5.46852108295774
HGOFWZOTBBXXJI-UHFFFAOYSA 4.15490195998574
HHUNCHPIUIFIIS-UHFFFAOYSA 5.15490195998574
HIASHEATKNRFJC-UHFFFAOYSA 2.39794000867204
HIHIFVIUXJFFLO-UHFFFAOYSA 2.69897000433602
HJSVRZBFKFCGAZ-LLVKDONJSA 5.99569991411904
HJUJLSBWLJBWSR-UHFFFAOYSA 5.36653154442041
HKSZLNNOFSGOKW-ZGQXJOJZSA 6.22599104030157
HLJKZFNSLBKVMZ-UHFFFAOYSA 2.69897000433602
HLNVUAYSPJVOQW-UHFFFAOYSA 6.48148606012211
HMEVETSOKVZITQ-UHFFFAOYSA 5.11350927482752
HSENOQZMLCILFN-UHFFFAOYSA 7.82390874094432
HVXBPEBYKAQAIV-UHFFFAOYSA 2.69897000433602
HWBJYDRREYKVIL-UHFFFAOYSA 3.69897000433602
HWSBIXAAGOEEGX-UHFFFAOYSA 6.39469495385889
