CHIRONID	PIC50
AALNCHNFTKRFEL-UHFFFAOYSA 22.2102639701016
AFZKXALTXCNQAZ-UHFFFAOYSA 5.63078414258986
AGAXSGXJCXSDEI-UHFFFAOYSA 5.92081875395237
AODUHZPEXFCKHF-UHFFFAOYSA 3.90308998699194
AOLUUEDZXBVWED-UHFFFAOYSA 7.22184874961636
AOWURAHNMNLYFX-DQSJHHFOSA 6.47495519296315
AQFXVMZZFFFSCG-UHFFFAOYSA 3.30102999566398
AQTGJJPOCBCGFT-UHFFFAOYSA 4.15490195998574
AQXIMVWUURMKKC-UHFFFAOYSA 5.93704216591549
ARFSBNIXMVQEPO-UHFFFAOYSA 7.44369749923271
AYUPLIXTYYFUFT-UHFFFAOYSA 6.85387196432176
AZETYZWGGZUSLG-UHFFFAOYSA 5.04720755695591
AZWSVINLFDCANS-UHFFFAOYSA 4.96257350205938
BARYYLFEOIUPEY-UHFFFAOYSA 3.52287874528034
BBZNQHDXQDIMEW-UHFFFAOYSA 3.52287874528034
BEFUAVPFBGOHKT-UHFFFAOYSA 7.18708664335714
BEVNNTNJJJWQAK-UHFFFAOYSA 7.69897000433602
BGNDYXHAEMNSOM-UHFFFAOYSA 6.39794000867204
BGPOQKXCTILWFE-UHFFFAOYSA 3.30102999566398
BIVCQZJNUCQVNS-UHFFFAOYSA 7.43179827593301
BJFMFEYQCRMJSU-UHFFFAOYSA 7.38721614328026
BJHCYTJNPVGSBZ-QPSGOUHRSA 5.95467702121334
BJNCGWGKNWXUIL-UHFFFAOYSA 5.09691001300806
BJQHKICYZOBROI-UHFFFAOYSA 5.09691001300806
BLMKQJNQUNDICW-UHFFFAOYSA 3.52287874528034
BLQYVHBZHAISJM-CMDGGOBGSA 7.2518119729938
BLWHUHULXVDXMZ-UHFFFAOYSA 5.84771165561694
BNXUMOAHWCFUSX-UHFFFAOYSA 6.09691001300806
BPJNFBNWYDYWFX-UHFFFAOYSA 7.03621217265444
BPLTVYXMXOYIBK-DHZHZOJOSA 8.09691001300806
BPNCVKJYVNNMJL-UHFFFAOYSA 3.69897000433602
BPRQZZHWCMZKSW-UHFFFAOYSA 3.52287874528034
BSGFBLYBTKFTTH-UHFFFAOYSA 6.38721614328026
BSRAKZVKBHOFAV-UHFFFAOYSA 6.46852108295774
BSUJJRBKMDRXHZ-UHFFFAOYSA 5.7281583934635
BUGLHAHOHAFUQX-UHFFFAOYSA 3.52287874528034
BVFYPXLAWPVNTJ-UHFFFAOYSA 5.95860731484177
BVSYMJUCSKOBAS-UHFFFAOYSA 8.23657200643706
BXQZTLLDYAHCJP-UHFFFAOYSA 3.52287874528034
BYQWDMZNUPGMNG-UHFFFAOYSA 6.30102999566398
BZHDPIVTQKXAQQ-UHFFFAOYSA 3.30102999566398
CDPYJPHBGSGNJS-UHFFFAOYSA 7.07985917219226
CHXXFDZXNXYYOB-UHFFFAOYSA 7.2839966563652
CIWLFJDHBPQVQC-UHFFFAOYSA 6.48148606012211
CJPNTWIJDMEPOG-UHFFFAOYSA 8.48148606012211
CJTQBCMGMLTHPI-UHFFFAOYSA 5.52287874528034
CKNHHTRTDCIBGT-FLWNBWAVSA 6.75448733218585
CMEIVVNDSVPQKC-UHFFFAOYSA 5.69897000433602
CMOQWRCLKYBEOS-UHFFFAOYSA 5.97881070093006
CMSHHVVSIWNTEW-UHFFFAOYSA 6.25963731050576
CNOSUOKEJBNGTG-UHFFFAOYSA 3.52287874528034
CNXDNYDEXTTZHT-UHFFFAOYSA 6.82390874094432
CRBPYJDRXMZLIH-UHFFFAOYSA 6.71669877129645
CRLKMDIFJAUNGQ-ZIADKAODSA 6.49894073778225
CRPUDAVZTZIKMJ-QPJJXVBHSA 3.30102999566398
CSLYLUOENYVUID-UHFFFAOYSA 6.79860287567955
CTAAJNCORHXQMV-UHFFFAOYSA 5.51427857351842
CTCRBAORDBWNPN-DQSJHHFOSA 6.43533393574791
CTHPHODXZDFNPE-UHFFFAOYSA 6.22184874961636
CTSUBXDMAKHRNI-UHFFFAOYSA 3.52287874528034
CUTRRQNUXLUQCJ-UHFFFAOYSA 5.60205999132796
CYJBQAMTIYIBGY-UHFFFAOYSA 6.20760831050175
CYVPXDNOIYCAAV-UHFFFAOYSA 8.45593195564972
CYVRFHRDWQAJGA-PHIMTYICSA 7.16749108729376
CYVRFHRDWQAJGA-XYPYZODXSA 7.11918640771921
CZDUJGOCEPWCNA-UHFFFAOYSA 5.95860731484177
CZGMEOAMQWAJOY-UHFFFAOYSA 6.02548830726267
DAWSFOHWCHNTMA-UHFFFAOYSA 6.09691001300806
DAZCBQNFGSWSQG-UHFFFAOYSA 7.13076828026902
DBGZNJVTHYFQJI-RIYZIHGNSA 5.52287874528034
DCNGPVQCPFIEBU-UHFFFAOYSA 7.52287874528034
DGMAXJPIGMQHRJ-UHFFFAOYSA 6.22184874961636
DHGWCHIUBOKFPY-UHFFFAOYSA 5.21824462534753
DHMRMUNCZPEPED-UHFFFAOYSA 5.04095860767891
DIKMXNTWZASZBL-UHFFFAOYSA 7.1249387366083
DJQVUYJBUCHJDH-DQSJHHFOSA 6.80966830182971
DLXGDQAWZVGPQU-DQSJHHFOSA 6.38721614328026
DNAVUVDAEKIMRU-UHFFFAOYSA 3.52287874528034
DOXJXXFTEWRETQ-UHFFFAOYSA 5.4089353929735
DPABDEZWNGZKIM-UHFFFAOYSA 6.04575749056067
DQFSRVKDTGSZIZ-UHFFFAOYSA 6.38721614328026
DQGNIOCCYYXQHA-UHFFFAOYSA 3.30102999566398
DQTFBLOOODCMCC-KTMFPKCZSA 5.70509308939481
DRBIGHXBYOJZLO-UHFFFAOYSA 8.44369749923271
DRMYTHGBQIQDJQ-UHFFFAOYSA 3.52287874528034
