CHIRONID	PIC50
AAKJLRGGTJKAMG-UHFFFAOYSA 10.966455623909
AALMZTNNZVHOAS-UHFFFAOYSA 3.92811799269387
AALNCHNFTKRFEL-UHFFFAOYSA 6.66638656221227
AAUBJZPZEKVWOC-XFFZJAGNSA 6.58502665202918
AAUDDAOSMFPXPC-UHFFFAOYSA 7.15490195998574
ABOUXXMKTJTICI-UHFFFAOYSA 2.69897000433602
ACQZSCVVDGKAGB-UHFFFAOYSA 5.68095513900774
ADERJSHNQMYPEE-GHXNOFRVSA 3.69897000433602
AFZKXALTXCNQAZ-UHFFFAOYSA 5.63078414258986
AGAXSGXJCXSDEI-UHFFFAOYSA 5.92081875395237
AGRZDXRWPOUZPR-UHFFFAOYSA 2.52287874528034
AJNRBZADQXTRGP-UHFFFAOYSA 6.72124639904717
AJYMYKJMGGNMHX-UHFFFAOYSA 5.99148333035061
AKMBGXASUFXUGK-UHFFFAOYSA 6.74472749489669
AKXNJHZVODKEML-UHFFFAOYSA 5.15923828145807
AMTQDOFBZCKROV-UHFFFAOYSA 6.86327943284359
ANFWAIIWFNOPFQ-UHFFFAOYSA 7.67051757866778
AODUHZPEXFCKHF-UHFFFAOYSA 3.90308998699194
AOLUUEDZXBVWED-UHFFFAOYSA 7.22184874961636
AQFXVMZZFFFSCG-UHFFFAOYSA 3.30102999566398
AQJAPASXXFSRQU-UHFFFAOYSA 5.50159536398577
AQTCOACEVKFRNO-UHFFFAOYSA 6.77181698343547
AQXIMVWUURMKKC-UHFFFAOYSA 6.04575749056067
ARAMFRZTCCWJOB-UHFFFAOYSA 6.28150545610573
ARFXFEPBCIHGEB-UHFFFAOYSA 5.4003833092368
ARIOBGGRZJITQX-UHFFFAOYSA 5.79588001734407
ASOIAJVDWJWXOF-UHFFFAOYSA 5.42986699872161
ATDJLDZCOSGBPH-UHFFFAOYSA 2.52287874528034
ATKPRIDFHGQMAQ-UHFFFAOYSA 2.30102999566398
ATXQKLAYIZHIBL-WDZFZDKYSA 3.69897000433602
AVQJNCBAUVLRRN-ZSOIEALJSA 5.91721462968355
AWQXHPOIWPEBNU-UHFFFAOYSA 6.65757731917779
AYLKSELOGWVDPG-UHFFFAOYSA 4.7594507517174
