CHIRONID	PIC50
AIAQIHMLOXYLOD-UHFFFAOYSA 16.0515760551998
ALSVKOSANKRYAG-UHFFFAOYSA 5.69186262136196
AMCOPXBOIWZWHG-UHFFFAOYSA 3.52287874528034
ANERBUIPYRATIP-VLIAUNLRSA 8.12853350071375
AZABWVYKNQPYTM-UHFFFAOYSA 5.12551818230053
BAUTZWGIVLAQTR-UHFFFAOYSA 7.32790214206428
BCAXZPBXHSIFDP-XGICHPGQSA 6.55284196865778
BHHRGAKNBXQGIO-UHFFFAOYSA 3.79588001734407
CFWZNCTWCNPULR-GFCCVEGCSA 8.52287874528034
CFWZNCTWCNPULR-LBPRGKRZSA 8.22184874961636
CGULVKYUHPBGPH-UHFFFAOYSA 6.96657624451305
CHEJHTIJWPOIFZ-UHFFFAOYSA 6.13135556160517
CQRFXINTEFATOH-HNNXBMFYSA 7.5
CQRFXINTEFATOH-OAHLLOKOSA 6.9
CVGIMJXXSMYXAG-UHFFFAOYSA 3.30102999566398
CXGJOBJRHSUZAP-UHFFFAOYSA 5.60380065290426
DBVMFHRZSPEVFQ-UHFFFAOYSA 4.7
DFURSNCTQGJRRX-JYRVWZFOSA 8.26143937264017
DIFGSTYSTPFHSV-UHFFFAOYSA 7.13076828026902
DIVNIHJWNGYGEI-UHFFFAOYSA 7.04095860767891
DWCYVKBATKTBGI-BUHFOSPRSA 5.21467016498923
FBHNLBFMQWTPTN-WBVHZDCISA 7.2554249185981
FEBRHATXLQPYLJ-UHFFFAOYSA 3.48678239993206
FESNXQRYCOTXKR-ZCXUNETKSA 7.53760200210104
FFWNZIAZKHNJHQ-UHFFFAOYSA 7.17392519729917
FGVBXWYMYMNXGE-GDBMZVCRSA 8.61340077792157
FRZGIAXJUKGPGL-UHFFFAOYSA 6.84163750790475
FUWKNYZEQAGYBA-UHFFFAOYSA 7.1
FXRJYHONCQIWHF-BUHFOSPRSA 7.46852108295774
GAKPSXQMLOSMLK-UHFFFAOYSA 5.57348873863542
GAMJJHMLLXIWRZ-GXTWGEPZSA 7.8
GAMJJHMLLXIWRZ-OCCSQVGLSA 6.2
GBLWBVVATVHLGH-FOCLMDBBSA 5.26760624017703
GDTUCINIGAXVNH-VAWYXSNFSA 5.4089353929735
GMHWZMRUVIRLHT-HNNXBMFYSA 6.7
GNANLNVHHSMODN-YFHOEESVSA 3.58502665202918
GNFHGXZCVGVGAE-UHFFFAOYSA 4.87942606879415
GOILPRCCOREWQE-UHFFFAOYSA 3.46852108295774
GSAMDAHVTRVRLH-UHFFFAOYSA 5.92811799269387
GUXYHZUGDWFOBA-GHXNOFRVSA 5.95860731484177
GVERHDSKRDVXKR-UHFFFAOYSA 7.36653154442041
GYYLLBJLGKODFT-UHFFFAOYSA 7.18708664335714
GZOXBNAYOLYVTR-UHFFFAOYSA 4.62893213772826
HABRRQSUPGOZTD-UHFFFAOYSA 6.9
HFTDPUFJJWAGSQ-UHFFFAOYSA 6.29670862188134
HGFARAFIPKFMCO-SDQBBNPISA 6.69897000433602
HHLKACXFOZWRPH-UHFFFAOYSA 7.61978875828839
HKXFOQOUWIDTJP-XFFZJAGNSA 6.55284196865778
HLPLHWNYVYRUFE-SDQBBNPISA 6.16749108729376
HVLQLXFZSIVPJQ-UHFFFAOYSA 6.84771165561694
HVNQYDHDQBJAAH-CYBMUJFWSA 7.6
HVNQYDHDQBJAAH-UHFFFAOYSA 7.3
HXXBSUPHBFYSQW-UHFFFAOYSA 4.04191415147891
IBSXLFOFZRSWEZ-UHFFFAOYSA 6.5
ILSVJHIUADSCQN-UHFFFAOYSA 6.69897000433602
IUMPCHAHZBLTKY-FLIBITNWSA 6.29242982390206
IYWBGQMZDRCNAW-UHFFFAOYSA 6.3
JBDVDZJOAKYYCL-AWEZNQCLSA 6.9
JHRBNIITDPSBMU-UHFFFAOYSA 5.15970566838856
JHTBKNDSXPZVBM-SFHVURJKSA 8.09691001300806
JIJYWPGTRDMEFZ-UHFFFAOYSA 7.7
