CHIRONID	PIC50
ABDGGOBNHQMXIJ-UHFFFAOYSA 5.54546001503518
ABOYPQVEYOMTJZ-UHFFFAOYSA 10.0504657047912
ADDGLIWAHQSILK-UHFFFAOYSA 4.0087739243075
AFEGNUNKORHENU-UHFFFAOYSA 7.38721614328026
AIHXCSFEMCZERD-UHFFFAOYSA 6.61978875828839
AIQJXTOEZSDXHV-VAWYXSNFSA 6.20760831050175
AKOPGRIAVAATDN-UHFFFAOYSA 4.45593195564972
AKSIZPIFQAYJGF-UHFFFAOYSA 6.8265054890864
ALEYRQPFVFNLMN-UHFFFAOYSA 7.52287874528034
ALRLAFCAGBGISV-UHFFFAOYSA 7.95860731484177
ALXPUKLGPACDFZ-UHFFFAOYSA 5.41578188788259
AMVGGNXTABOYMX-UHFFFAOYSA 5.84254323186577
ANIODNBRYFSVJO-UHFFFAOYSA 7.36653154442041
ANTUVUVMQSIJBS-UHFFFAOYSA 8.76955107862173
AOMMPEGZDRAGRC-UHFFFAOYSA 7.43024334634139
AOSZKTUKGKSFAV-UHFFFAOYSA 5.08092190762393
APKFNJSACZKTLX-UHFFFAOYSA 4.06474471821595
APULUFKDCXQRIE-RUZDIDTESA 7.74472749489669
APVMAJSIGWMSRO-UHFFFAOYSA 6.81815641205523
AQQWXMKDEBTQIT-UHFFFAOYSA 7.85387196432176
ARQPPPCSTGSCQR-UHFFFAOYSA 7.06048074738138
ARURHNTUFMFLNE-UHFFFAOYSA 6.79588001734407
ATFCZBWLRVVWDU-UHFFFAOYSA 6.93930215964639
AUBRDCSUKBUOFM-UHFFFAOYSA 5.66958622665081
AWSLSQGTMWLKRH-UHFFFAOYSA 5.45593195564972
AWZFCQRICMFIES-AATRIKPKSA 7.03151705144606
AXFARURNJIJQNK-UHFFFAOYSA 7.27572413039921
AXMDZPQSJQHLHJ-UHFFFAOYSA 5.92081875395237
AXSIEBLMJCMGJS-UHFFFAOYSA 8.42021640338319
BARXEXSWTASXNE-UHFFFAOYSA 5.12033079436795
BBGHGXDFMUZCHT-UHFFFAOYSA 6.55752023093555
BBTDOQATPTVBOJ-PGMHBOJBSA 7.07572071393812
BBZNLRUQIPMLSS-UHFFFAOYSA 7.63827216398241
BEVPJXUTHBNTLS-UHFFFAOYSA 5.82390874094432
BEYDVFUQKWNRPT-UHFFFAOYSA 6.42596873227228
BGKRQXRINOKEMF-NRFANRHFSA 7.50863830616573
BGKRQXRINOKEMF-OAQYLSRUSA 8.04575749056067
BHEDZIRZEYUIFN-UHFFFAOYSA 5.53165266958784
BHSCMKZMALDDCF-UHFFFAOYSA 6.19382002601611
BIISLOJDLJXIGT-UHFFFAOYSA 5.09691001300806
BJOYZCHWZJWIDO-UHFFFAOYSA 5.431798275933
BLILWBDSCDHCKK-UHFFFAOYSA 7.29242982390206
BLPQAVCUNCMBIR-UHFFFAOYSA 4.74472749489669
BLQYVHBZHAISJM-CMDGGOBGSA 7.85387196432176
BLVOITZPKDXRCK-UHFFFAOYSA 7.25963731050576
BMCKWRUTJXVUFF-UHFFFAOYSA 7.18708664335714
BMJCQIUKICOIHH-UHFFFAOYSA 7.10237290870956
BMWVNQUIZMDGSJ-UHFFFAOYSA 7.43179827593301
BNBOPMICSCGSGW-UHFFFAOYSA 5.39254497678533
BNSSOWPUOMTPDX-UHFFFAOYSA 4.92081875395237
BOIJNMYEWBACOV-RMHIUJNRSA 5.69897000433602
BOWWSMXUIIXBOU-ZHACJKMWSA 7.04095860767891
BQAVMICMINLKRC-UHFFFAOYSA 7.1249387366083
BQYUDMQJOHMTEM-UHFFFAOYSA 7.34678748622466
BRAPWNJIQFCXTK-UHFFFAOYSA 8.30102999566398
BRVRJAZHVITNIF-UHFFFAOYSA 8.431798275933
BSGQUBKLPKMFRV-UHFFFAOYSA 5.13667713987954
BTKZQEGTHZXVJD-UHFFFAOYSA 6.69897000433602
BTQCPHBDUJMLMF-UHFFFAOYSA 5.76929568638743
BTYJREGEVYGXIK-UHFFFAOYSA 5.33752549624969
BVNOQDUIZJMQNL-UHFFFAOYSA 5.431798275933
BXDOBQYUCLJNAE-UHFFFAOYSA 5.4089353929735
BYYYCNUDMZSOGS-UHFFFAOYSA 6.35654732351381
BZDPNSHFCIPOPU-CLCOLTQESA 5.61083391563547
CAQRLZFEWBTCCO-GOSISDBHSA 7.61978875828839
CAQRLZFEWBTCCO-SFHVURJKSA 6.34486156518862
CASBQOFMGDRBRG-UHFFFAOYSA 7.55284196865778
CBLIPXTZSVBWET-UHFFFAOYSA 7.22914798835786
CCCMIDUAEDVYME-UHFFFAOYSA 7.76955107862173
CCIYHYFLYIQCJR-UHFFFAOYSA 6.45593195564972
CEUGFEWLHGCQEO-HKWRFOASSA 6.93181413825384
CGKGJGLHSCEWHJ-UHFFFAOYSA 6.79588001734407
CGRAHNALUOBLKM-UHFFFAOYSA 6.19382002601611
CHNPJYVZVWEOTM-UULHFOEUSA 5.36653154442041
CIWJUMXZAYFUEI-UHFFFAOYSA 6.19382002601611
CJFBBEOLBIMHEX-UHFFFAOYSA 6.56863623584101
CLFPAGLHVAKYPT-UHFFFAOYSA 7.49485002168009
CLOQRRBPZHLSQE-UHFFFAOYSA 5.63093001011737
