CHIRONID	PIC50
ABEGFBRZNZWQBS-UHFFFAOYSA 11.8507808873446
ABMZJWIUBWZAMZ-UHFFFAOYSA 2.69897000433602
ABNDCQPCLDVQIJ-UHFFFAOYSA 2.69897000433602
ADVDNJCNXOTAHZ-NRFANRHFSA 4.30102999566398
AFGJEKPFFJLISF-XXZGJZCYSA 4.79588001734407
AGFZKGRTVAVKSP-UHFFFAOYSA 4.95860731484177
AGIIDJZSMZSLJN-UHFFFAOYSA 3.23657200643706
AHKKJXWHKFUDGB-UHFFFAOYSA 3.60205999132796
AHWZJZOSPUCFPC-UHFFFAOYSA 3.60205999132796
AIFRHYZBTHREPW-UHFFFAOYSA 3.60205999132796
AINIRABQPWWMRI-UHFFFAOYSA 6.33724216831843
AIWJVLQNYNCDSL-UHFFFAOYSA 4.69897000433602
AKGYFGPTGCPJOY-UHFFFAOYSA 5.85387196432176
AMSOPBXQXSAAAC-RBWOYHBQSA 7.42021640338319
AMZPODGJHRHDDA-UHFFFAOYSA 4.10790539730952
AOIKKLIBKSSHQP-UHFFFAOYSA 6.31875876262441
AOKOQPGMOAIBCE-UHFFFAOYSA 5.58502665202918
APGXSWCOZAHJDR-UHFFFAOYSA 5.79048498545737
APSYDYIUZSZKTD-UVTDQMKNSA 4.45593195564972
ARGBFDDPBUYIBJ-UHFFFAOYSA 3.60205999132796
ARKNUCQRPYIUMU-UHFFFAOYSA 6.39794000867204
ARSCWVMYFYXWGC-UHFFFAOYSA 5.3767507096021
ATBAETXFFCOZOY-DAXSKMNVSA 6.15490195998574
AVGVNDBIYKJMCJ-UHFFFAOYSA 2.30102999566398
AXRCEOKUDYDWLF-UHFFFAOYSA 6.09691001300806
AYPJLDOMFRUAFA-JYRVWZFOSA 5.27572413039921
AZIMEXGKUWHPQV-UHFFFAOYSA 7.69897000433602
BAGFJAHULYYFOE-UHFFFAOYSA 5.16749108729376
BAQFZMFDZMQJAM-PZFYLCKJSA 6.2518119729938
BCQNHMYSGWMFNA-UHFFFAOYSA 3.3767507096021
BDVFVCGFMNCYPV-NSHDSACASA 5.22184874961636
BEYBHILIDYTJTL-UHFFFAOYSA 6.11350927482752
BGVKOUSMQGMSDY-INIZCTEOSA 6.14266750356873
BHQGHWWROTWESK-NTCAYCPXSA 3.49485002168009
BIIVYFLTOXDAOV-TYJDENFWSA 4.63827216398241
BIIVYFLTOXDAOV-YVEFUNNKSA 4.24913486697262
BIRUZCSCWWYKGT-UHFFFAOYSA 5.38721614328026
BJCYOGUTAUOQAS-UHFFFAOYSA 3.60205999132796
BMGQWWVMWDBQGC-PZFYLCKJSA 7.30102999566398
BNMRZXAWYGJIEE-HNAYVOBHSA 4.45593195564972
BPLTVYXMXOYIBK-DHZHZOJOSA 2.52287874528034
BPMGVAZIHDNZRC-UHFFFAOYSA 3.60205999132796
BPNNZZBLGSVSAA-CBJTVTONSA 7.69897000433602
BPNNZZBLGSVSAA-FIRDEBMASA 7.69897000433602
BPNNZZBLGSVSAA-KVYZTJHFSA 7.69897000433602
BPNNZZBLGSVSAA-PFDOBSCMSA 7.69897000433602
BPXQYAXTDCQZHB-UHFFFAOYSA 3.30102999566398
BSFVNTMWZAAILN-UHFFFAOYSA 6.49485002168009
BSQFHYQBCYIAKE-UHFFFAOYSA 5.42021640338319
BTSZMJKDZCBEGX-UHFFFAOYSA 3.3767507096021
BTWNSUFXMWNHMU-UHFFFAOYSA 5.97881070093006
BUGPWXMPCMTLIX-UHFFFAOYSA 6.2518119729938
BUITXQULOJJRJP-POHAHGRESA 4.95860731484177
BUQFPJLZYIYRHD-UHFFFAOYSA 4.30102999566398
BUSSOWPXBXFBJR-UHFFFAOYSA 5.18045606445813
BVSYWRUXRMPTKX-UHFFFAOYSA 2.84163750790475
BXJBYSKTRZASJM-GXTUSLNOSA 5.15490195998574
BXNJHAXVSOCGBA-UHFFFAOYSA 2.60205999132796
BXQSENVZNNEEBV-UHFFFAOYSA 5.44369749923271
BYSRPHRKESMCPO-FOMYJSGHSA 4.52287874528034
BYTZPWNEHPPJQT-UHFFFAOYSA 4.88605664769316
BZHDPIVTQKXAQQ-UHFFFAOYSA 3.30102999566398
CAGLPTUMBKISRZ-UHFFFAOYSA 5.35654732351381
CBBBJLQAIWVLBM-GQCTYLIASA 2.30102999566398
CBZYUWGJNYOKHT-ZKDZFUIGSA 4.82973828460504
CCRCRSXDKXZDGK-UHFFFAOYSA 6.30102999566398
CDMGBJANTYXAIV-UHFFFAOYSA 4.1249387366083
CDPYJPHBGSGNJS-UHFFFAOYSA 3.52287874528034
CEMBEUHBOHDWPN-CAKTUZRTSA 5.92081875395237
CFVUHXVVZNXZMC-UHFFFAOYSA 3.30102999566398
CGSZHEPJBCJZLG-UHFFFAOYSA 4.1249387366083
CGXUCXBMOLKQLI-UHFFFAOYSA 2.69897000433602
CHJLYYQUCNXGJR-UHFFFAOYSA 4.60205999132796
