CHIRONID	PIC50
AHPOODNBWXPMQB-UHFFFAOYSA 5.85387196432176
AIHXCSFEMCZERD-UHFFFAOYSA 3.30102999566398
AIQJXTOEZSDXHV-VAWYXSNFSA 6.88605664769316
AKIIIZOJWRPEPQ-UHFFFAOYSA 7.1249387366083
AKSIZPIFQAYJGF-UHFFFAOYSA 7.32866826545046
AMPWFXUQHOPVKZ-UHFFFAOYSA 6.51427857351842
ANERBUIPYRATIP-VLIAUNLRSA 5.3
ANIODNBRYFSVJO-UHFFFAOYSA 6.87614835903291
ANTUVUVMQSIJBS-UHFFFAOYSA 7.85387196432176
AOMMPEGZDRAGRC-UHFFFAOYSA 7.40483415091485
AQQWXMKDEBTQIT-UHFFFAOYSA 4.16115090926274
ARQPPPCSTGSCQR-UHFFFAOYSA 7.74472749489669
AXMDZPQSJQHLHJ-UHFFFAOYSA 5.67778070526608
AYNBVKYDBZJRNM-UHFFFAOYSA 8.02227639471115
BAQTWRIYOIQOLT-UHFFFAOYSA 4.17392519729917
BBTDOQATPTVBOJ-PGMHBOJBSA 6.66958622665081
BEVPJXUTHBNTLS-UHFFFAOYSA 7.33724216831843
BHSRVQWRAVCUOG-UHFFFAOYSA 4.97715938912347
BLQYVHBZHAISJM-CMDGGOBGSA 6.53760200210104
BMGGDZTXJBWQCN-UHFFFAOYSA 5.19382002601611
BOIJNMYEWBACOV-RMHIUJNRSA 5.15490195998574
BOWWSMXUIIXBOU-ZHACJKMWSA 6.95860731484177
BQYUDMQJOHMTEM-UHFFFAOYSA 7.63827216398241
BRVRJAZHVITNIF-UHFFFAOYSA 7.74472749489669
BTQCPHBDUJMLMF-UHFFFAOYSA 7.23657200643706
BZDPNSHFCIPOPU-CLCOLTQESA 6.44855000202712
CAQRLZFEWBTCCO-GOSISDBHSA 7.00436480540245
CAQRLZFEWBTCCO-SFHVURJKSA 5.91721462968355
CASBQOFMGDRBRG-UHFFFAOYSA 8.09691001300806
CBLIPXTZSVBWET-UHFFFAOYSA 7.18045606445813
CCCMIDUAEDVYME-UHFFFAOYSA 8.30102999566398
CCIYHYFLYIQCJR-UHFFFAOYSA 6.86966623150499
CEUGFEWLHGCQEO-HKWRFOASSA 6.49485002168009
CHNPJYVZVWEOTM-UULHFOEUSA 5.52287874528034
CIWJUMXZAYFUEI-UHFFFAOYSA 5.7851561519523
CJFBBEOLBIMHEX-UHFFFAOYSA 4.56863623584101
CLOQRRBPZHLSQE-UHFFFAOYSA 4.28206171188516
CMEKRUHUVGTVLK-UHFFFAOYSA 7.82390874094432
CMWCUAWBNRSCEK-UHFFFAOYSA 8.32790214206428
CNWZWPQCJCOBHA-UHFFFAOYSA 8.1249387366083
CPSQBCZJMZEPOE-UHFFFAOYSA 6.3767507096021
CQCUVFFLJGJLSK-UHFFFAOYSA 6.71896663275227
CQRFXINTEFATOH-HNNXBMFYSA 5.9
CQRFXINTEFATOH-OAHLLOKOSA 5.8
CRPUDAVZTZIKMJ-QPJJXVBHSA 3.30102999566398
CRVFIGQYZIENPM-UHFFFAOYSA 7.69897000433602
CSFNNUIZTRGKSQ-UHFFFAOYSA 7.35654732351381
CUKDOTPUNPORPU-UHFFFAOYSA 7.29242982390206
CULXCGPBYYEBGM-UHFFFAOYSA 6.47495519296315
CVMUHXWSBHMVGZ-UHFFFAOYSA 7.20065945054642
CYXVEZJWVJIFPJ-UHFFFAOYSA 6.19382002601611
CZGMEOAMQWAJOY-UHFFFAOYSA 4.71372071619047
CZVVMRNEBRFYTL-UHFFFAOYSA 8.69965666811201
DCKMTGBFLNPJPS-UHFFFAOYSA 7.04575749056067
DCQUEYKYABNNDA-VIFPVBQESA 6.07058107428571
DDLZLOKCJHBUHD-UJZLGWIISA 6.04575749056067
DGUSFVFTIHATAT-UHFFFAOYSA 3.60205999132796
DHBOCWJFJJEPCN-UHFFFAOYSA 8.82390874094432
DIGPGAQNZZWPSG-UHFFFAOYSA 7.21467016498923
DIOOREPVPOCQKL-UHFFFAOYSA 6.17392519729917
