CHIRONID	PIC50
AAALVYBICLMAMA-UHFFFAOYSA 4.09691001300806
AAALVYBICLMAMA-UHFFFAOYSA 4.09691001300806
ACWNTJJUZAIOLW-BWXYOZBYSA 2.82390874094432
ADVDNJCNXOTAHZ-NRFANRHFSA 14.5859279463481
AFGJEKPFFJLISF-XXZGJZCYSA 4.79588001734407
AGFZKGRTVAVKSP-UHFFFAOYSA 5.23586311141648
AGIIDJZSMZSLJN-UHFFFAOYSA 3.23657200643706
AHKKJXWHKFUDGB-UHFFFAOYSA 3.60205999132796
AHWZJZOSPUCFPC-UHFFFAOYSA 3.60205999132796
AIFRHYZBTHREPW-UHFFFAOYSA 3.60205999132796
AINIRABQPWWMRI-UHFFFAOYSA 7.92081875395237
AMSOPBXQXSAAAC-RBWOYHBQSA 7.42021640338319
AOIKKLIBKSSHQP-UHFFFAOYSA 7.13868303873309
AOKOQPGMOAIBCE-UHFFFAOYSA 5.56863623584101
APGXSWCOZAHJDR-UHFFFAOYSA 7.52287874528034
APSYDYIUZSZKTD-UVTDQMKNSA 4.45593195564972
ARGBFDDPBUYIBJ-UHFFFAOYSA 3.60205999132796
ARKNUCQRPYIUMU-UHFFFAOYSA 8
ATBAETXFFCOZOY-DAXSKMNVSA 5.92081875395237
AVGVNDBIYKJMCJ-UHFFFAOYSA 2.30102999566398
AXRCEOKUDYDWLF-UHFFFAOYSA 7.52287874528034
AYPJLDOMFRUAFA-JYRVWZFOSA 5.27572413039921
AZIMEXGKUWHPQV-UHFFFAOYSA 7.69897000433602
BAQFZMFDZMQJAM-PZFYLCKJSA 6.2518119729938
BARYYLFEOIUPEY-UHFFFAOYSA 3.52287874528034
BCQNHMYSGWMFNA-UHFFFAOYSA 3.3767507096021
BDVFVCGFMNCYPV-NSHDSACASA 5.22184874961636
BEYBHILIDYTJTL-UHFFFAOYSA 6.98940535046503
BGVKOUSMQGMSDY-INIZCTEOSA 7.39478971007247
BHQGHWWROTWESK-NTCAYCPXSA 3.49485002168009
BIIVYFLTOXDAOV-YVEFUNNKSA 3.69762124636434
BJCYOGUTAUOQAS-UHFFFAOYSA 3.60205999132796
BMGQWWVMWDBQGC-PZFYLCKJSA 7.30102999566398
BNMRZXAWYGJIEE-HNAYVOBHSA 5.03967749929661
BPLTVYXMXOYIBK-DHZHZOJOSA 2.52287874528034
BPMGVAZIHDNZRC-UHFFFAOYSA 3.60205999132796
BPNNZZBLGSVSAA-CBJTVTONSA 8.30102999566398
BPNNZZBLGSVSAA-FIRDEBMASA 8.30102999566398
BPNNZZBLGSVSAA-KVYZTJHFSA 8.39794000867204
BPNNZZBLGSVSAA-PFDOBSCMSA 8.39794000867204
BTSZMJKDZCBEGX-UHFFFAOYSA 3.3767507096021
BUCGAQTZOOCIRW-DUXPYHPUSA 5.60205999132796
BUITXQULOJJRJP-POHAHGRESA 4.95860731484177
BUQFPJLZYIYRHD-UHFFFAOYSA 4.30102999566398
BVSYWRUXRMPTKX-UHFFFAOYSA 2.84163750790475
BXJBYSKTRZASJM-GXTUSLNOSA 5.15490195998574
BXNJHAXVSOCGBA-UHFFFAOYSA 2.60205999132796
BYSRPHRKESMCPO-FOMYJSGHSA 4.52287874528034
BZHDPIVTQKXAQQ-UHFFFAOYSA 3.30102999566398
CAGLPTUMBKISRZ-UHFFFAOYSA 6.13667713987954
CBBBJLQAIWVLBM-GQCTYLIASA 2.30102999566398
CCRCRSXDKXZDGK-UHFFFAOYSA 6.30102999566398
CDMGBJANTYXAIV-UHFFFAOYSA 4.1249387366083
CDPYJPHBGSGNJS-UHFFFAOYSA 3.52287874528034
CEMBEUHBOHDWPN-CAKTUZRTSA 6.1174638994486
CFVUHXVVZNXZMC-UHFFFAOYSA 3.30102999566398
CHJLYYQUCNXGJR-UHFFFAOYSA 4.60205999132796
CHWIXPJSXKQFCT-UHFFFAOYSA 5.64878473177724
CKJRKRPDNLRZPQ-CBJTVTONSA 7.46040937697619
CKJRKRPDNLRZPQ-FIRDEBMASA 7.46040937697619
CKJRKRPDNLRZPQ-KVYZTJHFSA 8.46040937697619
CKJRKRPDNLRZPQ-PFDOBSCMSA 8.46040937697619
CLHMTFQYMLYQME-FQEVSTJZSA 7.36501016167734
CLQHLBAJBOQPRR-DYESRHJHSA 5.49273973062104
CNPLEVGVGWVFGT-UHFFFAOYSA 6.65051499783199
CNUDBTRUORMMPA-UHFFFAOYSA 1.39794000867204
COCSQCRETSHJCO-UHFFFAOYSA 8.22184874961636
COIXTVPWHVHINJ-UHFFFAOYSA 6.82102305270683
CRCPLQZGDLBTNE-LCYFTJDESA 4.95860731484177
CSCOHEYTBLBQMG-UHFFFAOYSA 5.79588001734407
CSGHZVOFTNBYSW-WOJBJXKFSA 3.30102999566398
CTBULQFIIOEIHV-UHFFFAOYSA 5.09691001300806
CTENBIIRXOOCRV-UHFFFAOYSA 4.04575749056067
CTJKRKMPTRJAIT-AATRIKPKSA 2.30102999566398
CUYQLDJOBCKIJU-UHFFFAOYSA 3.60205999132796
CVYZDBFHEACEDM-RAXLEYEMSA 5.67778070526608
CWCVWNBVEOYUAU-UHFFFAOYSA 3.60205999132796
CWFIQHQECWPWQG-PKZFWVFJSA 6.15490195998574
CXTMLIMZRPKULL-YHZURHLKSA 4.06550154875643
CYIPISXCVJSXDV-WHYZNTSBSA 4.95860731484177
CZZJHJXVGWDXFO-UHFFFAOYSA 3.60205999132796
