CHIRONID	PIC50
AAALVYBICLMAMA-UHFFFAOYSA 4.09691001300806
AAALVYBICLMAMA-UHFFFAOYSA 4.09691001300806
ADVDNJCNXOTAHZ-NRFANRHFSA 6.05551732784983
AFGJEKPFFJLISF-XXZGJZCYSA 4.79588001734407
AGFZKGRTVAVKSP-UHFFFAOYSA 6.38721614328026
AGIIDJZSMZSLJN-UHFFFAOYSA 3.23657200643706
AGJAPEBQOOHERM-UHFFFAOYSA 7.05551732784983
AHKKJXWHKFUDGB-UHFFFAOYSA 3.60205999132796
AHWZJZOSPUCFPC-UHFFFAOYSA 3.60205999132796
AIFRHYZBTHREPW-UHFFFAOYSA 3.60205999132796
AJWYNSXOWAWFRT-UHFFFAOYSA 7.65757731917779
ALLMHFJXFWBPDH-UHFFFAOYSA 7.20760831050174
AMSOPBXQXSAAAC-RBWOYHBQSA 7.42021640338319
AOEGOLJDNMUHTC-UHFFFAOYSA 13.267606240177
APSYDYIUZSZKTD-UVTDQMKNSA 4.45593195564972
ARGBFDDPBUYIBJ-UHFFFAOYSA 3.60205999132796
ARKNUCQRPYIUMU-UHFFFAOYSA 6.52287874528034
ASDRIDGWWRNUHE-UHFFFAOYSA 6.81247927916354
ATTAVUMAVKBGLW-UHFFFAOYSA 7.60205999132796
AVGVNDBIYKJMCJ-UHFFFAOYSA 2.30102999566398
AWKZERSILQVXCP-UHFFFAOYSA 7.44369749923271
AYPJLDOMFRUAFA-JYRVWZFOSA 5.27572413039921
AYSXURJZVXBSRV-WJDWOHSUSA 3.30102999566398
AZEVIHVCFXQWCI-UHFFFAOYSA 7.60205999132796
AZHZQWZIQCSEHF-VOTSOKGWSA 7.04575749056067
AZIMEXGKUWHPQV-UHFFFAOYSA 7.69897000433602
BAQFZMFDZMQJAM-PZFYLCKJSA 6.2518119729938
BCQNHMYSGWMFNA-UHFFFAOYSA 3.3767507096021
BDJSJCPWFZBQRA-FNORWQNLSA 8.46852108295774
BDVFVCGFMNCYPV-NSHDSACASA 5.22184874961636
BGLHPPIIHCSAHO-NSCUHMNNSA 6.11918640771921
BGVKOUSMQGMSDY-INIZCTEOSA 6.16115090926274
BHQGHWWROTWESK-NTCAYCPXSA 3.49485002168009
BIIVYFLTOXDAOV-YVEFUNNKSA 4.37357687314695
BJCYOGUTAUOQAS-UHFFFAOYSA 3.60205999132796
BMGQWWVMWDBQGC-PZFYLCKJSA 7.30102999566398
BNMRZXAWYGJIEE-HNAYVOBHSA 6.48148606012211
BOBBYUSYHORXQS-RMKNXTFCSA 5.35654732351381
BPLTVYXMXOYIBK-DHZHZOJOSA 2.52287874528034
BPMGVAZIHDNZRC-UHFFFAOYSA 3.60205999132796
BPNNZZBLGSVSAA-CBJTVTONSA 7.69897000433602
BPNNZZBLGSVSAA-FIRDEBMASA 7.69897000433602
BPNNZZBLGSVSAA-KVYZTJHFSA 8.22184874961636
BPNNZZBLGSVSAA-PFDOBSCMSA 8.22184874961636
BSFVNTMWZAAILN-UHFFFAOYSA 2.30102999566398
BSPJFZBMQCBCCJ-DUXPYHPUSA 7.48148606012211
BTFQHCKJTLZZRE-GORDUTHDSA 6.94309514866353
BTSZMJKDZCBEGX-UHFFFAOYSA 3.3767507096021
BUCGAQTZOOCIRW-DUXPYHPUSA 7.79588001734407
BUITXQULOJJRJP-POHAHGRESA 4.95860731484177
BUQFPJLZYIYRHD-UHFFFAOYSA 4.30102999566398
BVCPWHHJIAYYTM-UHFFFAOYSA 7.20065945054642
BVSYWRUXRMPTKX-UHFFFAOYSA 2.84163750790475
BXJBYSKTRZASJM-GXTUSLNOSA 5.15490195998574
BXNJHAXVSOCGBA-UHFFFAOYSA 2.60205999132796
BYSRPHRKESMCPO-FOMYJSGHSA 4.52287874528034
BZHDPIVTQKXAQQ-UHFFFAOYSA 3.30102999566398
CBBBJLQAIWVLBM-GQCTYLIASA 2.30102999566398
CCRCRSXDKXZDGK-UHFFFAOYSA 6.30102999566398
CDMGBJANTYXAIV-UHFFFAOYSA 4.1249387366083
CDPYJPHBGSGNJS-UHFFFAOYSA 3.52287874528034
CEMBEUHBOHDWPN-CAKTUZRTSA 7.22184874961636
CGZJWCJQOOVDSV-HWKANZROSA 6.50863830616573
CHJLYYQUCNXGJR-UHFFFAOYSA 4.60205999132796
CHWIXPJSXKQFCT-UHFFFAOYSA 5.58502665202918
CKJRKRPDNLRZPQ-CBJTVTONSA 7.69897000433602
CKJRKRPDNLRZPQ-FIRDEBMASA 7.69897000433602
CKJRKRPDNLRZPQ-KVYZTJHFSA 8.39794000867204
CKJRKRPDNLRZPQ-PFDOBSCMSA 8.39794000867204
CLAXUCQFRATVEQ-GQCTYLIASA 7.2518119729938
CLENZPTUQALSKC-VOTSOKGWSA 7.34678748622466
CLGKERUQODCNJI-BQYQJAHWSA 6.09691001300806
CLHMTFQYMLYQME-FQEVSTJZSA 5.69897000433602
CLQHLBAJBOQPRR-DYESRHJHSA 7.30102999566398
COOZRRUJSWPFHC-HWKANZROSA 8.60205999132796
CRCPLQZGDLBTNE-LCYFTJDESA 4.95860731484177
CRPUDAVZTZIKMJ-QPJJXVBHSA 5.88605664769316
CSCOHEYTBLBQMG-UHFFFAOYSA 7.58502665202918
CSGHZVOFTNBYSW-WOJBJXKFSA 4.3767507096021
CTENBIIRXOOCRV-UHFFFAOYSA 4.04575749056067
