CHIRONID	PIC50
AAALVYBICLMAMA-UHFFFAOYSA 4.09691001300806
AALNCHNFTKRFEL-UHFFFAOYSA 8.5381312421339
ACWNTJJUZAIOLW-BWXYOZBYSA 2.82390874094432
ADVDNJCNXOTAHZ-NRFANRHFSA 4.30102999566398
AFGJEKPFFJLISF-XXZGJZCYSA 4.79588001734407
AGFZKGRTVAVKSP-UHFFFAOYSA 4.88605664769316
AGIIDJZSMZSLJN-UHFFFAOYSA 3.23657200643706
AHKKJXWHKFUDGB-UHFFFAOYSA 3.60205999132796
AHWZJZOSPUCFPC-UHFFFAOYSA 3.60205999132796
AIFRHYZBTHREPW-UHFFFAOYSA 3.60205999132796
AINIRABQPWWMRI-UHFFFAOYSA 5.46142626619314
AMSOPBXQXSAAAC-RBWOYHBQSA 7.42021640338319
AOKOQPGMOAIBCE-UHFFFAOYSA 5.36653154442041
AOTJVGQNGQYEAY-UHFFFAOYSA 4.30102999566398
APGXSWCOZAHJDR-UHFFFAOYSA 5.19914550849644
ARGBFDDPBUYIBJ-UHFFFAOYSA 3.60205999132796
ARKNUCQRPYIUMU-UHFFFAOYSA 6.39794000867204
AVGVNDBIYKJMCJ-UHFFFAOYSA 2.30102999566398
AXRCEOKUDYDWLF-UHFFFAOYSA 6.52287874528034
AZIMEXGKUWHPQV-UHFFFAOYSA 7.69897000433602
BAQFZMFDZMQJAM-PZFYLCKJSA 6.2518119729938
BCQNHMYSGWMFNA-UHFFFAOYSA 3.3767507096021
BDVFVCGFMNCYPV-NSHDSACASA 5.22184874961636
BGVKOUSMQGMSDY-INIZCTEOSA 4.10237290870956
BHQGHWWROTWESK-NTCAYCPXSA 3.49485002168009
BIIVYFLTOXDAOV-YVEFUNNKSA 4.44061406546428
BJCYOGUTAUOQAS-UHFFFAOYSA 3.60205999132796
BMGQWWVMWDBQGC-PZFYLCKJSA 7.30102999566398
BNMRZXAWYGJIEE-HNAYVOBHSA 3.30102999566398
BPLTVYXMXOYIBK-DHZHZOJOSA 2.52287874528034
BPMGVAZIHDNZRC-UHFFFAOYSA 3.60205999132796
BPNNZZBLGSVSAA-CBJTVTONSA 7.52287874528034
BPNNZZBLGSVSAA-FIRDEBMASA 7.52287874528034
BPNNZZBLGSVSAA-KVYZTJHFSA 7.52287874528034
BPNNZZBLGSVSAA-PFDOBSCMSA 7.52287874528034
BTSZMJKDZCBEGX-UHFFFAOYSA 3.3767507096021
BUCGAQTZOOCIRW-DUXPYHPUSA 8.60205999132796
BUQFPJLZYIYRHD-UHFFFAOYSA 4.30102999566398
BVSYWRUXRMPTKX-UHFFFAOYSA 2.84163750790475
BXCQIDVVQQYTNJ-UHFFFAOYSA 4.30102999566398
BXJBYSKTRZASJM-GXTUSLNOSA 5.15490195998574
BXNJHAXVSOCGBA-UHFFFAOYSA 2.60205999132796
BYSRPHRKESMCPO-FOMYJSGHSA 4.52287874528034
BZHDPIVTQKXAQQ-UHFFFAOYSA 3.30102999566398
CBBBJLQAIWVLBM-GQCTYLIASA 2.30102999566398
CCRCRSXDKXZDGK-UHFFFAOYSA 6.30102999566398
CDMGBJANTYXAIV-UHFFFAOYSA 4.1249387366083
CDPYJPHBGSGNJS-UHFFFAOYSA 3.52287874528034
CEMBEUHBOHDWPN-CAKTUZRTSA 5.431798275933
CFVUHXVVZNXZMC-UHFFFAOYSA 3.30102999566398
CHJLYYQUCNXGJR-UHFFFAOYSA 4.60205999132796
