CHIRONID	PIC50
AAALVYBICLMAMA-UHFFFAOYSA 4.09691001300806
AAALVYBICLMAMA-UHFFFAOYSA 4.09691001300806
ADURJIGIBOQRQJ-UHFFFAOYSA 7.56863623584101
AEZKSDQQNDEHNH-UHFFFAOYSA 7.11350927482752
AFGJEKPFFJLISF-XXZGJZCYSA 4.79588001734407
AGIIDJZSMZSLJN-UHFFFAOYSA 3.23657200643706
AGJAPEBQOOHERM-UHFFFAOYSA 7.85387196432176
AHKKJXWHKFUDGB-UHFFFAOYSA 3.60205999132796
AHWZJZOSPUCFPC-UHFFFAOYSA 3.60205999132796
AIFRHYZBTHREPW-UHFFFAOYSA 3.60205999132796
AJWYNSXOWAWFRT-UHFFFAOYSA 8.52287874528034
ALJLIYUQIVIGHL-UHFFFAOYSA 5.07572071393812
ALLMHFJXFWBPDH-UHFFFAOYSA 15.4089353929735
AMSOPBXQXSAAAC-RBWOYHBQSA 7.42021640338319
AOEGOLJDNMUHTC-UHFFFAOYSA 6.60205999132796
APSYDYIUZSZKTD-UVTDQMKNSA 4.45593195564972
ARGBFDDPBUYIBJ-UHFFFAOYSA 3.60205999132796
ARVQSIYISUWHIO-UHFFFAOYSA 7.92081875395237
ASDRIDGWWRNUHE-UHFFFAOYSA 7.63827216398241
ATTAVUMAVKBGLW-UHFFFAOYSA 8.88605664769316
AVGVNDBIYKJMCJ-UHFFFAOYSA 2.30102999566398
AWKZERSILQVXCP-UHFFFAOYSA 7.92081875395237
AYPJLDOMFRUAFA-JYRVWZFOSA 5.27572413039921
AZEVIHVCFXQWCI-UHFFFAOYSA 8.30102999566398
AZHZQWZIQCSEHF-VOTSOKGWSA 8.3767507096021
AZIMEXGKUWHPQV-UHFFFAOYSA 7.69897000433602
BAQFZMFDZMQJAM-PZFYLCKJSA 6.2518119729938
BCHYIPDVESELSI-UHFFFAOYSA 7.88605664769316
BDJSJCPWFZBQRA-FNORWQNLSA 7.16749108729376
BDVFVCGFMNCYPV-NSHDSACASA 5.22184874961636
BGLHPPIIHCSAHO-NSCUHMNNSA 6.85387196432176
BIEMHEZHLKVDAG-UHFFFAOYSA 6.04095860767891
BIIVYFLTOXDAOV-YVEFUNNKSA 3.81456583307757
BJCYOGUTAUOQAS-UHFFFAOYSA 3.60205999132796
BMGQWWVMWDBQGC-PZFYLCKJSA 7.30102999566398
BMXSARXRDRGPLX-UHFFFAOYSA 7.3767507096021
BOBBYUSYHORXQS-RMKNXTFCSA 8.03151705144606
BPLTVYXMXOYIBK-DHZHZOJOSA 2.52287874528034
BPMGVAZIHDNZRC-UHFFFAOYSA 3.60205999132796
BSPJFZBMQCBCCJ-DUXPYHPUSA 8.24412514432751
BTFQHCKJTLZZRE-GORDUTHDSA 8.26760624017703
BTSZMJKDZCBEGX-UHFFFAOYSA 3.3767507096021
BUCGAQTZOOCIRW-DUXPYHPUSA 8.39794000867204
BUITXQULOJJRJP-POHAHGRESA 4.95860731484177
BUQFPJLZYIYRHD-UHFFFAOYSA 4.30102999566398
BVCPWHHJIAYYTM-UHFFFAOYSA 7.56863623584101
BVSYWRUXRMPTKX-UHFFFAOYSA 2.84163750790475
BXJBYSKTRZASJM-GXTUSLNOSA 5.15490195998574
BXNJHAXVSOCGBA-UHFFFAOYSA 2.60205999132796
BYSRPHRKESMCPO-FOMYJSGHSA 4.52287874528034
BZHDPIVTQKXAQQ-UHFFFAOYSA 3.30102999566398
CBKZRKBEBYYTGE-UHFFFAOYSA 5.74472749489669
CCRCRSXDKXZDGK-UHFFFAOYSA 6.30102999566398
CDMGBJANTYXAIV-UHFFFAOYSA 4.1249387366083
CDPYJPHBGSGNJS-UHFFFAOYSA 3.52287874528034
CDSMVYVAOJOBOE-UHFFFAOYSA 7.53760200210104
CGZJWCJQOOVDSV-HWKANZROSA 7.50863830616573
CHJLYYQUCNXGJR-UHFFFAOYSA 4.60205999132796
CJZCITRTCZYOMY-UHFFFAOYSA 6.74472749489669
CLAXUCQFRATVEQ-GQCTYLIASA 8.30980391997149
CLENZPTUQALSKC-VOTSOKGWSA 8.25963731050576
CLGKERUQODCNJI-BQYQJAHWSA 6.44369749923271
CLGRAWDGLMENOD-UHFFFAOYSA 7.16749108729376
COCSQCRETSHJCO-UHFFFAOYSA 7.18708664335714
COCZJEZLXFFSJJ-UHFFFAOYSA 7.04575749056067
COOZRRUJSWPFHC-HWKANZROSA 8.65757731917779
CRCPLQZGDLBTNE-LCYFTJDESA 4.95860731484177
CRPUDAVZTZIKMJ-QPJJXVBHSA 8.42021640338319
CSCOHEYTBLBQMG-UHFFFAOYSA 7.62938321239967
CTENBIIRXOOCRV-UHFFFAOYSA 4.04575749056067
CUISPPCDYZFGCY-ZDLGFXPLSA 4.58670023591875
CUYQLDJOBCKIJU-UHFFFAOYSA 3.60205999132796
CVCIQKJLZNEUAZ-UHFFFAOYSA 8.48148606012211
CVSDICVDRQROSJ-UHFFFAOYSA 6.56863623584101
CVYZDBFHEACEDM-RAXLEYEMSA 5.67778070526608
CWCVWNBVEOYUAU-UHFFFAOYSA 3.60205999132796
CWFIQHQECWPWQG-PKZFWVFJSA 6.15490195998574
CXTMLIMZRPKULL-YHZURHLKSA 4.06550154875643
CYIPISXCVJSXDV-WHYZNTSBSA 4.95860731484177
CZZJHJXVGWDXFO-UHFFFAOYSA 3.60205999132796
DAHVKFBDFFFTSI-FLIBITNWSA 4.60205999132796
