CHIRONID	PIC50
AHLIMUMCWAPZNP-UHFFFAOYSA 5.70333480973847
AHUQZOZSCWOMOS-UHFFFAOYSA 7.29242982390206
ALIXTVBPMHJTAF-UHFFFAOYSA 3.69897000433602
AMVGWQXCPUQNTI-UHFFFAOYSA 5.68277265082358
ANAAVHLLZPPWCU-UHFFFAOYSA 9.11598079730043
APLADIXDVQYNTR-KRWDZBQOSA 6.82681373158773
AQPXGMDXSUVRHV-CQSZACIVSA 7.92081875395237
AVCWXYCDBRFSPG-HNNXBMFYSA 5.22709180502873
AWFBHHWLICFNAK-UHFFFAOYSA 6.23657200643706
AWRGMQGBSTVGKQ-UHFFFAOYSA 5.68803433963163
BBTKUDMPZSPCOV-UHFFFAOYSA 5.98296666070122
BFKGTKWTGDQINW-MRXNPFEDSA 7.74472749489669
BGLPZSPBYFJHQQ-UHFFFAOYSA 3.60205999132796
BGOWMSRXCRUANU-UHFFFAOYSA 3.60205999132796
BIHLOOSBOOUCJL-VHDRYYFZSA 7.43179827593301
BMCKWRUTJXVUFF-UHFFFAOYSA 6.27572413039921
BMJXYGYKLFZMCK-GFCCVEGCSA 8.13667713987954
BMXMLWSIFUPIBK-UHFFFAOYSA 8.22184874961636
BNGFMEOSJHFCLA-UHFFFAOYSA 6.33348201944512
BNJAETMQKIKKSN-UHFFFAOYSA 6.72124639904717
BOJMKEOOGVQEAQ-HNNXBMFYSA 3.69897000433602
BOPSUAHGQHFKGG-UHFFFAOYSA 3.60205999132796
BVFNLUKEPFBRGA-UHFFFAOYSA 7.92081875395237
BVODXCQNNKPJJA-HNNXBMFYSA 6.38510278396686
BWZJWBWWGBNPLH-UHFFFAOYSA 7.95860731484177
BXJGJFDHPWFFFF-UHFFFAOYSA 6.52287874528034
CAYPPMFQINCSKS-UHFFFAOYSA 5.69186262136196
CBSGBZLWOKWSDJ-IQOWBAITSA 7.44369749923271
CCNSBMQGGRYSOB-UHFFFAOYSA 4.72124639904717
CDACNIVVKYXGBO-UHFFFAOYSA 4.69897000433602
CGJQEBBOYOFRQW-UHFFFAOYSA 8.15490195998574
CGYQIDZVXVYVAI-UHFFFAOYSA 7.65757731917779
CGZKSPLDUIRCIO-RPCRKUJJSA 5.69897000433602
CJXUHPRULWSPBE-UHFFFAOYSA 3.52287874528034
CMFKBVPIQXKAAT-UHFFFAOYSA 7.76955107862173
CMNMWXJPOUQMBC-UHFFFAOYSA 5.76955107862173
COQMBZDAQWGIGH-UHFFFAOYSA 4.76955107862173
CQYPOADQLJEUBB-ZDUSSCGKSA 6.20411998265592
CVLJBLIMHPEZJC-GFCCVEGCSA 8.52287874528034
CVPAFJFHWHMNPA-OAHLLOKOSA 8.69897000433602
CXKUHYCMRFFSSE-UHFFFAOYSA 7.45593195564972
CYRHCHWHTHQZAV-INIZCTEOSA 6.48148606012211
CZFBBQGDVUHJKQ-UHFFFAOYSA 8.69897000433602
CZNFERGZXNXTAS-HNNXBMFYSA 6.15304467498018
CZQHHVNHHHRRDU-UHFFFAOYSA 5.68837535480105
DAAGOCSHXCDWDY-ZDUSSCGKSA 6.66958622665081
DCRJMZNHTPDFNQ-UHFFFAOYSA 3.69897000433602
DFKJNGVBNCASDM-UHFFFAOYSA 8.52287874528034
DHVZYFGOAOVOBJ-UHFFFAOYSA 7.92081875395237
DJNPBANWRKSHQM-HNNXBMFYSA 5.88572270343841
DKXHSOUZPMHNIZ-UHFFFAOYSA 6.0087739243075
DMPLZTRKPZGODD-UHFFFAOYSA 5.06048074738138
DMTJDVSGJMJVRQ-UHFFFAOYSA 3.60205999132796
DNZYOZKYEXTOPJ-UHFFFAOYSA 5.53760200210104
DPROZSHCTFNYSW-UHFFFAOYSA 6.82390874094432
DQZJBCXRJVKIME-AWEZNQCLSA 5.34524606674707
DSRCAFSFCNIHTE-UHFFFAOYSA 7.55284196865778
DWLVUAOJOFAURW-UHFFFAOYSA 5.4089353929735
DYCWWYFWOMGIRJ-UGFCBVJVSA 6.46218090492673
DZICJKNDYKNBTO-UHFFFAOYSA 3.60205999132796
FASALJZFFLCNKM-GOSISDBHSA 4.28988263488818
FASALJZFFLCNKM-UHFFFAOYSA 4.05601112492623
FCJBLTLQBCHRIE-KRWDZBQOSA 8.22184874961636
