CHIRONID	PIC50
ABLGFYHLIBGFKD-UHFFFAOYSA 6.95860731484177
AELMZARIIRBFQD-UHFFFAOYSA 7.55284196865778
AFBGBORDJVRQJT-UHFFFAOYSA 5.72124639904717
AIHAKUBEGUDRMK-UHFFFAOYSA 6.69897000433602
AIWJVLQNYNCDSL-UHFFFAOYSA 7.60205999132796
AMCOPXBOIWZWHG-UHFFFAOYSA 5.76955107862173
ANGSQGHXKXNCNG-UHFFFAOYSA 7.2518119729938
ANMROLJXNZCODC-UHFFFAOYSA 6.92081875395237
ANWRKPQVLGBTCG-UHFFFAOYSA 9.63509569525561
ATBAETXFFCOZOY-DAXSKMNVSA 8.22184874961636
ATBAETXFFCOZOY-QPJJXVBHSA 8.52287874528034
AUTBEBGXOWIDJI-UHFFFAOYSA 7.13667713987954
AXLDZGGQAXSPAH-UHFFFAOYSA 5.30458469919135
BAXKULRSDFFZQS-UHFFFAOYSA 4.79751499226178
BBVGRROSWSHBNU-YHYXMXQVSA 5.88605664769316
BCJABVRQTWUBDN-UHFFFAOYSA 5.52287874528034
BDFVFXDSPFBGPE-UHFFFAOYSA 5.35654732351381
BFCLSCZXIZAQPT-UHFFFAOYSA 6.46852108295774
BFWPDYZEIUKMJV-UHFFFAOYSA 7.34678748622466
BFYVTUFBMUDKGI-UHFFFAOYSA 8.04575749056067
BTUXDHINVDWEQX-UHFFFAOYSA 6.49485002168009
BUAIGJRXIAKFCN-UHFFFAOYSA 5.23657200643706
BUTXAIUQXDDPQJ-UHFFFAOYSA 6.88605664769316
BVYOCUGVYPZGJW-UHFFFAOYSA 6.25963731050576
BWYOYQVVRUBVGY-UHFFFAOYSA 5.79588001734407
BXMPHYNIUWLBLW-UHFFFAOYSA 6.80687540164554
CAEMFFVPJFULIV-UUASQNMZSA 7.95860731484177
CCUNWBJZMCANKF-UHFFFAOYSA 6.95860731484177
CDMGBJANTYXAIV-UHFFFAOYSA 6.20408478013038
CFHYBQICSRKUFF-UHFFFAOYSA 7.52924428368279
CGFGJVMEGKQFPL-UHFFFAOYSA 6.88605664769316
CHOXZXLXXUVMGG-OAQYLSRUSA 7.34678748622466
CHURZEVSSHLAGS-UHFFFAOYSA 6.44369749923271
CJUNRHGYKDHACB-UHFFFAOYSA 6.22914798835786
CQOHDVMSNLIHFC-UHFFFAOYSA 8.04575749056067
CSQHSUSXDWAPHD-UHFFFAOYSA 5.06550154875643
CXFRHBLGAYVQFD-UHFFFAOYSA 8.04575749056067
CYCXCKOESWCLST-UHFFFAOYSA 6.67778070526608
DHMFGGZSCPEWEE-UHFFFAOYSA 7.82390874094432
DIMKSBQDWMXKAH-UHFFFAOYSA 7.30102999566398
DJJGOSSNKWFDBX-UHFFFAOYSA 6.63827216398241
DLDADGQNHVHAGP-UHFFFAOYSA 6.24412514432751
DMCSEJJVWUBBBX-UHFFFAOYSA 8.39794000867204
DMGXXSZZNPKCTM-AATRIKPKSA 6.60032627851896
DMHPPEKTDQSHDS-UHFFFAOYSA 5.30980391997149
DMRSVEGZBSPXQN-UHFFFAOYSA 7.09691001300806
DPAWWRZZGUILBX-UHFFFAOYSA 5.17392519729917
DQBWGNBCCGPECC-UHFFFAOYSA 8.09691001300806
DRPGFJBVBAHNNV-UHFFFAOYSA 6.02227639471115
DTTIYMKMNDLWNE-UHFFFAOYSA 6.54845500650402
DVVNNVIBJISNLW-UHFFFAOYSA 5.20065945054642
DYYZXRCFCVDSKD-UHFFFAOYSA 4.30980391997149
DZUFTTMDQLYMBE-JOCHJYFZSA 7.97930365742089
DZZIQQYIDWNWDQ-UHFFFAOYSA 6.52287874528034
FEBJYEFFVIDUNF-UHFFFAOYSA 5.52287874528034
FETIVRQJTSQCQU-UHFFFAOYSA 5.30102999566398
FMYPBTOEYTUDMI-JYOAFUTRSA 7.18708664335714
FWRONJFWBOKLJC-PXNMLYILSA 7.49485002168009
FZNVJIJNWWXKAZ-UHFFFAOYSA 6.85387196432176
GAQBUFAKKWTZTI-ACAGNQJTSA 7.60205999132796
