CHIRONID	PIC50
AFGOIFQBIQFJEG-UHFFFAOYSA 7.14266750356873
AFRRRQARLYDLTJ-UHFFFAOYSA 7.95860731484177
AGTUUZMFMGDKFY-UHFFFAOYSA 8.69897000433602
AGVLKBKXJWTFQT-IBGZPJMESA 6.08092190762393
AHBYTGBWKOEDEE-UHFFFAOYSA 6.73282827159699
AHHGBHXZBKHKCK-UHFFFAOYSA 5.53760200210104
AHRBXUXOSXBPRZ-UHFFFAOYSA 14.3367080083032
AKJIQQSUVUVADO-UHFFFAOYSA 4.2839966563652
AKUKFSSRYRAGER-NRFANRHFSA 7.1
ALCYEYMJMMRBQL-UHFFFAOYSA 8.27642098432889
AMNIVLUAYOFKBK-UHFFFAOYSA 6.58335949266172
AMXQCSXJYHAQMD-UHFFFAOYSA 2.70783438781623
AMYLYHGYASWELD-UHFFFAOYSA 7.10790539730952
ANARSAAFHJUWIH-UHFFFAOYSA 7.3767507096021
AOTJVGQNGQYEAY-UHFFFAOYSA 7.48148606012211
AQNOBQVBCKZFMA-UHFFFAOYSA 8.69897000433602
AQRAVDVDFJHENA-UHFFFAOYSA 5.17392519729917
AQYDBKYCZFZNAF-UHFFFAOYSA 3.99139982823808
ASOKPJKABROLOA-LLVKDONJSA 6.88605664769316
ASOKPJKABROLOA-NSHDSACASA 7.45593195564972
AWDORCFLUJZUQS-ZDUSSCGKSA 7.92081875395237
AYNMCJOEQAZMQI-UHFFFAOYSA 8.76143937264017
BCRKOZGHEBYDJJ-UHFFFAOYSA 7.10790539730952
BDECBFLDUBSENR-XMMPIXPASA 7.77030375612038
BFBBWPDWCVEDOK-UHFFFAOYSA 5.30102999566398
BFIRBXUGLIZKLJ-UHFFFAOYSA 3.53657164552515
BGYDDVRMCVTECM-UHFFFAOYSA 7.82390874094432
BHBLZTDQIBBULS-UHFFFAOYSA 6.74472749489669
BHEMXFWEUYIYGK-UHFFFAOYSA 5.60205999132796
BHEVVMVKCUMQLW-UHFFFAOYSA 6.46218090492673
BHXHPVOSRRLEOM-UHFFFAOYSA 6.60205999132796
BKCNFBWOOAHROL-OAQYLSRUSA 8.02287874528034
BKQFBAILJJESBH-UHFFFAOYSA 7.14266750356873
BKXGOGIYRRUAFL-UHFFFAOYSA 8.69897000433602
BMDFYXCSYVMATG-UHFFFAOYSA 7.79588001734407
BNZWVFLAIKWMBC-UHFFFAOYSA 8.22184874961636
BPGCQVBRATWPPS-UHFFFAOYSA 6.50307035192678
BRYHDLMQBIINCD-UHFFFAOYSA 6.53760200210104
BTFXRESVGZYZQN-UHFFFAOYSA 8.30102999566398
BUHWXYZRRBOVCK-UHFFFAOYSA 6.62424497486498
BVZFHBJXEPPCEX-UHFFFAOYSA 7.88605664769316
BVZXUUQZKMNYTR-UHFFFAOYSA 7.48148606012211
BWSLHIWAZHDBCF-UHFFFAOYSA 1.15490195998574
BXCQIDVVQQYTNJ-UHFFFAOYSA 6.9914833303506
BZJZYTQQNKTXOA-UHFFFAOYSA 7.0268721464003
CHAMGSOJYNYFON-UHFFFAOYSA 6.9100948885606
CIUYISXIYCGRIU-UHFFFAOYSA 7.05060999335509
CPYMTZDKYMUIKV-UHFFFAOYSA 6.72584215073632
CRKXVRDQRQDSOG-IBGZPJMESA 6.45593195564972
CTRQZHLDFMECBD-UHFFFAOYSA 8.15490195998574
CUMAJJLNPKZLIN-UHFFFAOYSA 7.9332305458149
CXBJSHXVWUZPRT-UHFFFAOYSA 6.58502665202918
CZDVCQWECKGDSI-UHFFFAOYSA 7.20760831050174
DBLHWYWZXQGUJM-UHFFFAOYSA 7.69897000433602
DDXSWRNQMBOYNX-UHFFFAOYSA 7.74472749489669
DEUSPAYNLHIUSL-GFCCVEGCSA 6.95860731484177
DEUSPAYNLHIUSL-LBPRGKRZSA 6.07314329105031
DFFICBZDZPABBA-UHFFFAOYSA 6.35654732351381
DGYVIVHGBHLFLV-UHFFFAOYSA 6.68326577221021
DNAXPHDUUNPFLH-UHFFFAOYSA 8.37236374744835
DNUAUADEIBLJGT-UHFFFAOYSA 7.69897000433602
DOVACETXYXXOTL-UHFFFAOYSA 7.92693598216088
DPAPGNJIIHRZFH-UHFFFAOYSA 7.49485002168009
DQDGPBWHPGDZRS-JOCHJYFZSA 7.47616790269922
DRJUMLWNSGFXRJ-UHFFFAOYSA 9.04755583452291
DSPGFBKVTVUENE-UHFFFAOYSA 9.46040937697619
DTFXMUGNPMSNRG-NRFANRHFSA 7.35442661913406
DTFXMUGNPMSNRG-OAQYLSRUSA 7.71944930817547
DTWVAYWHWHWLBT-HDICACEKSA 6.49485002168009
DTWVAYWHWHWLBT-IYARVYRRSA 6.2839966563652
DXAVMMHZLHOUCW-UHFFFAOYSA 5.43774788758286
FESVVZJQPFPEKJ-UHFFFAOYSA 7.97154757433176
FGGOJUZSNJUKEG-UHFFFAOYSA 7.15951514076705
FGYJTOWYYAFSCE-UHFFFAOYSA 8.22184874961636
FJBBTKNLUZFOHY-UHFFFAOYSA 8.52287874528034
FJJVLVZVEKFRNJ-UHFFFAOYSA 5.92081875395237
FLZNZODFDWZMJE-UHFFFAOYSA 7.18708664335714
FPYSFTPLUFNAKW-UHFFFAOYSA 8.09691001300806
FQFOMCJJBJUMGO-UHFFFAOYSA 7.77334082997648
FQPWBYFCQBWTRI-UHFFFAOYSA 3.16430942850757
FRSDBTPRXCYYHF-UHFFFAOYSA 4.30102999566398
FUGZYLOFWXVFQU-OKDJAKQTSA 4.30102999566398
FUWYDCSEHWKYSH-JTQLQIEISA 5.22184874961636
FVHZBDOYMRWFJV-UHFFFAOYSA 6.21125410008139
FVLLJKAXYYICBC-UHFFFAOYSA 6.19382002601611
FXQMGEAKULJETH-XMMPIXPASA 6.11069829749369
FYHNIUJJYVTXSP-XMMPIXPASA 7.44169612800587
FYXCDRPEXQWYKJ-UHFFFAOYSA 5.92081875395237
GFJJIBKQWYQEJL-UHFFFAOYSA 6.72124639904717
GFWDPXHTWJXOEI-RUZDIDTESA 7.29242982390206
GLFYTVZQZCEWEJ-UHFFFAOYSA 7.85166740486923
GPVRPYPRKCPLRG-UHFFFAOYSA 5.60205999132796
GQHKTVBEIBEQOC-UHFFFAOYSA 6.85387196432176
GSVBHFQONNWYDN-UHFFFAOYSA 6.52870828894106
GTMYXOHGZNMQRC-UHFFFAOYSA 7.20760831050174
GUDYTHBWPHXZNU-UHFFFAOYSA 6.70053912009068
GUPQPEYJXDUSJM-UHFFFAOYSA 7.65757731917779
GURWIHFJWAKPGX-UHFFFAOYSA 6.61978875828839
GVGYVVSNMHEZSZ-UHFFFAOYSA 7.39443972937097
GXMYSRARUAZJAH-UHFFFAOYSA 2.79588001734407
HBBGZXQWDINZIA-UHFFFAOYSA 7.65757731917779
HCDNKTJUMCHZJG-UHFFFAOYSA 7.69897000433602
HNAXCRUIEUANFZ-UHFFFAOYSA 7.95860731484177
HNVYIUBBLSZTTN-UHFFFAOYSA 1.22184874961636
HQXFLJXIZJFNTB-UHFFFAOYSA 7.07058107428571
HUUBWXIFFXIWKF-UHFFFAOYSA 5.20065945054642
HVJWOVNRCTWQQV-UHFFFAOYSA 7.74742501084005
HWJHGIIVFOLUFR-UHFFFAOYSA 7.27572413039921
HXRUCDRLUOIELR-UHFFFAOYSA 7.31706889229872
HYYCOZGWOGLTMB-UHFFFAOYSA 7.60205999132796
HZOWMRNBTWFJID-UHFFFAOYSA 4.18708664335714
HZPYFFXQDMHITB-UHFFFAOYSA 6.11918640771921
IAGRGOGDETYHFL-UHFFFAOYSA 7.56863623584101
IALIUHKRIFAJDB-MEMLXQNLSA 6.35654732351381
IALIUHKRIFAJDB-OYRHEFFESA 6.23657200643706
IBYCIYXZTCCNFB-UHFFFAOYSA 4.52999092249616
IGYQFVWVGPSQED-UHFFFAOYSA 1.22184874961636
IHRGTBNHKIUULE-VHSXEESVSA 6.50863830616573
IHRGTBNHKIUULE-ZJUUUORDSA 8.13667713987954
IKQJYEKVFJCZMM-UHFFFAOYSA 7.85387196432176
INDPYWCMGKQCEY-UHFFFAOYSA 6.61978875828839
IOWQKWNFTIUJRR-UHFFFAOYSA 7.50863830616573
IRCMQFHWDQBWEZ-UHFFFAOYSA 6.82390874094432
ISIGAIQQUSLSCQ-UHFFFAOYSA 6.36653154442041
ITEFKRHZNNPGAZ-UHFFFAOYSA 5.45593195564972
IWHUGDMSMDVZOY-UHFFFAOYSA 4.43179827593301
IWZVONVJJGAFAZ-UHFFFAOYSA 6.48148606012211
IXPHAKRKIKXIRR-UHFFFAOYSA 4.34678748622466
IYIMBHGTGWSTKM-UHFFFAOYSA 6.67778070526608
IYOZTVGMEWJPKR-VOMCLLRMSA 6.36996430600746
JAPRDKNCYQPDDQ-UHFFFAOYSA 6.80687540164554
JEXVNHNEIQQZLW-UHFFFAOYSA 8.22184874961636
JFOPDXJGAOLMTK-UHFFFAOYSA 7.45593195564972
JHAMKJGGGMLIGX-UHFFFAOYSA 5.5692479762145
JIGCFQXHDZCNKK-UHFFFAOYSA 5.49963116311298
JISHTAQRIKFVMS-IBGZPJMESA 5.76955107862173
JJJJNDXIYADPOU-UHFFFAOYSA 8.6602059991328
JLWTUPLIJAHTKE-UHFFFAOYSA 8.04575749056067
JNXPYFVLECQWNY-UHFFFAOYSA 6.27572413039921
JOLYRRPJAITDGY-UHFFFAOYSA 6.05998184499234
JPIZMTCZKMZLDC-JOCHJYFZSA 7.29242982390206
JPIZMTCZKMZLDC-QFIPXVFZSA 7.38721614328026
JPOSFPUHBHRUAX-UHFFFAOYSA 6.35654732351381
JQCWNEXLKSGUJQ-UHFFFAOYSA 7.95860731484177
JQHQSWUFSHQDHF-UHFFFAOYSA 7.34678748622466
JQXGSDPBFXEDBN-LBPRGKRZSA 6.55284196865778
JUBQGWGPNRKSSH-UHFFFAOYSA 5.63827216398241
KAEBHMJJUDBKAM-UHFFFAOYSA 7.60205999132796
KAULBGZYEKPLDK-UHFFFAOYSA 6.37365963262496
KCHJGCRFBMOASW-UHFFFAOYSA 7.72124639904717
KDILGLNJDNVPLP-GOSISDBHSA 7.60205999132796
KDILGLNJDNVPLP-SFHVURJKSA 6.50863830616573
KDILGLNJDNVPLP-UHFFFAOYSA 6.56066730616974
KFLADMPWLVWXMK-UHFFFAOYSA 7.61978875828839
KFWHAIAFFYRAAT-UHFFFAOYSA 8.27463624698144
KIWVNEOIVMYMPW-UHFFFAOYSA 6.53165266958784
KNHSCMMTXLGHKZ-UHFFFAOYSA 8.22184874961636
KPTLLDAXZGPLSV-UHFFFAOYSA 9.0646066753387
KSECQYDNQYAZMQ-AWEZNQCLSA 5.56863623584101
KXGUCPKHXASNFC-UHFFFAOYSA 7.74472749489669
LBILNJQUSFJDSG-UHFFFAOYSA 6.63827216398241
LBIZOXVQFGPTIB-UHFFFAOYSA 7.60205999132796
LBKUIYUPKQWTEX-UHFFFAOYSA 7.88605664769316
LDDVFORMTQHFKD-GOSISDBHSA 6.09691001300806
LEQCZRIIDQNHNS-HNNXBMFYSA 7.69897000433602
LEQCZRIIDQNHNS-OAHLLOKOSA 6.39794000867204
LFVPBERIVUNMGV-UHFFFAOYSA 6.74472749489669
LGNRWEUQQPIDQM-UHFFFAOYSA 9.22184874961636
LGWIAPZIPKKEQA-UHFFFAOYSA 7.95860731484177
LQABRTWTBAULPD-UHFFFAOYSA 4.23657200643706
LZKXNZXRQFFQAH-UHFFFAOYSA 7.41457589817835
MBEYXNMHPBPYSU-UHFFFAOYSA 8.52287874528034
MBHYWLCIDNPXGB-UHFFFAOYSA 6.10790539730952
MCIPSMFHIWYOIN-UHFFFAOYSA 7.58631536347309
MCQBNMPALTYSES-UHFFFAOYSA 7.92081875395237
MGIFMDYPBYQWCY-UHFFFAOYSA 6.44611697335612
MGVAYCIVCIZWQI-UHFFFAOYSA 6.72124639904717
MHCQGPSBRNOVHU-UHFFFAOYSA 7.1249387366083
MKADTSPXNOSPOR-UHFFFAOYSA 6.2839966563652
MMRPIWYTUYGTFQ-UHFFFAOYSA 6.9868579941693
MPPLZNXMOACWRV-HNNXBMFYSA 7.31875876262441
MPPLZNXMOACWRV-OAHLLOKOSA 6.79588001734407
MPXFLRIOJPGTMY-UHFFFAOYSA 6.26760624017703
MSSYXOZHEIUOHK-UHFFFAOYSA 6.88413780833574
MUVYYVZAJFICKR-UHFFFAOYSA 9.39794000867204
MVGBYCXIQQSBRZ-UHFFFAOYSA 6.61978875828839
MVPARBNSRQJBEM-HNNXBMFYSA 5.95860731484177
MXDBMICZQGOQAX-RUZDIDTESA 7.64116474849886
NADOEEYDSDQIHP-UHFFFAOYSA 5.10237290870956
NCJPTEBNRKVZEU-UHFFFAOYSA 6.49485002168009
NDENTRIWSKFVRD-QGZVFWFLSA 7.03386461205025
NEHGHSXICYDAEU-UHFFFAOYSA 8.39794000867204
NGOGFTYYXHNFQH-UHFFFAOYSA 6.35781949239414
NJIUVRPTTTYJEH-UHFFFAOYSA 1.22184874961636
NPTNKUJRERCZCS-UHFFFAOYSA 7.55284196865778
NQYWUAZXGFMIIN-UHFFFAOYSA 7.09691001300806
