CHIRONID	PIC50
AAHKGRWRYBCWDL-UHFFFAOYSA 6.84771165561694
AALNCHNFTKRFEL-UHFFFAOYSA 3.52287874528034
AARSJXWSYLCBSH-UHFFFAOYSA 8.5
AASSITCVMHLTIO-MDZDMXLPSA 5.18045606445813
AATOPLAJLQECRD-UHFFFAOYSA 7.43179827593301
AAUXGXRHLYYHSO-UHFFFAOYSA 4.88605664769316
ABAWTOZNWVBCHD-UHFFFAOYSA 4.88605664769316
ABEGFBRZNZWQBS-UHFFFAOYSA 5.10790539730952
ABXPYYQYRWGUER-UHFFFAOYSA 14.4287571494398
ADERJSHNQMYPEE-GHXNOFRVSA 3.69897000433602
ADOFRAKFUNLXFZ-UHFFFAOYSA 8.32790214206428
AEDNJNZFBWLDFK-UHFFFAOYSA 7.22914798835786
AERMIYOZZGPJIO-UHFFFAOYSA 7.09151498112135
AFGOFEFLRMONQO-UHFFFAOYSA 5.83268266525182
AFSDNFLWKVMVRB-UHFFFAOYSA 6.52287874528034
AFVGAHBUCVDPPI-UHFFFAOYSA 5.45593195564972
AFZKXALTXCNQAZ-UHFFFAOYSA 7.78781239559604
AHAJMDDSMVHMGD-UHFFFAOYSA 5.44369749923271
AHWTXJIUIBWLRC-UQQQWYQISA 5.92081875395237
AIADCOSLXNLQSJ-UHFFFAOYSA 5.58502665202918
AIARRPNZZRCXGD-UHFFFAOYSA 4.47755576649368
AIKONZJJWSDYSZ-UHFFFAOYSA 7.76955107862173
AIWJVLQNYNCDSL-UHFFFAOYSA 4.69897000433602
AJHAZHZGPDMIEF-UHFFFAOYSA 7.20065945054642
AKMACIDTSAASHE-ACHIHNKUSA 6.84466396253494
AKSNSOUQMPFTQX-DUXPYHPUSA 7.43179827593301
AKVAANQSTCMLRX-UHFFFAOYSA 6.84466396253494
AKYFNSVXHCHDLU-UHFFFAOYSA 2.82390874094432
ALESBZWZJZPACS-UHFFFAOYSA 3.30102999566398
ALORFJGZFRLFCD-UHFFFAOYSA 3.30102999566398
ALQLWRCTAVYKEQ-UHFFFAOYSA 8.69897000433602
ALUWXRODNZKFAY-UHFFFAOYSA 6.67778070526608
AMCOPXBOIWZWHG-UHFFFAOYSA 6.11350927482752
AMERZUAKIAGPBA-UHFFFAOYSA 6.44249279809434
AMJJLDJPDLKNJA-UHFFFAOYSA 2.35654732351381
AMKPAGTWVTZQPM-UHFFFAOYSA 7.07572071393812
AMSBWVVADGVSAJ-UHFFFAOYSA 6.0087739243075
ANRWHDLTBMMQJD-UHFFFAOYSA 3.30102999566398
AODUHZPEXFCKHF-UHFFFAOYSA 3.90308998699194
AOMMPEGZDRAGRC-UHFFFAOYSA 6.60205999132796
AOUMXCXOJGAKLX-UHFFFAOYSA 5.67778070526608
APGJWCRRERWKDQ-UHFFFAOYSA 6.67162039656126
APKZZQNZDWDZPF-UHFFFAOYSA 7.44369749923271
APPAUNZXIPSWAS-UHFFFAOYSA 7.52287874528034
AQEIGFROUMAUCQ-UHFFFAOYSA 9.39794000867204
AQGAWUCGCDILPG-UHFFFAOYSA 7.30102999566398
AQSSMEORRLJZLU-UHFFFAOYSA 8.74472749489669
ARBSTLGRZNKZRL-UHFFFAOYSA 4.56863623584101
ARDFJNKJVAVUOF-FMIVXFBMSA 5.32790214206428
ARKNUCQRPYIUMU-UHFFFAOYSA 4.95860731484177
ARYSVFZAJYNRRS-UHFFFAOYSA 7.74472749489669
ARZLKQIQKFZEHL-UHFFFAOYSA 8.27572413039921
ASAVPQOOHXZTPY-UHFFFAOYSA 4.81815641205523
ATAXRSLEVBMIFF-UHFFFAOYSA 6.79588001734407
ATSKCEZXZQLMAV-UHFFFAOYSA 5.42021640338319
ATXQKLAYIZHIBL-WDZFZDKYSA 3.69897000433602
AUBACICQQGUNEF-UHFFFAOYSA 5.3767507096021
AULCRCVNIWNUTH-UHFFFAOYSA 6.62342304294349
AURYYBJWNGTKQC-UHFFFAOYSA 6.18708664335714
AUTLNQMBOOXVOP-UHFFFAOYSA 4.7594507517174
AVTGFEDSQVZGNK-UHFFFAOYSA 7.11350927482752
AWWZYQVCCFNGQX-UHFFFAOYSA 7.79588001734407
AWYCIYJEKRPHHB-UHFFFAOYSA 5.76955107862173
AXQKJTHCYRYSLF-UHFFFAOYSA 5.61978875828839
AYCLIJUYGZGCHJ-UHFFFAOYSA 6.92081875395237
AYFIHOYRCSORDN-DEOSSOPVSA 5.82390874094432
AYMYWHCQALZEGT-ORCRQEGFSA 4.18708664335714
AYSXURJZVXBSRV-WJDWOHSUSA 3.30102999566398
AYZBGELVIWCHIM-UHFFFAOYSA 6.06128265007001
AZETYZWGGZUSLG-UHFFFAOYSA 5.86966623150499
AZGVCABJHURYHG-UHFFFAOYSA 7.27572413039921
