CHIRONID	PIC50
ACIPLQBWITUNBA-UHFFFAOYSA 7.32790214206428
ACNITJMLOMTVSK-UHFFFAOYSA 9.57981764700746
AGGKJZJGTURGMI-UHFFFAOYSA 5.95860731484177
AHUVEZQNQVASMA-UHFFFAOYSA 7.72124639904717
AKIMBZHGPPQSDT-UHFFFAOYSA 7.03621217265444
AMZUNRUJZDTWPE-UHFFFAOYSA 7.08618614761628
AOHITTBIQMSEHG-UHFFFAOYSA 5.24539873883445
AOTADNCHLKUEAX-UHFFFAOYSA 6.98296666070122
AOWURAHNMNLYFX-DQSJHHFOSA 7.48148606012211
ASOZOHOSADQNNR-UHFFFAOYSA 5.51570016065321
AZDQJYNHHKSZIJ-UHFFFAOYSA 7.47495519296315
BARYYLFEOIUPEY-UHFFFAOYSA 6.52870828894106
BBCFBBCBXACWLE-UHFFFAOYSA 7.10237290870956
BDCBRQYHYNUWAM-UHFFFAOYSA 6.97061622231479
BERLXWPRSBJFHO-UHFFFAOYSA 7.27572413039921
BGWRJYYRBPCUPF-UHFFFAOYSA 5.7500682433658
BJBCSMYAHPXGJA-UHFFFAOYSA 7.05060999335509
BJZUHYVPTMBWIY-UHFFFAOYSA 7.14672644867982
BKQOLNVCOGHSPG-UHFFFAOYSA 7.58502665202918
BOHDYJHDPYIUSH-UHFFFAOYSA 5.75202673363819
BQFXVSLMZTXNSN-UHFFFAOYSA 6.76955107862173
BUPOPEPJCVXMNX-UHFFFAOYSA 7.13076828026902
CDMGBJANTYXAIV-UHFFFAOYSA 5.22184874961636
CHHLXDAXXUDTQX-UHFFFAOYSA 7.33724216831843
CIAZILKRKUMNLQ-UHFFFAOYSA 6.26520017041115
CIXBGUCEOUVDPJ-UHFFFAOYSA 6.40011692792631
CJKRWSKFGYUCLA-UHFFFAOYSA 7.3767507096021
CJTQBCMGMLTHPI-UHFFFAOYSA 7.46852108295774
CKNHHTRTDCIBGT-FLWNBWAVSA 8.04575749056067
CPRSAIDDJIRYDK-UHFFFAOYSA 7.61978875828839
CQFMEEGANZACLR-UHFFFAOYSA 7.10790539730952
CRLKMDIFJAUNGQ-ZIADKAODSA 7.19382002601611
CSVAYJICHSGDHD-UHFFFAOYSA 7.65757731917779
CTCRBAORDBWNPN-DQSJHHFOSA 7.53760200210104
CUVZNOXUJRNIRU-UHFFFAOYSA 7.46852108295774
CXFUMQXKEITWKR-UHFFFAOYSA 6.95860731484177
CYDCYGRZMNCCMT-RQZHXJHFSA 7.49485002168009
DDWGBWGWGYPXLA-UHFFFAOYSA 7.06048074738138
DGKVCONOXMSDLY-UHFFFAOYSA 6.8153085691824
DIDDNVPEZKJYOM-UHFFFAOYSA 7.50863830616573
DJQVUYJBUCHJDH-DQSJHHFOSA 8.15490195998574
DKPQHFZUICCZHF-UHFFFAOYSA 6.79048498545737
DLXGDQAWZVGPQU-DQSJHHFOSA 7.06550154875643
DOEJDSZHAQGKIQ-UHFFFAOYSA 7.19382002601611
DOKYZSGNRUCICD-DQSJHHFOSA 7.45593195564972
DPCGOVJDWMYWEI-UHFFFAOYSA 7.71472853005905
DPDZHVCKYBCJHW-UHFFFAOYSA 6.30102999566398
DPLZBVCTGRIVBN-UHFFFAOYSA 6.88605664769316
DPXLCXOTWYKETD-UHFFFAOYSA 7.74472749489669
DQTFBLOOODCMCC-KTMFPKCZSA 8.15490195998574
DTNMVWLJMUIORI-UHFFFAOYSA 6.2518119729938
DTWRYSLEWSOAST-JWGURIENSA 7.76955107862173
DUOTXCVTINOTGT-UHFFFAOYSA 7.33724216831843
DUXFZIXVZHHJRV-UHFFFAOYSA 7.1249387366083
DVCSUGRKKGJBHN-FCQUAONHSA 3.30102999566398
FBRYPDFBOXDMJY-UHFFFAOYSA 4.96009040491906
FCRSIMWJHONEIO-UHFFFAOYSA 5.99076209726296
FEBJYEFFVIDUNF-UHFFFAOYSA 5.69897000433602
FEZFMQOPZJEIEX-UHFFFAOYSA 5.73754891026957
FHYUGAJXYORMHI-UHFFFAOYSA 6.77493631288659
FNYQWZISNWTOFA-UHFFFAOYSA 6.91364016932525
FOPPVQWVXVOECD-UHFFFAOYSA 6.00436480540245
FUUAJSSRXYXCAH-UHFFFAOYSA 6.75816356809684
FUWKNYZEQAGYBA-UHFFFAOYSA 6.4
FXDKQYLSAJPEQV-UHFFFAOYSA 7.49485002168009
FXPITDIAAUKIHC-UHFFFAOYSA 5.22184874961636
FZETVVQTGAVAAE-UHFFFAOYSA 5.31875876262441
GABJTGFJNPTOCB-UHFFFAOYSA 6.61978875828839
GEDJWDMJHOZAHV-UHFFFAOYSA 7.04503487012358
GHVSDYKIMLGPGX-DQSJHHFOSA 6.36653154442041
GIBBPQYEWNGIBY-UHFFFAOYSA 7.29242982390206
GLHFDXWSDZWRNN-UHFFFAOYSA 3.30102999566398
GNNMAPGYHFHFJB-QNGOZBTKSA 7.16115090926274
GPZVVGLZONKKIO-UHFFFAOYSA 7.52287874528034
GQEJUXJAPUMCSC-UHFFFAOYSA 6.34691298533377
GTNLXSLOAUBPKE-UHFFFAOYSA 6.4218238746168
GUKOPIGVRWRYRF-UHFFFAOYSA 7.60205999132796
GVWLWHOUKASNRW-UHFFFAOYSA 7.21467016498923
GWRYKIAFDUDRCF-UHFFFAOYSA 6.95860731484177
GZOYOEIHAGHGFM-UHFFFAOYSA 8.49485002168009
HABRRQSUPGOZTD-UHFFFAOYSA 6.3
HAZZWEMAAUOOHP-UHFFFAOYSA 6.99567862621736
HBNSQSNPXUBONS-UHFFFAOYSA 6.7594507517174
HDUSLUAJQKGFQZ-UHFFFAOYSA 7.30980391997149
HGJGLMBKNFJBHW-UHFFFAOYSA 6.6345120151091
HMNGAGOWDHFPFL-UHFFFAOYSA 6.71896663275227
HNHRWNUXTCATSG-UHFFFAOYSA 7.32390874094432
HTVAFUKFRNIMHR-UHFFFAOYSA 7.24412514432751
HTVQKYMLRXMMGS-UHFFFAOYSA 7.39794000867204
HVRHZSOILWVHAP-UHFFFAOYSA 6.82102305270683
HXGCZFAFMWTKPO-QPLCGJKRSA 7.49485002168009
HYDHOIPUKQMAHM-UHFFFAOYSA 7.52287874528034
HYWIRHSWNFASLU-UHFFFAOYSA 7.55284196865778
HZJPBOLTWHOKEL-UHFFFAOYSA 7.31875876262441
IBCXZJCWDGCXQT-UHFFFAOYSA 6.86340468270031
IBIAUAYUNZFZJA-UHFFFAOYSA 7.22914798835786
IEFVWVSOFCTFGY-UHFFFAOYSA 7.32790214206428
