CHIRONID	PIC50
AAGVCJFRSHQFKK-CMDGGOBGSA 4.67778070526608
AANHDPNKSQAGIM-UHFFFAOYSA 7.38721614328026
ACOWAIUKUFGHLY-UHFFFAOYSA 6.65757731917779
ACZUPBJBDZROIE-UHFFFAOYSA 8.52287874528034
AERKVHQMODYBFE-UHFFFAOYSA 8.30649289136548
AFGOFEFLRMONQO-UHFFFAOYSA 4.77702355010661
AICMELCBVMDBIX-UHFFFAOYSA 6.22184874961636
AICPYPMTMVSQBW-UHFFFAOYSA 4.39794000867204
AIMHAFQTBGSBMF-UHFFFAOYSA 7.07058107428571
AJIWUDBHBFFZCY-UHFFFAOYSA 5.19382002601611
ALAMKIQLXIWFRA-UHFFFAOYSA 8.69897000433602
ANLGZXDPMDHZMP-UHFFFAOYSA 3.60205999132796
AODUHZPEXFCKHF-UHFFFAOYSA 6.74472749489669
AOOCVFDPBYWOCG-UHFFFAOYSA 6.65757731917779
AOQSEIRRISHVNQ-UHFFFAOYSA 6.92081875395237
AOSZKTUKGKSFAV-UHFFFAOYSA 4.60205999132796
AOUMXCXOJGAKLX-UHFFFAOYSA 5.60205999132796
APHYPLAMZNZIQK-UHFFFAOYSA 6.39794000867204
AQFXVMZZFFFSCG-UHFFFAOYSA 4.75347680003343
AQTHIBWLFXHXGG-UHFFFAOYSA 8.52287874528034
AQXIMVWUURMKKC-UHFFFAOYSA 5.62580174207092
ASSVMZXJIAJLTL-UHFFFAOYSA 7.76955107862173
ATRPQMWXVVIWMO-UHFFFAOYSA 6.32790214206428
AUXWRZFXSWNNSA-UHFFFAOYSA 5.46344155742847
AVHVXKAONMHRSS-UHFFFAOYSA 7.88605664769316
AVNRZNGWBOZNHC-UHFFFAOYSA 6.63827216398241
AYGBSYHQULAMPE-UHFFFAOYSA 5.79588001734407
AYSXURJZVXBSRV-WJDWOHSUSA 3.30102999566398
BARYYLFEOIUPEY-UHFFFAOYSA 7.92081875395237
BCWVVERKADMJGG-UHFFFAOYSA 4.93479387194569
BDUFSIJFMWAXAX-UHFFFAOYSA 8.36571101405858
BEVPJXUTHBNTLS-UHFFFAOYSA 4.60205999132796
BHJJWVDKNXABFS-UHFFFAOYSA 6.1249387366083
BIGLUOGTKFYENL-LUOAPIJWSA 7.14874165128092
BIPPSOZOQMDQPZ-UHFFFAOYSA 7.03151705144606
BIZISPKHXAZMJW-VAWYXSNFSA 4.16749108729376
BKGLPAQWGRAOEM-UHFFFAOYSA 7.10790539730952
BMGGDZTXJBWQCN-UHFFFAOYSA 5.92081875395237
BOECRTNECUVVNV-UHFFFAOYSA 7.96590706912691
