CHIRONID	PIC50
ADDMFZVXYOSSRB-UHFFFAOYSA 7.58502665202918
AFCLEMNPGSUBDT-UHFFFAOYSA 14.5316526695878
AHQVZQVSHSOLDM-UHFFFAOYSA 7.74472749489669
AIHXMCSSAUGRNS-UHFFFAOYSA 7.88605664769316
AIWJVLQNYNCDSL-UHFFFAOYSA 7.61978875828839
AMZKSFNYIWXGDY-UHFFFAOYSA 8.22184874961636
APAVJWIMYUTAQK-UHFFFAOYSA 6.38721614328026
APMQKHHNTLVDQD-UHFFFAOYSA 7.16115090926274
APMUVXPIJNPXQE-UHFFFAOYSA 7.69897000433602
APNYMHFAZCCZRG-UHFFFAOYSA 4.74472749489669
AVQBKIKQPSUKCC-UHFFFAOYSA 8.19382002601611
AYUHNYSRYRXCAN-UHFFFAOYSA 6.32975414692588
BAFNQSRMVYVKQR-UHFFFAOYSA 6.71669877129645
BBZXKDAPACZAMH-UHFFFAOYSA 6.38310457359924
BHJJWVDKNXABFS-UHFFFAOYSA 6.26760624017703
BIAGWLDERXRFAW-UHFFFAOYSA 7.46852108295774
BIEYPBBBEFDOTF-UHFFFAOYSA 7.08092190762393
BLXZMOITRCHHRV-UHFFFAOYSA 5.98716277529483
BOJDCYLXQYKJPO-UHFFFAOYSA 6.13076828026902
BOPCXEIMMJMHTF-UHFFFAOYSA 7.4089353929735
BPGIPYJOESFNQI-UHFFFAOYSA 6.91364016932525
BUTSSCBHZQMTEB-UHFFFAOYSA 7.7594507517174
BUZOTBWJKYSTEL-UHFFFAOYSA 7.42021640338319
BVVMYZVXLZHYKF-PMACEKPBSA 8.01772876696043
BXUHJRIRASLBOI-UHFFFAOYSA 7.0747381455605
BYYUAHCUHJMTHJ-UHFFFAOYSA 5.20760831050175
CBZHOVUXXVXVNO-UHFFFAOYSA 8.15490195998574
CJQIUJARLBWAAK-UHFFFAOYSA 6.44369749923271
CKRMDSYNVASFQQ-HPNDGRJYSA 8.92081875395237
CKRXNUHPDWIIPI-IHESBTCNSA 4.76045027915953
CLYHSTKBWHUKBD-UHFFFAOYSA 6.69897000433602
CMKGLLDJHXJPIV-UHFFFAOYSA 7.85387196432176
CNAMYLDNIIXYMW-UHFFFAOYSA 6.40560744962457
COXZTUCUTWYLEP-UHFFFAOYSA 6.38008008964894
CSBJRBYRFSOSAV-UHFFFAOYSA 7.00436480540245
CSYGIPIOQSVIRG-UHFFFAOYSA 7.24412514432751
CVSUPQHIXALXEL-UHFFFAOYSA 7.10441091301981
CXDOYTGMCAHUID-UHFFFAOYSA 7.21467016498923
CXIYVOOQCNGGIB-UHFFFAOYSA 7.09691001300806
CYKSRYDSCLHTAL-UHFFFAOYSA 5.83863199776502
CYTGCHOMPXDYOU-UHFFFAOYSA 7.03479829897409
CZTSQNOAVFMDAC-UHFFFAOYSA 6.26760624017703
DATHYHLOJYBUAS-UHFFFAOYSA 6.65955588515988
