CHIRONID	PIC50
YCOYDOIWSSHVCK-UHFFFAOYSA 13.8244932680882
AEXAYHMFAIXNSU-UHFFFAOYSA 8.09691001300806
AFECIUCRUIZUKP-UHFFFAOYSA 6.3767507096021
AGGJJUDCDYBLHH-UHFFFAOYSA 6.20065945054642
AGRZDXRWPOUZPR-UHFFFAOYSA 2.52287874528034
AJEMKTGHPQLPSM-UHFFFAOYSA 6.27572413039921
AJIWUDBHBFFZCY-UHFFFAOYSA 4.44369749923271
AJZGSQPKBOEMBE-UHFFFAOYSA 5.83268266525182
AKYQOQRRFDHNEA-UHFFFAOYSA 5.54913530762023
AMRWJLPRILFZMP-UHFFFAOYSA 5.25414480482627
APNXAJAHRAPJHH-UHFFFAOYSA 6.18045606445813
AQFXVMZZFFFSCG-UHFFFAOYSA 6.22112552799726
AQTGJJPOCBCGFT-UHFFFAOYSA 4.15490195998574
AQXIMVWUURMKKC-UHFFFAOYSA 7.14026143380285
AQYYPSFZMCKSEL-UHFFFAOYSA 8.52287874528034
ARRAFPHWAWKGMF-UHFFFAOYSA 6.73518217699046
ARXCFPVKEORMCL-UHFFFAOYSA 7.85387196432176
ASLAQNLSYGJKNM-UHFFFAOYSA 6.30102999566398
ATDJLDZCOSGBPH-UHFFFAOYSA 3.80659709693758
ATKPRIDFHGQMAQ-UHFFFAOYSA 2.69897000433602
AUVPHBMIZZPXIK-UHFFFAOYSA 5.44369749923271
BBLPZQRAXIPHJL-UHFFFAOYSA 6.07572071393812
BFWAKWKCDITIEE-UHFFFAOYSA 6.18045606445813
BHQDAUJABYYOCH-UHFFFAOYSA 6.85387196432176
BJGRIFQHDVCHMB-UHFFFAOYSA 6.13667713987954
BJHCYTJNPVGSBZ-QPSGOUHRSA 5.35457773065091
BLAFVGLBBOPRLP-UHFFFAOYSA 6.87785300765301
BLFZNAYMDSJOEJ-UHFFFAOYSA 4.60205999132796
BNDYIYYKEIXHNK-UHFFFAOYSA 6.69897000433602
BNRFCNNNVLUTOS-UHFFFAOYSA 6.2518119729938
BOANLQPPFKZUBL-UHFFFAOYSA 6.03151705144606
BPKFWXHEWJBXSS-UHFFFAOYSA 5.77469071827414
BQMQEANQUOYMOW-UHFFFAOYSA 6.22914798835786
BQWBZBFRJHWSEA-UHFFFAOYSA 6.60032627851896
BSSIOQSBYYGMRR-UHFFFAOYSA 6.1249387366083
BVOTXUKSZIXDAM-UHFFFAOYSA 4.836212690038
BWGFZDUSGNRJEF-UHFFFAOYSA 5.27654432796481
BWOICBFNIQMBIO-UHFFFAOYSA 6.23657200643706
BXWMSEULKYSGMV-UHFFFAOYSA 6.11350927482752
BZGHPHUNZKSCKZ-UHFFFAOYSA 6.22184874961636
CAGNWIMSXINYME-UHFFFAOYSA 6.58502665202918
CBCKPZZVJQHROG-UHFFFAOYSA 7.1249387366083
CCUYECGXGAFGTM-UHFFFAOYSA 8.15490195998574
CCVDZJHZVAQGSW-UHFFFAOYSA 7.22184874961636
CEDYKRBCAXLBBQ-UHFFFAOYSA 6.74472749489669
CEEHIKQKZBQZLL-UHFFFAOYSA 5.49485002168009
CEIJGXADGDLWQX-UHFFFAOYSA 5.25414480482627
CGDLXUGHZUDIDJ-UHFFFAOYSA 7.20783438781623
CGRNNVQFCDLQJU-UHFFFAOYSA 5.23657200643706
CGRPEMVYTZGPEU-UHFFFAOYSA 5.32390874094432
CIAUVJBQJHPXQG-UHFFFAOYSA 8.52287874528034
CIWUKGVMAYCXDC-UHFFFAOYSA 6.56863623584101
CJSUPKJJDMWUPB-UHFFFAOYSA 7.15490195998574
CJTQBCMGMLTHPI-UHFFFAOYSA 5.67778070526608
CKMJCWOLHVFHHW-UHFFFAOYSA 5.9100948885606
CLKJOWKUOMKGSN-UHFFFAOYSA 5.16430942850757
CLPYYDKRPOBAJO-UHFFFAOYSA 5.94692155651658
CNWRDLKCPGZLLP-UHFFFAOYSA 6.67778070526608
