CHIRONID	PIC50
ABBARSYOMDAYFO-UHFFFAOYSA 13.3772657074341
ABXPYYQYRWGUER-UHFFFAOYSA 6.82390874094432
ADBXTCIYDGSICL-UHFFFAOYSA 7.72124639904717
AIKONZJJWSDYSZ-UHFFFAOYSA 6.23657200643706
AISSWLUWNHBMFH-UHFFFAOYSA 7.58502665202918
AJQRFVJEFXGCBQ-UHFFFAOYSA 6.08092190762393
AKRLJMPQUMPSSS-UHFFFAOYSA 7.24412514432751
ALUWXRODNZKFAY-UHFFFAOYSA 3.30102999566398
AOGOZJCRIFBTTN-UHFFFAOYSA 7.52287874528034
APBCIZYGBCZMMD-UHFFFAOYSA 7.61978875828839
AQGCORFHRDPTIS-UHFFFAOYSA 7.67778070526608
ARBSTLGRZNKZRL-UHFFFAOYSA 6.63827216398241
ATWQVWMVBKTFSI-UHFFFAOYSA 7.88605664769316
AXNSXRSJHQNIGS-UHFFFAOYSA 6.85387196432176
AYCCISQYVVNGRP-UHFFFAOYSA 7.25963731050576
AYCLIJUYGZGCHJ-UHFFFAOYSA 5.46852108295774
AYQQJJCXYWRTDC-UHFFFAOYSA 7.03621217265444
AZMMYOSJQFVWKQ-UHFFFAOYSA 7.33724216831843
BAMKXISZMCXXPK-UHFFFAOYSA 6.85387196432176
BBCCCRYZDMITLZ-UHFFFAOYSA 6.69948500216801
BBMOKTSVCCSMSO-UHFFFAOYSA 5.74472749489669
BCPILSQMLBGEMM-UHFFFAOYSA 6.85387196432176
BCVLVGSGZQVOKG-UHFFFAOYSA 7.24412514432751
BDYKPQNWMJIKON-UHFFFAOYSA 6.79588001734407
BGUOULYMBRTBAW-UHFFFAOYSA 7.19382002601611
BHWYZMVAIXGZSN-UHFFFAOYSA 5.95860731484177
BJIVPJOEDIEVGM-UHFFFAOYSA 6.00436480540245
BLBNYYIZOZIMBG-UHFFFAOYSA 8.15490195998574
BNQBDBVYIMKEKS-UHFFFAOYSA 7.85387196432176
BVFLFSVYYYECQF-UHFFFAOYSA 6.53760200210104
CAJABNJZFXQFQH-UHFFFAOYSA 6.79588001734407
CDCUQSKHGUQLSL-UHFFFAOYSA 6.23657200643706
CHWPHNBDPFZHBI-UHFFFAOYSA 6.95860731484177
CIYVKTDRLOECFX-UHFFFAOYSA 7.01772876696043
CJXIFYRKBLDMRD-UHFFFAOYSA 3.30102999566398
