CHIRONID	PIC50
AALNCHNFTKRFEL-UHFFFAOYSA 6.69897000433602
ABAWTOZNWVBCHD-UHFFFAOYSA 3.30102999566398
ABQGCWNEYZRYSY-UHFFFAOYSA 3.52287874528034
ABQSJCCISLWTEW-UHFFFAOYSA 13.6771081482726
AEXAYHMFAIXNSU-UHFFFAOYSA 6.30102999566398
AGQWNWPWJSILEU-UHFFFAOYSA 4.55284196865778
AIARRPNZZRCXGD-UHFFFAOYSA 6.06048074738138
AJNZDFUREDKURT-UHFFFAOYSA 6.99567862621736
ALESBZWZJZPACS-UHFFFAOYSA 3.30102999566398
ALPQJMZVEPEYFC-UHFFFAOYSA 4.45593195564972
AMKNQROTNAOJQE-UHFFFAOYSA 7.14878473177724
ANRWHDLTBMMQJD-UHFFFAOYSA 3.30102999566398
ANWNECNSXDZRMH-UHFFFAOYSA 5.16749108729376
APRGRQRTOONPMH-UHFFFAOYSA 5.61978875828839
AQUXBIDNWAFZLO-UHFFFAOYSA 5.79588001734407
AQYYPSFZMCKSEL-UHFFFAOYSA 7.08092190762393
ARRAFPHWAWKGMF-UHFFFAOYSA 5.79860287567955
ARXCFPVKEORMCL-UHFFFAOYSA 7.52287874528034
ASYJZVHCOILIEE-UHFFFAOYSA 6.11918640771921
ATUPUCFKLIDOKP-UHFFFAOYSA 3.30102999566398
AZQJQRTZFPAGNV-UHFFFAOYSA 3.30102999566398
BCVANXGROSBZPI-UHFFFAOYSA 5.14874165128092
BDWWFKRQAASYHR-UHFFFAOYSA 3.30102999566398
BEJLKCJUYSCJOP-UHFFFAOYSA 4.53760200210104
BGVUHUGORDBBDW-UHFFFAOYSA 5.20760831050175
BLWHUHULXVDXMZ-UHFFFAOYSA 5.85387196432176
BMNCXCJXZKZJII-UHFFFAOYSA 6.36653154442041
BRDQVEHZQIWFSM-UHFFFAOYSA 6.30102999566398
BSMKGOSXJLCJOB-UHFFFAOYSA 5.49485002168009
BUROQXWUPWBHDF-UHFFFAOYSA 4.90623963958176
BUUXCZKMEAGSSK-UHFFFAOYSA 6.55284196865778
BWLBVHWCNZAPOW-UHFFFAOYSA 7.56863623584101
BWRWVDQRWYBUIX-UHFFFAOYSA 5.04575749056067
BXEDCNVFSZUBPI-UHFFFAOYSA 5.88605664769316
BZDPKBFJBBIMTD-UHFFFAOYSA 3.30102999566398
CADIAVLAXLUJAC-UHFFFAOYSA 5.95860731484177
CBIJGNHFFWAGLZ-UHFFFAOYSA 6.92081875395237
CEXRURTZESMLHM-UHFFFAOYSA 5.16749108729376
CGTDZZXDWFMLEF-UHFFFAOYSA 6.07572071393812
