CHIRONID	PIC50
ALEMXOWDMCVYMB-UHFFFAOYSA 6.40782324260413
AMXNSLRKKKRQCE-UHFFFAOYSA 8.39794000867204
AQYYPSFZMCKSEL-UHFFFAOYSA 7.52287874528034
ARIOBGGRZJITQX-UHFFFAOYSA 7.49485002168009
ARRAFPHWAWKGMF-UHFFFAOYSA 6.77469071827414
ARXCFPVKEORMCL-UHFFFAOYSA 7.61978875828839
BHQZGGSZRHDQFZ-UHFFFAOYSA 6.29242982390206
BIVCQZJNUCQVNS-UHFFFAOYSA 8.2518119729938
BQEIJKOXORSBIM-UHFFFAOYSA 6.57511836336893
BVXORFMGHHUQAM-WQLSENKSSA 58.2559749376174
BWLBVHWCNZAPOW-UHFFFAOYSA 7.88605664769316
BYQDPWAYLMNNKF-UHFFFAOYSA 6.46218090492673
CEOOKKDARWYWCG-UHFFFAOYSA 6.77469071827414
CFCRCCSSNULXBB-UHFFFAOYSA 5.99139982823808
CQKZPPUFUROCPO-UHFFFAOYSA 5.62342304294349
CUUDGRBWRUABBZ-UHFFFAOYSA 6.43179827593301
CWLYLDIPBOBIFQ-UHFFFAOYSA 6.60032627851896
CYVPXDNOIYCAAV-UHFFFAOYSA 8.74472749489669
CZXJNJMEDFWKLF-UHFFFAOYSA 4.65955588515988
DBHHGWWEFJEXFX-WJDWOHSUSA 6.88734535913707
DDSTUHINLNZIIZ-UHFFFAOYSA 8.52287874528034
DERTUZZNGDWMOY-UHFFFAOYSA 6.62708799702989
DIKCCHQBRVVDJR-YVLHZVERSA 7.30102999566398
DIKMXNTWZASZBL-UHFFFAOYSA 8.05060999335509
DJAHLZXHKVPSHL-UHFFFAOYSA 5.79588001734407
DJRZJBCIRHYLER-UHFFFAOYSA 7.2839966563652
DLHYZQMLROULHQ-UHFFFAOYSA 6.58502665202918
DNLUUFFUPPKOJE-UHFFFAOYSA 6.50723961097316
DNPFEENAAKLCMC-UHFFFAOYSA 5.431798275933
DOTKFWRQMGDIDY-UHFFFAOYSA 6.29499204066666
DQLCYLLVRLPWIK-UHFFFAOYSA 3.31875876262441
DTEFNUQVFFTDEE-UHFFFAOYSA 5.97881070093006
DXNBMSYVEGVRON-UHFFFAOYSA 7.74472749489669
FEMXGYPLUJMECJ-UHFFFAOYSA 8.95860731484177
FFQQVSHJKNRETB-UHFFFAOYSA 6.2580609222708
FIFWWQUQNGQSLH-ZROIWOOFSA 7.15490195998574
FINKDXASIMBDNU-UHFFFAOYSA 5.4497716469449
FJUNBZBUUOJZKU-UHFFFAOYSA 6.22694530663574
FLBUNNVMGVJOEF-UHFFFAOYSA 3.69897000433602
FPZFOTHNFGTZRK-UHFFFAOYSA 8.431798275933
FQYLJBVSYHZWLT-UHFFFAOYSA 7.88605664769316
FVARFCVQRUETKP-UHFFFAOYSA 7.30980391997149
FZMROVZIFREMDI-NVNXTCNLSA 6.30102999566398
GACBELOLIOXYRT-UHFFFAOYSA 5.61261017366127
GFMYTWVSAZEZRD-UHFFFAOYSA 6.76955107862173
GOYBJLBEWHUBLY-UQQQWYQISA 6.45610929109523
HDUYYHXMLYTCAI-UHFFFAOYSA 7.21467016498923
HGAQQKPBNGSIMU-ATVHPVEESA 7.30102999566398
HJSPWWLBAHRSAY-UHFFFAOYSA 8.95860731484177
HKSZLNNOFSGOKW-ZGQXJOJZSA 7.85387196432176
HMKZBWZSRGIVPM-UHFFFAOYSA 7.35654732351381
HMRCNHLZGISKIM-UHFFFAOYSA 5.81815641205523
HRTYWRWOZZLPDH-UHFFFAOYSA 8.22184874961636
HUQYQFBIFGUUQQ-UHFFFAOYSA 7.50863830616573
HWMHBHCITCJTIA-UHFFFAOYSA 5.86646109162978
HZJFSGCBXSPJTM-UHFFFAOYSA 7.79588001734407
IDNNHUIRPPFJBA-UHFFFAOYSA 7.20065945054642
