CHIRONID	PIC50
ADVDNJCNXOTAHZ-NRFANRHFSA 4.2518119729938
APALQVMWCDGRJB-UHFFFAOYSA 7.33724216831843
APPFRBZOALDJNI-UHFFFAOYSA 6.28735029837279
APYXQTXFRIDSGE-UHFFFAOYSA 8.2195297396072
ARIOBGGRZJITQX-UHFFFAOYSA 5.05060999335509
ARKNUCQRPYIUMU-UHFFFAOYSA 5.15490195998574
ATHMTZOFUCSRPV-UHFFFAOYSA 6.41793663708829
AXRADSPPGKCCQJ-UHFFFAOYSA 3.69897000433602
BDOCJJUGIOCUKN-UHFFFAOYSA 6.75202673363819
BGVKOUSMQGMSDY-INIZCTEOSA 5.22184874961636
BLBTWIJIFUJSHH-SFHVURJKSA 5.65364702554936
BMXGRFBSHSEZOP-UHFFFAOYSA 5.60205999132796
BRGYPSBHCUNPNP-UHFFFAOYSA 7.02227639471115
BXHUKLRILSLHBB-UTALAWHWSA 2.69897000433602
CEYDYRLZZIHJMR-UHFFFAOYSA 3.69897000433602
CGHFIVOIYGFTTN-UTALAWHWSA 2.69897000433602
CGHNSTTXFDTLPU-GOYNHSTOSA 2.69897000433602
CIAQJJGORODQOS-KRWDZBQOSA 5.46597389394386
CJKPVQGJWVMGTK-OPMASAOMSA 4.24108810760203
CPZVCCNTZJYXEE-FLCUPGOASA 5.92081875395237
CUPLTRAPYIXFAX-UHFFFAOYSA 3.30102999566398
DDEAQRJFTUILFK-UHFFFAOYSA 3.69897000433602
DGOKEYPRKPBMHX-UHFFFAOYSA 7.18045606445813
DJKBFCHOHWZUOH-UHFFFAOYSA 6.7594507517174
DOZYZCNUPNPALS-INIZCTEOSA 6.76955107862173
DQWIJVYKRYXVFE-UHFFFAOYSA 6.16749108729376
DQYBRTASHMYDJG-UHFFFAOYSA 5.92445303860747
DUHQBKLTAVUXFF-FERBBOLQSA 5.20760831050175
DUVQBXZJIAXQEK-UHFFFAOYSA 7.88605664769316
DUWWFMMKHMLCDL-UHFFFAOYSA 3.69897000433602
FHGAKABCWGURMG-UHFFFAOYSA 6.52287874528034
FIYFOWGFMQUCQZ-UHFFFAOYSA 7.09877679714631
FJXOTDBUNNAKPO-INIZCTEOSA 5.89279003035213
FOMJRIDWVMPYTN-UHFFFAOYSA 5.34103515733556
FOUKFCNJJQEPHK-UHFFFAOYSA 5.92445303860747
FVTCOCMWUORHEE-UHFFFAOYSA 3.69897000433602
FZUIMWOIRBMAOH-UHFFFAOYSA 5.83863199776502
GCNSUXMONRYRHL-UHFFFAOYSA 3.69897000433602
GGUSTVFLQLGLJX-UHFFFAOYSA 6.52143350440616
GPNZOTCLQNMQIC-UHFFFAOYSA 7.20760831050174
GRPUCYCKBBWGEO-UHFFFAOYSA 3.39794000867204
