CHIRONID	PIC50
AALKGMAUAAHNQK-HDJSIYSDSA 6.92081875395237
AAWZQALNAHGICT-VUBDRERZSA 5.14266750356873
AAYPLLWGPJQWCC-UHFFFAOYSA 8.15490195998574
ABDGGOBNHQMXIJ-UHFFFAOYSA 7.52287874528034
ABXYGMKNQJBBKL-UHFFFAOYSA 6.6903698325741
ACASJCMNZMOGPH-AWEZNQCLSA 6.54515513999149
ACHZKBZKXCFUBQ-AQTBWJFISA 3.53760200210104
ACISHMVGWWWZAU-UHFFFAOYSA 4.44369749923271
ACNJMIYZGUUYIE-UHFFFAOYSA 7.85387196432176
ACXFBDRQBQFLGH-UHFFFAOYSA 7.29242982390206
ACYJTSCCFDMXDK-UHFFFAOYSA 3.46980030179692
ADBUMAAMWCLEEI-UHFFFAOYSA 7.48148606012211
ADERJSHNQMYPEE-GHXNOFRVSA 7.39794000867204
ADGOSWMTFHSWDE-UHFFFAOYSA 7.60205999132796
ADNQLYCKDLXBLL-UHFFFAOYSA 8.30102999566398
ADQKGRUFGPUORP-UHFFFAOYSA 6.55595520408192
AEAUWMPSZUYYHD-UHFFFAOYSA 13.8849927951979
AEJYTVJKARFHBN-UHFFFAOYSA 4.30102999566398
AEKRDXUBYIUNBW-BKLZJWBFSA 8.30102999566398
AEKRDXUBYIUNBW-UVIKPUKZSA 8.52287874528034
AEMJGAHADFWBRW-UHFFFAOYSA 8.04575749056067
AEQVIUQQIMQNRU-VHEBQXMUSA 7.33724216831843
AETVKDYDELIZIP-UHFFFAOYSA 5.8953095238269
AEZMHSFAAKOLNC-UHFFFAOYSA 7.95860731484177
AFELDORIFDMULD-UHFFFAOYSA 5.88605664769316
AGIIDJZSMZSLJN-UHFFFAOYSA 7.88605664769316
AGRGOPGRMMWYAC-MEDUHNTESA 7.56863623584101
AGRGOPGRMMWYAC-ZBEGNZNMSA 7.56863623584101
AHERCVYSASKJDT-UHFFFAOYSA 7.69897000433602
AHIGNMOICQUWNV-UHFFFAOYSA 6.6252516539899
AHJRHEGDXFFMBM-UHFFFAOYSA 4.30102999566398
AHOJCBZGOQKUNN-LLVKDONJSA 5.49485002168009
AHOJCBZGOQKUNN-NSHDSACASA 4.50863830616573
AHOJCBZGOQKUNN-UHFFFAOYSA 5.16749108729376
AHTGWLFMAATFNJ-UHFFFAOYSA 8.67778070526608
AHUQZOZSCWOMOS-UHFFFAOYSA 8.22184874961636
AITZHKQVQNLKHI-UHFFFAOYSA 7.01772876696043
AIWJVLQNYNCDSL-UHFFFAOYSA 4.69897000433602
AJFMJEKRFWUUMF-UHFFFAOYSA 7.69897000433602
