CHIRONID	PIC50
AAFMUTYTWRBOGE-UHFFFAOYSA 32.3137027966124
ADDJZCFRZPJIHD-UHFFFAOYSA 5.63004239265395
AFBRTRAWQSXGHM-UHFFFAOYSA 5.6
AHKKJXWHKFUDGB-UHFFFAOYSA 5.39794000867204
AHWZJZOSPUCFPC-UHFFFAOYSA 5.69897000433602
AIFRHYZBTHREPW-UHFFFAOYSA 4.82390874094432
AKBFRMUPYJQUON-UHFFFAOYSA 5.96018944585165
AKFPEKVULJCIRV-UHFFFAOYSA 5.79588001734407
AKTVIHKKGSLCNW-UHFFFAOYSA 5.4
ALKHGXHSQIBUSM-UHFFFAOYSA 5.31515463835559
ALNKZWZEELZRCE-UHFFFAOYSA 6.96040937697619
APRXYRORERCWAV-JTQLQIEISA 6.63827216398241
APRXYRORERCWAV-UHFFFAOYSA 6.36653154442041
AQRJVDRPEZNKRQ-UHFFFAOYSA 7.36653154442041
AQTGJJPOCBCGFT-UHFFFAOYSA 4.87614835903291
AQXZEWPECUIPFQ-UHFFFAOYSA 5.91721462968355
ARGBFDDPBUYIBJ-UHFFFAOYSA 6.22184874961636
AZZYYFANKVNGLA-UHFFFAOYSA 5.87289520163519
BEGWCMAELGWWIV-UHFFFAOYSA 6.13608262304214
BGHHNYSARDRFMM-UHFFFAOYSA 5.41341269532824
BJCYOGUTAUOQAS-UHFFFAOYSA 3.69897000433602
BJSGFMRWYBPCAJ-UHFFFAOYSA 4.8
BMOPCAUVXKIAKQ-UHFFFAOYSA 5.1
BNNHUJVLSQMBPR-UHFFFAOYSA 5.46852108295774
BPLTVYXMXOYIBK-DHZHZOJOSA 4.30102999566398
BPMGVAZIHDNZRC-UHFFFAOYSA 6.85387196432176
BQWHIFFLANBUPP-UHFFFAOYSA 5.4
BWZJBXAPRCVCKQ-UHFFFAOYSA 6.92693598216088
BYMRVDVGQVMXFP-UHFFFAOYSA 6.07572071393812
BZXWGXXSVTXQQR-UHFFFAOYSA 4.84163750790475
CCWWRYWEYAHFOL-UHFFFAOYSA 8.15490195998574
CDNQNPSWFHDZDZ-UHFFFAOYSA 7.60205999132796
CDXQICBCQUQXMP-UHFFFAOYSA 5.18708664335714
CLRVYWUBJBJDOI-UHFFFAOYSA 7.35654732351381
CRPUDAVZTZIKMJ-QPJJXVBHSA 3.30102999566398
CTEHMRUJZDTSPT-UHFFFAOYSA 6.3767507096021
CTQXNVIFXROTCU-UHFFFAOYSA 5.21467016498923
CUFUQFXOHLGNNW-UHFFFAOYSA 5.11918640771921
CUYQLDJOBCKIJU-UHFFFAOYSA 7.09691001300806
CWCVWNBVEOYUAU-UHFFFAOYSA 6.76955107862173
CWTAXHMFNPDIGT-UHFFFAOYSA 5.41998788747058
CZHNJXJHEJSIBX-UHFFFAOYSA 5.04575749056067
CZZJHJXVGWDXFO-UHFFFAOYSA 3.69897000433602
DCEAJJZHQFOWRL-UHFFFAOYSA 6.5
DDEHKSKCGIBOPH-UHFFFAOYSA 5.2
DDOFIMMBCNWUIK-UHFFFAOYSA 5.89962945488244
DHKMNEGHKGCLOW-UHFFFAOYSA 5.49485002168009
DKWGAYFHMCUJEN-UHFFFAOYSA 7.3
DNUXGDOJLQYUTO-UHFFFAOYSA 6.22184874961636
DOFSHRCUJLPYEE-UHFFFAOYSA 5.70114692359029
DPUNFIBGNOBPIM-UHFFFAOYSA 3.52287874528034
DRXDUHAQLNLLGY-UHFFFAOYSA 3.69897000433602
DTIBSUIWQIHXOH-UHFFFAOYSA 5.95860731484177
DYRYDYQWWQHRQE-UHFFFAOYSA 3.52287874528034
DYVFBWXIOCLHPP-UHFFFAOYSA 6.60205999132796
FABOSUOOKGJVIC-UHFFFAOYSA 5.88605664769316
FACNLZWWUQUMDA-UHFFFAOYSA 4.7
FDWQSLRDIBRKEI-UHFFFAOYSA 4.55284196865778
FJPFKKDTDZRSIR-UHFFFAOYSA 6.4
FKJNWJPAAVSRNX-UHFFFAOYSA 5.5
FLGGTJDUMUNBCT-UHFFFAOYSA 5.96657624451305
FMHUTFHLSOWTSV-UHFFFAOYSA 6.69897000433602
FPCOVWJHQJRSNW-UHFFFAOYSA 4.9
FSGFCPRTQRCDIX-UHFFFAOYSA 5.09151498112135
FTSQTLCAVRPYJK-UHFFFAOYSA 4.95078197732982
FUTLJNOGKQFKCL-UHFFFAOYSA 5.36754388770362
FXFIQQYBRIHTQJ-UHFFFAOYSA 4.8
FYYSYFOJZPFEJJ-UHFFFAOYSA 3.69897000433602
GARGJFCAYIKMFS-UHFFFAOYSA 8.09691001300806
GDQMOMYSFQEYNH-UHFFFAOYSA 5.09745322068601
GEAPVWOLRPIXJU-UHFFFAOYSA 6.07007043991541
GICYSARMNVCHON-UHFFFAOYSA 5.6
GPXKVULNYYNGDP-UHFFFAOYSA 3.30102999566398
GXXUHIWUMKDBFY-UHFFFAOYSA 4.8
GYZGBEHUFHFNKK-UHFFFAOYSA 5.56992494444806
GZFMMFGWWBYZDS-UHFFFAOYSA 5.24539873883445
GZGLPBNOIFLLRE-UHFFFAOYSA 5.88605664769316
HDACOAKBOPERNS-UHFFFAOYSA 6.22184874961636
HDEISUCZANRSRN-UHFFFAOYSA 5.3767507096021
HERFSFFCWPWNME-UHFFFAOYSA 5.33724216831843
HKSZLNNOFSGOKW-FYTWVXJKSA 7.4089353929735
HKSZLNNOFSGOKW-ZGQXJOJZSA 6.63264407897398
HLIYWFVKEYJMNH-UHFFFAOYSA 7.92081875395237
HNQXYQNMPSACKT-UHFFFAOYSA 6.6
