CHIRONID	PIC50
AEIANINERTXEPM-UHFFFAOYSA 8.14874165128092
AFMOWMCQHKYJGZ-UHFFFAOYSA 7.09691001300806
AHBSXTVFKVCNCE-UHFFFAOYSA 8.15490195998574
AJNJSFFOYCPZNE-UHFFFAOYSA 7.09691001300806
AODUHZPEXFCKHF-UHFFFAOYSA 3.90308998699194
ASYDVLCYGJHGKC-UHFFFAOYSA 5.67778070526608
ATFIPDDKYWSEQD-UHFFFAOYSA 13.496917835424
AWFIHKUWCIHUJW-UHFFFAOYSA 6.22184874961636
AZNVGEUTVWCXBA-UHFFFAOYSA 7.92081875395237
BARYYLFEOIUPEY-UHFFFAOYSA 6.25963731050576
BEDUDWXZVLGZTN-IBGZPJMESA 7.92081875395237
BEEHSUPOPGWGQH-UHFFFAOYSA 6.85971081481596
BEGKILNSQXLQLG-UHFFFAOYSA 7.44369749923271
BGLPZSPBYFJHQQ-UHFFFAOYSA 7.04575749056067
BGOWMSRXCRUANU-UHFFFAOYSA 7.04575749056067
BIICXZWYHQOUEQ-UHFFFAOYSA 7.09691001300806
BIQWNNXDPVEAPZ-UHFFFAOYSA 5.95860731484177
BJHCYTJNPVGSBZ-QPSGOUHRSA 6.20620961530918
BJNCGWGKNWXUIL-UHFFFAOYSA 3.90308998699194
BKGAAMAFOWYKJB-UHFFFAOYSA 6.32790214206428
BKNWSMJMCLWYIC-ZDUSSCGKSA 4.30102999566398
BLAFVGLBBOPRLP-UHFFFAOYSA 6.42021640338319
BMGQWWVMWDBQGC-IIFHNQTCSA 6.84771165561694
BMHFQIHPHJDVOI-UHFFFAOYSA 7.20065945054642
BOPSUAHGQHFKGG-UHFFFAOYSA 3.69897000433602
BVKGVWBTOJLQKV-UHFFFAOYSA 7.82390874094432
BWFZLXWRZDSPHK-UHFFFAOYSA 7.03151705144606
CBUPZNJHZPSIBR-UHFFFAOYSA 6.72983288407783
CGCUYGIDAMWFOE-UHFFFAOYSA 7.63827216398241
CIZZUEUKGNBQPP-UHFFFAOYSA 6.74472749489669
CJOKUBRCAVWYRX-UHFFFAOYSA 8.60205999132796
CJXUHPRULWSPBE-UHFFFAOYSA 8.30102999566398
CNLJKLODZVXKSB-UHFFFAOYSA 8.30102999566398
CTNXOEMFMZRUHH-ZDUSSCGKSA 4.30102999566398
CUIHSIWYWATEQL-UHFFFAOYSA 6.83564714421556
CUTRRQNUXLUQCJ-UHFFFAOYSA 5.36653154442041
DAGZJURMWNMYCV-UHFFFAOYSA 7.24539873883445
DAOXXVMQYTUSKV-UHFFFAOYSA 6.44369749923271
DEQVGBYJEVEQAE-UHFFFAOYSA 8.52287874528034
DJOUYDQKNHDDPU-UHFFFAOYSA 7.79588001734407
DMTJDVSGJMJVRQ-UHFFFAOYSA 5.15490195998574
DNKHIQYGFZLWBO-UHFFFAOYSA 7.09691001300806
DOXJXXFTEWRETQ-UHFFFAOYSA 4.85387196432176
DPUGIFATYUPFRA-UHFFFAOYSA 5.48148606012211
DQFMRMLWLAESEZ-UHFFFAOYSA 7.05060999335509
DRLAQNVAPJIJNS-UHFFFAOYSA 7.88605664769316
DUKXMVRXTBCVNH-FQEVSTJZSA 7.24412514432751
DYVPNYHYZSMFSR-UHFFFAOYSA 4.30102999566398
DZBLHPFYHMMAOC-UHFFFAOYSA 6.64283512012739
DZGGGZSDTNTLQN-UHFFFAOYSA 8.65757731917779
DZQLVVLATXPWBK-UHFFFAOYSA 6.52287874528034
DZSUJUOJJJCWGG-UHFFFAOYSA 8.52287874528034
FAGARJGZRYAALA-UHFFFAOYSA 7.95860731484177
FBDWMDWIWNPBBU-UHFFFAOYSA 6.88605664769316
FEGRQUWSKADGSP-UHFFFAOYSA 7.14874165128092
FEJHAAZUNGXWER-UHFFFAOYSA 7.20065945054642
FFNIWOOLZGAOAB-UHFFFAOYSA 5.80134291304558
FHYBSQKDICXOBL-UHFFFAOYSA 8.63827216398241
FITSFJVQDQVDRK-UHFFFAOYSA 8.52287874528034
FMFYUFUEHMPOMP-UHFFFAOYSA 8.09691001300806
FOCCIZUKXRUVPC-UHFFFAOYSA 6.88941028970075
FPYMICFLRIEXEX-UHFFFAOYSA 6.30102999566398
FQGXFVDABCBEFW-UHFFFAOYSA 7.55276285498756
FSOILYVUZFVLPB-UHFFFAOYSA 8.52287874528034
FUKCDGACXJGKBQ-UHFFFAOYSA 7.60205999132796
FVYYZAZCLYZXQC-UHFFFAOYSA 6.05060999335509
FWDFANUPSHXNBN-UHFFFAOYSA 7.79588001734407
FWFLUBJUGGENKO-UHFFFAOYSA 6.53174312876055
FXFXHNQBLWHYDI-UHFFFAOYSA 8.09691001300806
FYCODPVDEFFWSR-UHFFFAOYSA 7.82390874094432
FYNJLBSSIPLISK-UHFFFAOYSA 6.84466396253494
GAKBUDJFUFUSED-UHFFFAOYSA 6.03889686128049
GEGCXGMFUYJULA-UHFFFAOYSA 8.69897000433602
GGHFAZMFVKUZNN-UHFFFAOYSA 6.10380415525088
GGXQPHJRIPPTEA-UHFFFAOYSA 6.25963731050576
GHVPCKNUMUESLV-UHFFFAOYSA 6.66909365723137
