CHIRONID	PIC50
AALKGMAUAAHNQK-HDJSIYSDSA 11.5016894462104
ACSGZNUYXACVNS-UHFFFAOYSA 8.30102999566398
ADBXTCIYDGSICL-UHFFFAOYSA 7.11350927482752
ADPBZCHDEKXPRS-LBPRGKRZSA 8.04575749056067
AFGBSTYFMJSMGD-UHFFFAOYSA 3.52287874528034
AFGWYIYTIRSJOR-PXNMLYILSA 7.60205999132796
AFVJIBSHCBMAMQ-MOSHPQCFSA 7.1249387366083
AGRVZUBNGZHHLY-UHFFFAOYSA 8.10237290870956
AIDWTYRIDDCANO-UHFFFAOYSA 8.58502665202918
AIHJJLFGNAPAEA-UHFFFAOYSA 7.85387196432176
AISSWLUWNHBMFH-UHFFFAOYSA 8.52287874528034
AIXMMGHSAMRCGO-UHFFFAOYSA 4.67778070526608
AJHKGIAMVILSQC-UHFFFAOYSA 6.06550154875643
AJQRFVJEFXGCBQ-UHFFFAOYSA 6.95860731484177
AJUWESXNTKCWFF-UHFFFAOYSA 6.21467016498923
AKRLJMPQUMPSSS-UHFFFAOYSA 8.52287874528034
ALYHLAXKNSBSMS-DJWKRKHSSA 8.30102999566398
AMYBJHMUONETNW-UHFFFAOYSA 7.60205999132796
ANABXUFRJYCHOD-IHWYPQMZSA 7.43179827593301
ANORBUDZBBHHEW-WJDWOHSUSA 7.68193666503724
AOBLVMINLZGCRN-UHFFFAOYSA 5.86327943284359
AOFGPISKZVWVKQ-UPHRSURJSA 8.69897000433602
AOGOZJCRIFBTTN-UHFFFAOYSA 7.74472749489669
AOMMPEGZDRAGRC-UHFFFAOYSA 7.07058107428571
AQGCORFHRDPTIS-UHFFFAOYSA 7.45593195564972
AQRYULCAPDCBPG-UHFFFAOYSA 4.44369749923271
ARBSTLGRZNKZRL-UHFFFAOYSA 6.60205999132796
ARBUGBBNEFAECO-UHFFFAOYSA 4.81247927916354
ARFVIJRLJQKBFU-UHFFFAOYSA 6.57024771999759
AROUWIMOXIPEQX-UHFFFAOYSA 5.42021640338319
ARTNHUYDHSURKN-AWEZNQCLSA 7.79588001734407
ATBAETXFFCOZOY-DAXSKMNVSA 5.71560589384232
ATWQVWMVBKTFSI-UHFFFAOYSA 6.92081875395237
ATYDGQKREQXCLO-UHFFFAOYSA 5.52287874528034
AUBFUJKOXVNDOA-MEDUHNTESA 6.63827216398241
AUWRKDZJPSNLGC-UHFFFAOYSA 8.95860731484177
AWESKFLBKWCWAT-UPHRSURJSA 8.69897000433602
AWSAGSBNESXGHZ-AWEZNQCLSA 7.22184874961636
AWUXFIAHZKNRJF-UHFFFAOYSA 5.2839966563652
AXKZEVVSSSVTOD-UHFFFAOYSA 7.92081875395237
AXNSXRSJHQNIGS-UHFFFAOYSA 7.01772876696043
AYCCISQYVVNGRP-UHFFFAOYSA 6.48148606012211
AYPPNIJDOCBYTF-UHFFFAOYSA 6.4497716469449
AYQQJJCXYWRTDC-UHFFFAOYSA 6.56863623584101
AYSXURJZVXBSRV-WJDWOHSUSA 8.15490195998574
AYTPWIWTAIZNIQ-UHFFFAOYSA 8.31875876262441
AYVAHPLCRORVEN-UHFFFAOYSA 7.39794000867204
AZTMYWWWILJAKW-UHFFFAOYSA 8.39794000867204
BAGPVKSOPBQXMW-UHFFFAOYSA 4.82390874094432
BARSDGIGYLFJFE-UHFFFAOYSA 7.95860731484177
BAVMROPUIMWJCX-AWEZNQCLSA 7.17392519729917
BBCFNGPWAWWJOK-UHFFFAOYSA 8.04575749056067
BBMOKTSVCCSMSO-UHFFFAOYSA 6.92081875395237
BBSWOAJSCKRJDJ-UHFFFAOYSA 4.69466991845506
BCPILSQMLBGEMM-UHFFFAOYSA 6.55284196865778
BCRCHZYRKRPLSJ-HNNXBMFYSA 8.69897000433602
BCVLVGSGZQVOKG-UHFFFAOYSA 6.42712839779952
BDYKPQNWMJIKON-UHFFFAOYSA 5.61978875828839
BEDVLUBCZFHNBK-ZMWSMAPVSA 8.52287874528034
BEJUHBMWHUKJJF-GFCCVEGCSA 6.02826040911222
BERKODPQGRAHDD-UHFFFAOYSA 8.35654732351381
BEULIRJWHNJIPI-UHFFFAOYSA 7.38721614328026
BFECSLWLENZVIT-UHFFFAOYSA 8.69897000433602
BFNCPOVPMNPESI-LBPRGKRZSA 8.52287874528034
BFQHFSRDZYWKHR-UHFFFAOYSA 8.69897000433602
BGNLCSQBZBYZEH-UHFFFAOYSA 7.63827216398241
BGRFZHJEBBSHEM-UHFFFAOYSA 8.82390874094432
BGUOULYMBRTBAW-UHFFFAOYSA 6.11350927482752
BHSCBQOHULFWOT-UHFFFAOYSA 4.2839966563652
BIOUQQNSXHTKMG-UHFFFAOYSA 8.22184874961636
BIYWOJRLBPIJAN-UHFFFAOYSA 8.95860731484177
BJJMRIXZKWADIS-UHFFFAOYSA 8.74472749489669
BJUBFXSKTBULRW-UHFFFAOYSA 6.4089353929735
BJXMDQXCIGDQNU-UHFFFAOYSA 8.69897000433602
BKQWQBLPYIQUFB-UHFFFAOYSA 6.23657200643706
BKWAREZTJCELHZ-JLPGSUDCSA 7.10292299679058
BLBNYYIZOZIMBG-UHFFFAOYSA 5.09691001300806
BLIVKENFXUSCOS-UHFFFAOYSA 5.43074316667139
BMQNDDJVDSXULC-UHFFFAOYSA 6.52287874528034
BNGJSLHOYAZWHT-UHFFFAOYSA 3.68193666503724
BNQBDBVYIMKEKS-UHFFFAOYSA 6.1249387366083
BOGAXYYWCGPYOD-UHFFFAOYSA 6.67985371388894
BOURELVCLKFSSO-UHFFFAOYSA 8.11350927482752
BOVCEHCRQKNWHU-NSHDSACASA 8.39794000867204
BPTHRKUALRLORQ-UHFFFAOYSA 6.2518119729938
BQPLWJRDSDNGNE-UHFFFAOYSA 8.22184874961636
