CHIRONID	PIC50
AAALVYBICLMAMA-UHFFFAOYSA 17.2183882175068
AAHKGRWRYBCWDL-UHFFFAOYSA 5.85387196432176
AAKJLRGGTJKAMG-UHFFFAOYSA 7.57873047719205
AALMZTNNZVHOAS-UHFFFAOYSA 4.73992861201492
AALNCHNFTKRFEL-UHFFFAOYSA 3.52287874528034
AATOPLAJLQECRD-UHFFFAOYSA 5.57348873863542
AAXJTXUUVCETME-UHFFFAOYSA 6.46852108295774
ABDIOQXDBJMGHB-QPJJXVBHSA 6.94951449446579
ABEGFBRZNZWQBS-UHFFFAOYSA 8.09691001300806
ABMZJWIUBWZAMZ-UHFFFAOYSA 2.69897000433602
ABNDCQPCLDVQIJ-UHFFFAOYSA 2.69897000433602
ABOUXXMKTJTICI-UHFFFAOYSA 4.24795155218056
ADGFMMGNBWOIFL-UHFFFAOYSA 5.12436006299583
ADTHOQASRLCLRF-UHFFFAOYSA 4.15864052954514
AEPFNBDPODWKEH-UHFFFAOYSA 8.30980391997149
AERGSELXAOHCKG-UHFFFAOYSA 7.04095860767891
AEWJTGHUFCBOAK-UHFFFAOYSA 7.69897000433602
AEZUIGRHDSRYGK-ONNFQVAWSA 4.92166486172293
AFISYERGFLOUQT-FMIVXFBMSA 6.20760831050175
AFVGAHBUCVDPPI-UHFFFAOYSA 5.91195437047216
AFVIMMLJKNYLCQ-UHFFFAOYSA 4.68193666503724
AFVLVVWMAFSXCK-VMPITWQZSA 3.74074303006106
AFYKJRQINKZASH-UHFFFAOYSA 6.48017200622428
AGEIBLLCZVGHLI-UHFFFAOYSA 4.74472749489669
AGRZDXRWPOUZPR-UHFFFAOYSA 4.03763066432998
AGTPOONMTANNPL-VOTSOKGWSA 6.66756154008439
AHAJMDDSMVHMGD-UHFFFAOYSA 5.18708664335714
AHECKEJZVOJBKG-UHFFFAOYSA 8.74472749489669
AHFDWKXLJCGQHE-UHFFFAOYSA 6.04095860767891
AHLNGYPZYMUEFB-UHFFFAOYSA 6.24412514432751
AHRFAYIIMKQRQN-UHFFFAOYSA 8.60578571061922
AIGYSQMRSKIHTM-UHFFFAOYSA 8.8
ALDCNHLMTCRENB-WUXMJOGZSA 5.17970071908115
ALUHXQXQTNRXQL-KPKJPENVSA 6.0044756298765
AMERZUAKIAGPBA-UHFFFAOYSA 5.22548303427145
AMIDDZHJRZVVOK-UHFFFAOYSA 7.60205999132796
AMJJLDJPDLKNJA-UHFFFAOYSA 3.65051499783199
AMKNQROTNAOJQE-UHFFFAOYSA 6.65757731917779
AMKUXKLKCBIHIX-UHFFFAOYSA 4.20537255533549
AMPJVHBLKDNTBD-UHFFFAOYSA 5.97061622231479
ANAQVLGHFOBDLP-UHFFFAOYSA 8.26760624017703
ANCMUMYWPOMTIR-UHFFFAOYSA 2.60205999132796
ANCUEEOEKXHAFS-UHFFFAOYSA 3.22184874961636
ANGBZYNNANAOBU-UHFFFAOYSA 8.04575749056067
ANUHLKPVOXDYSK-UHFFFAOYSA 6.63827216398241
ANVYMDPUMZNGLO-UHFFFAOYSA 7.85387196432176
AODCQEOEMRWMAS-UHFFFAOYSA 4.3777859770337
AOLUUEDZXBVWED-UHFFFAOYSA 3.69897000433602
AORDWUVOZGCMIZ-UHFFFAOYSA 3.69897000433602
AOUMXCXOJGAKLX-UHFFFAOYSA 5.29242982390206
APBCLSCKMPCKMF-UHFFFAOYSA 6.2518119729938
APCFVCIEZAMJBU-FQEVSTJZSA 6.72124639904717
APHSPKWGAGCFBE-LUOAPIJWSA 8.30102999566398
APXDAYLGZSXVDB-UHFFFAOYSA 7.39794000867204
APZJVORBGFQNIQ-UHFFFAOYSA 8.76955107862173
AQFXVMZZFFFSCG-UHFFFAOYSA 3.30102999566398
AQOVRLPHUSWQJQ-UHFFFAOYSA 5.06854212931099
AQTGJJPOCBCGFT-UHFFFAOYSA 4.15490195998574
AQXIMVWUURMKKC-UHFFFAOYSA 5.23679669962923
ARGNVJPDKVQMDV-UHFFFAOYSA 7.2518119729938
ASAVPQOOHXZTPY-UHFFFAOYSA 4.75696195131371
ASEKFENKLHTYMI-UHFFFAOYSA 8.09691001300806
ASHKAXPHUUQQTC-UHFFFAOYSA 5.2518119729938
ASHLBSIWNNFRBC-UHFFFAOYSA 6.62342304294349
ASLAQNLSYGJKNM-UHFFFAOYSA 7.0268721464003
ASOPRZPYNIPJKT-UHFFFAOYSA 5.11294562194904
ASRPLHQXFWEEDQ-UHFFFAOYSA 7.52287874528034
ATDJLDZCOSGBPH-UHFFFAOYSA 4.5654310959658
ATEFPOUAMCWAQS-UHFFFAOYSA 5.11520463605102
ATEQNOXHLBHSBB-UHFFFAOYSA 8.39794000867204
ATKPRIDFHGQMAQ-UHFFFAOYSA 5.49757288001557
ATRMGRIXDIZXRO-UHFFFAOYSA 6.46852108295774
ATRMIGVAAPIRJO-UHFFFAOYSA 4.87942606879415
ATSKCEZXZQLMAV-UHFFFAOYSA 4.42021640338319
ATUGWBRHDFGSKE-UHFFFAOYSA 5.23433144524099
AUDDREUYBAHNSP-UHFFFAOYSA 8.60520964391779
AULCRCVNIWNUTH-UHFFFAOYSA 6.01592296609717
AURYYBJWNGTKQC-UHFFFAOYSA 4.69897000433602
AUUDLJVRYOAHGV-UHFFFAOYSA 4.59397105503638
AVBDTONYELTCBP-UHFFFAOYSA 8.69897000433602
AVGCROUIHRPABV-UHFFFAOYSA 5.71896663275227
AVGVNDBIYKJMCJ-UHFFFAOYSA 3.30102999566398
AVKRWJGYHFZIQI-UHFFFAOYSA 5.1681302257195
AVQNSHZBOYOSQZ-UHFFFAOYSA 6.52287874528034
AWAYNEMCHILZCF-UHFFFAOYSA 6.69897000433602
AWFCPTZKALKFEK-UHFFFAOYSA 6.65757731917779
