CHIRONID	PIC50
AAXNCGQOXAXDOW-UHFFFAOYSA 15.1888898790321
ADQPTFQIHHBGTE-UHFFFAOYSA 5.10513034325475
AFRJKSIXQFNFGF-UHFFFAOYSA 5.65757731917779
AGEIBLLCZVGHLI-UHFFFAOYSA 4.49485002168009
AMERZUAKIAGPBA-UHFFFAOYSA 5.35163998901907
ASFVGEBKDWWVGT-UHFFFAOYSA 3.69897000433602
AULCRCVNIWNUTH-UHFFFAOYSA 6.17069622716897
AVAKJOKXFVECHP-UHFFFAOYSA 7.68225812659254
AWZFCQRICMFIES-AATRIKPKSA 5.76955107862173
AXNPQTPNOPBAQE-UHFFFAOYSA 6.94075190004411
AXQKJTHCYRYSLF-UHFFFAOYSA 5.95860731484177
AZHCLYPIUAUSQD-UHFFFAOYSA 4.91364016932525
BDNDOZRIKYDPKJ-UHFFFAOYSA 6.67571754470231
BGDBURMJOLMENX-UHFFFAOYSA 7.10032972527321
BHOPYKPPGCTCPD-UHFFFAOYSA 7.13351059300842
BLNZQHQYULGYHK-UHFFFAOYSA 6.67162039656126
BPBBEBGGGQEHFN-UHFFFAOYSA 5.80966830182971
BPIJWWAOPXZGJB-UHFFFAOYSA 7.73426054147887
BTIKYUUNPGWLNG-UHFFFAOYSA 6.60380065290426
BTUJCHUIIMIJSY-UHFFFAOYSA 6.20065945054642
BUHNODQEWUMKMH-UHFFFAOYSA 8.1593793813122
BWEXAEUDNJQREI-UHFFFAOYSA 6.25336580106242
BZYKWEQWEPHEQZ-UHFFFAOYSA 5.86327943284359
CDJSZJDGHKEHCW-UHFFFAOYSA 4.76955107862173
CFRIHIVPVMJLCD-UHFFFAOYSA 5.24412514432751
CHPHDLQQSCKHOK-UHFFFAOYSA 5.99139982823808
CIRFQCDQKJVIFC-UHFFFAOYSA 4.83268266525182
CJFWNLXLAAHQJY-UHFFFAOYSA 5.45593195564972
CJMMCIXRPVLDBH-UHFFFAOYSA 6.77989191195994
CJTMOSFXPIKVIP-UHFFFAOYSA 6.02345857804396
CJXUHPRULWSPBE-UHFFFAOYSA 6.17263072694617
CMUZPNXYCOKJJJ-UHFFFAOYSA 4.82390874094432
CNOHNKNCBNUFBT-UHFFFAOYSA 7.7508447231052
CNWAVQYSQHXMCH-UHFFFAOYSA 5.14874165128092
COAQRADEUYYCDG-SECBINFHSA 6.28483264215154
COAQRADEUYYCDG-VIFPVBQESA 6.59176003468815
CSNZQZRMTZORRS-UHFFFAOYSA 5.87614835903291
CTBAIXMGKDLRMD-UHFFFAOYSA 7.10790539730952
CVECIYWHVUKPBR-UHFFFAOYSA 3.69897000433602
CXRYSQNWQCVBQV-UHFFFAOYSA 6.09151498112135
CXUVPVMNMZKERT-UHFFFAOYSA 6.41005039867429
CZFZHIWOGMRFJN-UHFFFAOYSA 5.64266750356873
CZGMEOAMQWAJOY-UHFFFAOYSA 5.12691322171606
DBZCDBKTCUKQPQ-UHFFFAOYSA 5.56863623584101
DDMVVUOZEZSZKY-UHFFFAOYSA 6.24033215531037
DHYADLCEAXMYPS-UHFFFAOYSA 5.30102999566398
DINPOPQNCDTVPQ-UHFFFAOYSA 5.13786862068696
DLGLTPBGHQDZCX-UHFFFAOYSA 8.11092437480818
DNEDXZCYNMEXKI-UHFFFAOYSA 7.63663639548671
DSECPOHHURXXAV-UHFFFAOYSA 7.11350927482752
DTUMIKLOEHJGJT-UHFFFAOYSA 4.67778070526608
DUPSNQFPAJUAKA-UHFFFAOYSA 5.52578373592374
DUQGHTXMYYQABR-UHFFFAOYSA 4.76955107862173
DWDRUDUATUOJND-UHFFFAOYSA 7.18045606445813
DYEJYFAQYRMVFS-UHFFFAOYSA 5.56863623584101
DZICJKNDYKNBTO-UHFFFAOYSA 3.60205999132796
FASPJDRKOSUHHS-UHFFFAOYSA 6.05998184499234
FAWGCSGOLCHXBH-UHFFFAOYSA 6.5003129173816
FCCZSKATTXDLOB-UHFFFAOYSA 7.85387196432176
FCRHJSNRFAAYQD-UHFFFAOYSA 4.97881070093006
FFNIWOOLZGAOAB-UHFFFAOYSA 4.09691001300806
FFSDAFXAJFTFNV-UHFFFAOYSA 5.14874165128092
FHNLPTRXVQOXQO-VIFPVBQESA 6.30803489723264
FIWCLCRWDUELGO-UHFFFAOYSA 6.40577482190671
FMDRTNXPTYKXSY-UHFFFAOYSA 7.95860731484177
FOMAIMPXVLHOCI-UHFFFAOYSA 6.36653154442041
FOYPIBQICZCRBP-UHFFFAOYSA 5.86966623150499
FPAJVRNSPYYJKR-UHFFFAOYSA 5.59516628338006
FPWVLPXKDRCLHD-UHFFFAOYSA 6.1605219526258
FRHDZWLQTMKUPC-UHFFFAOYSA 6.21467016498923
FRKWMLCUONAHJH-UHFFFAOYSA 6.58838029403677
