CHIRONID	PIC50
AAPGLCCSVSGLFH-UHFFFAOYSA 4.60205999132796
AFCVEHHRQVGWID-UHFFFAOYSA 3.30102999566398
AKSNBQWMYMAEMU-UHFFFAOYSA 5.88605664769316
ALHGQWSWTWVNNB-UHFFFAOYSA 3.30102999566398
APMQKHHNTLVDQD-UHFFFAOYSA 6.29413628771608
AQGSJPJSRCAJNS-UHFFFAOYSA 14.6782736617569
ATBAETXFFCOZOY-DAXSKMNVSA 8.13380312008852
ATBAETXFFCOZOY-QPJJXVBHSA 8.22184874961636
AWZFCQRICMFIES-AATRIKPKSA 5.95860731484177
AYKGPCNWPACUQV-UHFFFAOYSA 3.30102999566398
BGGSTZPBQKGLOJ-UHFFFAOYSA 3.30102999566398
BHQZGGSZRHDQFZ-UHFFFAOYSA 5.02227639471115
BIIVYFLTOXDAOV-YVEFUNNKSA 4.72124639904717
BITKQUYZUVMDIL-UHFFFAOYSA 3.30102999566398
BPGIPYJOESFNQI-UHFFFAOYSA 6.08407278830288
BPLTVYXMXOYIBK-DHZHZOJOSA 3.52287874528034
BTIHMVBBUGXLCJ-OAHLLOKOSA 4.85387196432176
BUCXDWXDBZUFMV-UHFFFAOYSA 3.30102999566398
BXNJHAXVSOCGBA-UHFFFAOYSA 2.60205999132796
CCEORUFGHAKXQE-UHFFFAOYSA 4.61978875828839
CQWBHMMWZICZRH-UHFFFAOYSA 6.67366413907125
CRPUDAVZTZIKMJ-QPJJXVBHSA 3.30102999566398
CUTRCHHQYWQMFT-UHFFFAOYSA 3.30102999566398
CXOCENPNQSXLGZ-UHFFFAOYSA 3.30102999566398
DCEHWOIKAQDZGV-UHFFFAOYSA 2.60205999132796
DIASEXMEBNQQHZ-UHFFFAOYSA 6.6458915608526
DXTYYUXUIQZDHR-UHFFFAOYSA 3.30102999566398
FFPJBQIHDBPVHZ-UHFFFAOYSA 3.30102999566398
FIFCMZNMAHBCDZ-UHFFFAOYSA 5.36653154442041
FSNPUUVTSHPJGU-UHFFFAOYSA 2.60205999132796
FTEBJMPQIWYFGP-UHFFFAOYSA 3.30102999566398
FYLPTYIHZDCUCK-UHFFFAOYSA 4.77211329538633
GBKQNVNYZATRQE-UHFFFAOYSA 3.30102999566398
GCTRVFZGBTUDPW-UHFFFAOYSA 4.30102999566398
GFQQPQUENQSFFY-UHFFFAOYSA 5.08092190762393
