CHIRONID	PIC50
AAIWEHICLXWDIS-UHFFFAOYSA 18.9009121863368
AAPMNKHOEMXGDK-UHFFFAOYSA 4.56863623584101
ABAWTOZNWVBCHD-UHFFFAOYSA 4.48148606012211
ABQSJCCISLWTEW-UHFFFAOYSA 7.96040937697618
AEXAYHMFAIXNSU-UHFFFAOYSA 7.74472749489669
AFZKXALTXCNQAZ-UHFFFAOYSA 6.34582345812204
AGQWNWPWJSILEU-UHFFFAOYSA 3.30102999566398
AIARRPNZZRCXGD-UHFFFAOYSA 4.30102999566398
AJNZDFUREDKURT-UHFFFAOYSA 7.30980391997149
ALESBZWZJZPACS-UHFFFAOYSA 3.30102999566398
AMKNQROTNAOJQE-UHFFFAOYSA 7.21467016498923
ANRWHDLTBMMQJD-UHFFFAOYSA 7.53760200210104
ANWNECNSXDZRMH-UHFFFAOYSA 4.30102999566398
AODUHZPEXFCKHF-UHFFFAOYSA 3.90308998699194
APRGRQRTOONPMH-UHFFFAOYSA 7.1249387366083
APYYTEJNOZQZNA-MOSHPQCFSA 5.64016451766011
AQFXVMZZFFFSCG-UHFFFAOYSA 4.46401004712307
AQYYPSFZMCKSEL-UHFFFAOYSA 8.09691001300806
ARRAFPHWAWKGMF-UHFFFAOYSA 6.23957751657679
ASYJZVHCOILIEE-UHFFFAOYSA 7.45593195564972
ATQDMZRXTGWPPT-UHFFFAOYSA 6.4089353929735
ATUPUCFKLIDOKP-UHFFFAOYSA 3.30102999566398
AVLSWPTUAHZFKY-UHFFFAOYSA 5.39794000867204
AVQJNCBAUVLRRN-ZSOIEALJSA 6.55284196865778
AVQNSHZBOYOSQZ-UHFFFAOYSA 5.30102999566398
AZETYZWGGZUSLG-UHFFFAOYSA 5.95860731484177
AZQJQRTZFPAGNV-UHFFFAOYSA 3.30102999566398
BARYYLFEOIUPEY-UHFFFAOYSA 5.01322826573375
BAWMPMUMXKTITQ-UHFFFAOYSA 7.09691001300806
BCEALSZPAPLOJG-ZHZULCJRSA 3.69897000433602
BCVANXGROSBZPI-UHFFFAOYSA 3.30102999566398
BDWWFKRQAASYHR-UHFFFAOYSA 3.30102999566398
BEJLKCJUYSCJOP-UHFFFAOYSA 3.30102999566398
BGDBURMJOLMENX-UHFFFAOYSA 5.80966830182971
BGPOQKXCTILWFE-UHFFFAOYSA 3.30102999566398
BGVUHUGORDBBDW-UHFFFAOYSA 6.3767507096021
BJNCGWGKNWXUIL-UHFFFAOYSA 3.90308998699194
BLQYVHBZHAISJM-CMDGGOBGSA 7.03151705144606
BLWHUHULXVDXMZ-UHFFFAOYSA 6.53760200210104
BMNCXCJXZKZJII-UHFFFAOYSA 4.65757731917779
BNDYIYYKEIXHNK-UHFFFAOYSA 4.95860731484177
BPMIILWVKNVIKR-JWGURIENSA 6.69897000433602
BRKGRQVBHFZISR-UHFFFAOYSA 7.56863623584101
BSMKGOSXJLCJOB-UHFFFAOYSA 6.67778070526608
BUHNODQEWUMKMH-UHFFFAOYSA 5.47625353318844
BUROQXWUPWBHDF-UHFFFAOYSA 3.30102999566398
BUUXCZKMEAGSSK-UHFFFAOYSA 7.45593195564972
BWLBVHWCNZAPOW-UHFFFAOYSA 8.07133375178437
BWRWVDQRWYBUIX-UHFFFAOYSA 5.74472749489669
BXEDCNVFSZUBPI-UHFFFAOYSA 6.88605664769316
BZDPKBFJBBIMTD-UHFFFAOYSA 6.38110250336304
BZHDPIVTQKXAQQ-UHFFFAOYSA 3.30102999566398
CAAQXWCBWGARSL-UHFFFAOYSA 6.43179827593301
CADIAVLAXLUJAC-UHFFFAOYSA 6.72124639904717
CBIJGNHFFWAGLZ-UHFFFAOYSA 6.95860731484177
CDGSLGKNTRKVQZ-UHFFFAOYSA 5.34678748622466
CDPYJPHBGSGNJS-UHFFFAOYSA 3.52287874528034
CEEHIKQKZBQZLL-UHFFFAOYSA 7.13076828026902
CEFJMJRPRONXNH-UNOMPAQXSA 5.97881070093006
CGJSZRHNKLUWIE-UHFFFAOYSA 7.72124639904717
CGRPEMVYTZGPEU-UHFFFAOYSA 4.34948500216801
CGTDZZXDWFMLEF-UHFFFAOYSA 6.95860731484177
CHYRHTDWXRVJMJ-UHFFFAOYSA 7.26071675220308
CJXUHPRULWSPBE-UHFFFAOYSA 4.88605664769316
CKNQIKAQBWDTIP-ZROIWOOFSA 6.50863830616573
CLLXIPCIRWZDST-UHFFFAOYSA 6.49485002168009
CLVSAAPONJRSGJ-UHFFFAOYSA 7.46777100538654
CMHODBMVRLRLOW-UHFFFAOYSA 6.4089353929735
CMOQWRCLKYBEOS-UHFFFAOYSA 5.85387196432176
COMJNASTFFNZAX-UHFFFAOYSA 5.32265772302264
CQAALERBHGGYLB-UHFFFAOYSA 3.30102999566398
CQXPYMNBBOWLME-ZSOIEALJSA 5.68824613894424
CQZZCFVTEOJWAW-UHFFFAOYSA 3.60205999132796
CRQMGAADPYRSGJ-UHFFFAOYSA 7.11350927482752
CSGDFNSJHVTVHD-UHFFFAOYSA 8.39794000867204
CSLJSOAIJCEXMF-UHFFFAOYSA 5.86809410218294
CTOGPLXHZSSJBE-UHFFFAOYSA 4.30980391997149
CUIHSIWYWATEQL-UHFFFAOYSA 6.85387196432176
CUPLTRAPYIXFAX-UHFFFAOYSA 4.30102999566398
CUTRRQNUXLUQCJ-UHFFFAOYSA 3.90308998699194
CUYDHVPGXKUUEZ-UHFFFAOYSA 6.88605664769316
CVLRLLPCDQDBIQ-UHFFFAOYSA 3.30102999566398
CVPOWJXYMCMMPD-UHFFFAOYSA 3.30102999566398
CWCLGIJGJSHBLC-UHFFFAOYSA 5.88384645472682
CWWGWUITOJWIQB-UHFFFAOYSA 7.1988614578499
CYFCBAYGOYPBEA-UHFFFAOYSA 6.24412514432751
CYJBQAMTIYIBGY-UHFFFAOYSA 6.74472749489669
CYXWKNGEVVRUQT-UHFFFAOYSA 5.55284196865778
CZLYARMVYSWJEL-UHFFFAOYSA 4.39794000867204
DAJCNEVROANJPB-UHFFFAOYSA 3.30102999566398
DAZNPHVDUSTLGK-UHFFFAOYSA 6.95860731484177
DBDPQMUWFPDEFP-UHFFFAOYSA 3.30102999566398
DBEAKLVXASGQPF-FXRZFVDSSA 5.67778070526608
DDQFACKDLYLRGU-RGEXLXHISA 6.39794000867204
DDYACYWLURAUEJ-UHFFFAOYSA 6.23882418684427
DEEQWPIMFASFIP-UHFFFAOYSA 7.69045333468663
DFQSOVLJNOFZAK-UHFFFAOYSA 6.42021640338319
DFRMPGWCYUTILD-UHFFFAOYSA 3.30102999566398
DFSRCPBSJAXTNU-UHFFFAOYSA 7.17392519729917
DHGWCHIUBOKFPY-UHFFFAOYSA 6.46852108295774
DHSWXTYFLRUXKS-XLNRJJMWSA 5.92081875395237
DHTNVMBSGAPRGN-UHFFFAOYSA 6.82390874094432
DIKCCHQBRVVDJR-YVLHZVERSA 5.50863830616573
DIZVEEIWWJAIEW-SNAWJCMRSA 4.72124639904717
DLGLTPBGHQDZCX-UHFFFAOYSA 6.85387196432176
DLGVUWDAFXDBEG-UHFFFAOYSA 7.33724216831843
DLHYZQMLROULHQ-UHFFFAOYSA 6.56863623584101
DNEDXZCYNMEXKI-UHFFFAOYSA 5.86012091359876
DOTKFWRQMGDIDY-UHFFFAOYSA 5.49894073778225
DOXJXXFTEWRETQ-UHFFFAOYSA 5.74472749489669
DPDLEGYGVYOUSQ-UHFFFAOYSA 5.45610929109522
DPKWEIZIBQDTFF-STZFKDTASA 3.69897000433602
DQGNIOCCYYXQHA-UHFFFAOYSA 4.69357497244931
DQTIAPJPNNWWDC-UHFFFAOYSA 4.60205999132796
DSBPVMDUESDKNK-UHFFFAOYSA 7.72124639904717
DTWGYWUIWVOFBV-UHFFFAOYSA 5.40623963958176
DUQXHJPGYOWVMD-UHFFFAOYSA 4.85387196432176
DUZZUNRKDFGPSJ-IZHYLOQSSA 7.30102999566398
DVOMFFXZBJHQPZ-UHFFFAOYSA 4.95000714307986
DWFIUTDYSFGDMT-UHFFFAOYSA 3.30102999566398
DWYHDSLIWMUSOO-UHFFFAOYSA 3.30102999566398
DWYMPMWWYZEKLQ-UHFFFAOYSA 3.30102999566398
DXAXMTYXAGATCT-UHFFFAOYSA 6.44369749923271
DXCUKNQANPLTEJ-UHFFFAOYSA 7.63715501042337
DXTUPYQWVGUDMW-UHFFFAOYSA 4.30102999566398
DYPDXKXBFNUDPU-UHFFFAOYSA 3.30102999566398
DZSUJUOJJJCWGG-UHFFFAOYSA 5.3767507096021
FAYFMVHYNQOQRQ-UHFFFAOYSA 6.65757731917779
FCUQJIQLHXSQHY-UHFFFAOYSA 5.49485002168009
FEFTTWZZDJMATO-UHFFFAOYSA 7.60205999132796
FFQQVSHJKNRETB-UHFFFAOYSA 5.57511836336893
FGUWJWYUTCLUGU-UHFFFAOYSA 4.30102999566398
FGYHKGHRFWZNFE-UHFFFAOYSA 3.30102999566398
FHBAYWUJAVGYJR-UHFFFAOYSA 5.74472749489669
FHSRUXRMSRJDQV-ZSOIEALJSA 6.65757731917779
FHSZADDMYZNJFY-UHFFFAOYSA 3.52287874528034
FLQZDRHGMHQDHM-UHFFFAOYSA 3.30102999566398
FMTKVFMCJBIQLL-UHFFFAOYSA 5.19382002601611
FNBJMQJWFBTPGJ-UHFFFAOYSA 6.01772876696043
FNVSXVGYMKNPGU-UHFFFAOYSA 4
FOMAIMPXVLHOCI-UHFFFAOYSA 6.24412514432751
FQOVHYLLSGHMGI-UHFFFAOYSA 3.30102999566398
